"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LM","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"4224",-3.94248425091943,-0.542321092286963,4.49767737416372,1.83534653318866,-2.76831482112098,0.694909249560905,2.4421754537821,0.846554538051952,NA,NA,NA,NA,NA,-1.81894703110841,9,-86.1493061903663,191.396173356342,15.146184474863,1.04234380432389e-05
"8184",-5.49307251046561,-0.0223280656255212,2.88123001661114,2.26636005527962,NA,1.2364228831927,1.02440423765314,0.633266887720423,-2.44517895557838,1.45950495902935,-1.284518443594,3.38757288023361,1.07504630547585,-1.87595825792724,13,-81.5615290927637,191.398058185527,15.1480693040481,1.04136194704319e-05
"4308",-0.976531789257854,-0.14131758253608,2.88493967541296,NA,NA,1.32824058211147,NA,0.334553056860077,-3.81925497652013,NA,NA,NA,NA,-1.44076123425994,7,-88.3647370168514,191.404172828883,15.1541839474041,1.0381830305492e-05
"7136",-1.58257167389913,0.0771544732988874,3.29238845289046,1.83081473296625,-1.72197492137039,0.902000546241877,NA,0.714899015203879,-3.58877704496968,0.645728385357279,-0.724400189084329,NA,0.493507804293563,-1.87070395703483,12,-82.7346366641866,191.407161527131,15.1571726456516,1.03663278124254e-05
"4600",-3.16724689920761,-0.241893401175234,3.67394649754616,2.29734216354033,NA,1.56579439462076,1.0656664284442,0.0937029794500376,-4.03680077404406,0.560725977540012,NA,NA,NA,-1.72179860945078,10,-85.0304748540121,191.410642959558,15.1606540780787,1.03482986738866e-05
"7894",-3.92942063576226,-0.0327676364092217,NA,1.78497858977729,NA,1.54297478949064,NA,1.86717058809228,-2.67713003293589,NA,-0.810295816872569,3.89448105752887,1.24707510820371,-1.69143745861375,10,-85.030633764,191.410960779534,15.1609718980544,1.03466543565228e-05
"4156",-2.33667259473179,-0.488488095210794,4.33619799507277,NA,-2.88366435140215,0.568622403145257,2.38000772366527,NA,NA,NA,NA,NA,NA,-1.53679715451114,7,-88.3690324351626,191.412763665506,15.1627747840266,1.03373316401035e-05
"505",-0.450890725789498,NA,NA,NA,-2.83333838955728,1.42374657358198,2.25145516698595,2.89172459875342,-4.93825923117774,-0.248272704399791,NA,NA,NA,NA,7,-88.369256747307,191.413212289795,15.1632234083154,1.03350131111227e-05
"1593",-2.67759010244229,NA,NA,NA,-2.13806109235385,1.37288550596918,1.12261505133747,NA,NA,NA,-1.16108322957115,4.75584824213156,NA,NA,6,-89.4561575566613,191.415309125299,15.1653202438194,1.03241833779441e-05
"5364",-2.77302952155131,-0.162097105055326,2.56392979015052,NA,NA,1.22981010801567,0.646097009176852,0.430107615681232,-3.03997200312001,NA,NA,2.82818902246265,NA,-1.38942280496009,9,-86.1591309198988,191.415822815407,15.165833933928,1.03215320030147e-05
"1198",-1.21328134174447,-0.24668062135853,NA,0.872568857283015,-2.48152356857437,NA,1.12616284427093,NA,-2.9639470528737,NA,NA,4.27962924771049,NA,NA,7,-88.3709820667466,191.416662928674,15.1666740471946,1.03171972855083e-05
"1269",-3.90859066085943,NA,NA,1.63092116071946,NA,1.81317384557686,0.319924466797379,1.63201209356003,-3.31555780974867,NA,NA,3.65547514121552,NA,NA,7,-88.3711556150495,191.41701002528,15.1670211438004,1.03154069087914e-05
"1027",-4.35698696636484,NA,3.03779927996898,NA,NA,NA,NA,NA,NA,NA,NA,4.31144210226383,NA,NA,3,-92.6390524106988,191.419281291986,15.1692924105065,1.03036990378383e-05
"4845",-0.0632056673967366,NA,NA,0.902544434103373,-2.92517778376578,NA,1.91525555397007,3.8326597530261,-4.322159695477,NA,-0.764009969436664,NA,NA,-1.38056911113055,8,-87.2752689109923,191.423265094712,15.1732762132324,1.02831955129599e-05
"4688",-2.1649179189792,-0.0651550524046423,3.87947036475776,1.73324651903932,-1.96409966072078,NA,NA,1.0731818585141,NA,NA,-1.28713976484105,NA,NA,-1.8649325604542,8,-87.2765619217969,191.425851116321,15.1758622348417,1.02699078224703e-05
"7854",-1.77250448880159,-0.200328878236479,NA,1.09045135949642,-2.42686041797658,NA,1.0001609459837,NA,-2.89945830350202,NA,-0.118912185615785,4.73299896929222,1.70922724114926,-1.76366846520239,10,-85.0384132629697,191.426519777473,15.1765308959938,1.02664748521776e-05
"3768",-4.7607123453434,-0.0225013558584932,2.88741634319543,1.8106728042534,NA,1.41398108798746,1.26751822305434,NA,-2.76871921388337,NA,-0.876222026601498,2.89816103022566,0.731975829487781,NA,10,-85.0389517331732,191.42759671788,15.1776078364009,1.02609481494901e-05
"1630",-4.11958058235385,-0.0206263819016271,NA,1.29669996284233,-1.81756588926644,1.10671956452418,NA,2.40307413307496,NA,NA,-1.25590418534973,4.65536802554005,NA,NA,8,-87.2779639160048,191.428655104737,15.1786662232576,1.02555195596746e-05
"2603",-2.50695896100309,NA,4.31617361306095,NA,-2.73002210834083,NA,2.66381048788303,NA,NA,NA,-1.5201786934885,NA,0.549076963535898,NA,6,-89.4636503921061,191.430294796188,15.180305914709,1.02471150614654e-05
"8017",-4.82446574221179,NA,NA,NA,NA,1.2702795690401,NA,2.11026358553584,NA,1.84986505450644,-2.3629748253396,4.77137158617645,1.50927905343977,-1.50350941446161,8,-87.2811484360466,191.43502414482,15.1850352633411,1.02229125984148e-05
"7997",-4.37277693104304,NA,NA,1.4881402446945,-1.7049500209633,1.4262591348197,0.735348094166581,NA,NA,1.48483216232783,-1.63755047718206,5.41753893052258,1.29092420721363,-1.71583222002661,10,-85.0452626395242,191.440218530582,15.1902296491029,1.01963961716352e-05
"7638",-4.42510001857384,-0.305967223714466,NA,1.92511509889449,NA,1.61422593882516,NA,1.67621931635601,-3.15031129016825,0.855324643070966,NA,4.20161750190142,1.11919992729763,-1.84327170548964,10,-85.0455733579251,191.440839967384,15.1908510859047,1.01932284558811e-05
"3168",-4.9847723941848,-0.282916920434615,2.50344469637693,1.54628142241072,-1.84873818771348,0.659217021551058,NA,0.768372806227936,NA,NA,NA,4.39516526988527,0.361227450577941,NA,9,-86.1728016334837,191.443164242577,15.1931753610978,1.0181389402499e-05
"1655",-5.81768215567273,NA,2.71064850134319,1.97140071263623,NA,1.34548139424057,0.90597197071654,0.564228316347977,NA,NA,-1.43851257206452,3.70671124940649,NA,NA,8,-87.28591230144,191.444551875607,15.194562994128,1.01743278363841e-05
"3658",-3.44560883110266,-0.0207648836003705,NA,NA,-2.12495369870549,NA,NA,2.67407947622042,NA,NA,-1.30720893326609,4.90426456100877,1.06321474685009,NA,7,-88.3851165946044,191.444931984389,15.1949431029101,1.01723943444426e-05
"2297",-0.633377620860983,NA,NA,NA,-2.78697887453423,1.40845063973653,2.2624080462025,2.85542340657337,-5.01246614739672,NA,NA,NA,0.212059268176909,NA,7,-88.3858396147417,191.446378024664,15.1963891431847,1.01650421566975e-05
"1870",-4.24805256395552,-0.00735351456787341,NA,1.17044796573645,-1.95979202527952,NA,NA,2.96736465043145,NA,1.48461919287599,-1.89773953279083,5.09097580612719,NA,NA,8,-87.2887110018477,191.450149276423,15.2001603949433,1.01458927501251e-05
"5165",-2.53788571139371,NA,NA,1.24252348089453,-2.55502320354789,NA,0.410508820744653,NA,NA,NA,NA,5.69093734040985,NA,-1.514522162953,6,-89.4738215814731,191.450637174922,15.2006482934429,1.01434179690725e-05
"8181",-4.86721446907964,NA,NA,1.86409963353007,NA,1.59779838917234,0.488642658975286,2.12153402333492,-2.43637289258595,1.67005285056816,-1.64384861609936,4.09169136661252,1.1448388608698,-1.69674671181404,11,-83.9124656346162,191.454560898862,15.2045720173826,1.01235374908682e-05
"1385",-4.13614623104834,NA,NA,NA,-3.09913841894728,NA,1.4849339081144,3.08011025657851,NA,0.163052268505831,NA,5.34435596978433,NA,NA,6,-89.4767123025075,191.456418616991,15.2064297355116,1.01141385171418e-05
"6208",-3.9331042767033,-0.548827997358558,4.74816675705079,1.85757901795499,-2.60576449439345,0.706744487243437,2.35981963015128,NA,NA,NA,NA,NA,0.54780972443457,-1.89225908077865,9,-86.1799184480206,191.457397871651,15.2074089901717,1.01091875706623e-05
"3146",-3.80757354230027,-0.41487502063737,NA,NA,-2.35595848754803,NA,NA,2.44098900869208,NA,NA,NA,5.29653903399246,0.946335507032945,NA,6,-89.4784336571527,191.459861326281,15.2098724448021,1.00967434736373e-05
"4090",-3.46856655242206,0.0468794933261157,NA,NA,-2.60073126492291,1.04117946915242,2.31841258209113,2.91375426653806,-2.96475413921008,0.925282401028235,-1.3129111327005,3.88761914319019,0.855477369882043,NA,11,-83.9156202778749,191.460870185379,15.2108813039001,1.00916516622189e-05
"6131",-3.34930981205974,NA,2.2938750435299,NA,NA,1.23652986447817,0.832216123590767,0.892172094521683,-2.52833059383013,1.42822377228285,-1.33235497035974,3.00040322754276,NA,-1.34263360568874,10,-85.0565975620912,191.462888375716,15.2128994942369,1.0081473361586e-05
"527",-2.09686883082654,NA,3.90041820135539,1.38840315533228,-1.77078817558214,NA,NA,NA,NA,NA,-1.43197827679715,NA,NA,NA,5,-90.5536393881842,191.464421633511,15.214432752032,1.00737475745612e-05
"6700",-2.21100293179313,-0.125092392158491,4.41258569745766,NA,-2.71724894005078,NA,2.42175635640719,NA,NA,NA,-1.26875021381134,NA,0.990526087134723,-1.58299967269299,8,-87.2969521151786,191.466631503085,15.2166426216052,1.00626228875933e-05
"1256",-4.31767106627177,-0.23344970355912,3.27781072608883,1.83017048387358,NA,NA,0.863219288895179,0.477691021283698,-2.91806153016608,NA,NA,3.20827346014733,NA,NA,8,-87.2975521034603,191.467831479648,15.2178425981685,1.00565872426173e-05
"7956",-4.54537829661713,0.0138904794765428,2.37776479216137,NA,NA,1.00058400703033,NA,NA,NA,1.50042559873123,-1.85760339157521,4.26589318809462,1.41731508855332,-1.64470808710608,9,-86.1885804913453,191.4747219583,15.224733076821,1.00219995084842e-05
"3655",-5.371969668953,NA,2.70635467046784,1.67987847934153,NA,NA,NA,0.799078573133339,NA,NA,-1.4414206978276,4.14917236819806,0.981090959049178,NA,7,-88.4000148601393,191.474728515459,15.22473963398,1.0021966650616e-05
"7378",-2.9581174417615,-0.205896101032185,NA,NA,NA,1.42845120109432,NA,1.55232123829764,-3.1446255918277,NA,NA,3.86437989401496,1.44937518645178,-1.53666689770376,8,-87.3038187263733,191.480364725474,15.2303758439945,9.99376345466426e-06
"1220",-2.63085169100169,-0.15840262847216,2.62490680405318,NA,NA,NA,NA,0.59561886811631,-2.88230298681772,NA,NA,3.13190565409812,NA,NA,6,-89.489038925289,191.481071862554,15.2310829810746,9.99023059889999e-06
"6872",-2.47745709058053,0.0428887136590001,3.2754705392109,2.09248101523961,NA,1.38234881488626,NA,0.243039195639937,-3.41859291514668,NA,-0.775252846729254,NA,0.747372728839209,-1.78449141568002,10,-85.0667289171301,191.483151085794,15.2331622043146,9.97985003589506e-06
"3097",-3.37817524004577,NA,NA,NA,-1.98422597182077,1.17635014284162,NA,NA,NA,NA,NA,5.38526444785889,0.86182637483084,NA,5,-90.5630798287399,191.483302514623,15.2333136331434,9.9790944459986e-06
"5032",-2.48564443373408,-0.0214074734870243,4.25871349795436,2.16417856614291,NA,NA,0.938124454339475,NA,-3.39805088005575,1.10616725316902,-1.19580574429207,NA,NA,-1.71617558580193,9,-86.1944839557545,191.486528887119,15.2365400056393,9.96300928573898e-06
"3593",-2.44503845836091,NA,NA,NA,-1.96831315056045,NA,NA,NA,NA,NA,-1.16846228067146,5.27812560765273,1.29215279180738,NA,5,-90.5651597078056,191.487462272754,15.2374733912748,9.95836070567625e-06
"3872",-4.88870341852446,0.0683915282573729,2.64244086997121,1.64322486473825,-1.42458211929308,0.901659717965846,NA,NA,NA,1.23850825403139,-1.56499364200872,4.21464080171238,0.372798279536165,NA,10,-85.069120121045,191.487933493624,15.2379446121444,9.95601468836456e-06
"7210",-2.80839719417792,-0.448967632141792,NA,NA,-2.60085381905034,NA,0.802274649093167,NA,NA,NA,NA,5.77137410421688,1.80869845714233,-1.68811413066714,7,-88.4076165743181,191.489931943817,15.2399430623375,9.94607135726637e-06
"2607",-3.39274495822779,NA,4.65036198753683,1.33095868464884,-2.58348750717854,NA,2.63562863320706,NA,NA,NA,-1.50731341283358,NA,0.369435640342508,NA,7,-88.4085318242048,191.49176244359,15.241773562111,9.93697238113654e-06
"7251",-5.01736962272645,NA,2.64427061739595,NA,NA,0.92850165280367,NA,0.322228970315037,NA,NA,NA,4.48193106078111,1.37940425614029,-1.74305972201764,7,-88.4100395468285,191.494777888838,15.2447890073583,9.92200147189243e-06
"4740",-0.360987882434487,0.014688925800164,3.56357794642626,NA,NA,NA,NA,NA,-3.33760183700806,NA,-0.73510199213075,NA,NA,-1.42400549618911,6,-89.4960611617511,191.495116335478,15.2451274539988,9.92032257991747e-06
"920",-2.61110909563109,0.160950700331035,3.01069442735941,1.83624517008284,NA,1.61618691685972,NA,NA,-3.32395522196603,0.961203475314787,-1.440194147932,NA,NA,NA,8,-87.3133383668457,191.499404006419,15.2494151249393,9.89907782126484e-06
"1848",-6.23781492860362,-0.0208113806104756,2.84722186318244,2.03027307504517,NA,1.43054178913121,0.978909064006393,NA,NA,1.6465770856759,-2.03416466106803,3.9252699187346,NA,NA,9,-86.2016903203808,191.500941616371,15.250952734892,9.89147028570492e-06
"8163",-3.89214210879178,NA,2.6240006534071,NA,NA,NA,0.738521777662482,1.07286061648964,-2.37672511589374,1.29479776728074,-1.39048521024147,3.56580985475422,1.57333798445255,-1.61296594452708,10,-85.0759449630969,191.501583177728,15.2515942962482,9.88829780202198e-06
