"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(latitude)","log(longitude)","log(nearest_W)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"8506",-64.6551125861405,0.842419050108575,NA,NA,-15.3772141816188,28.168396970812,-0.0786701077390816,NA,NA,-1.23410872913432,NA,NA,NA,NA,-0.39748081271973,7,-62.1695115907945,139.01372197677,14.1064633300922,4.50211205232091e-06
"6858",147.164907347971,0.80034635814179,NA,NA,-39.7805562083388,NA,NA,-0.19260590969394,2.39008268604794,NA,-0.782217258865432,NA,0.605677002092619,-0.718990255153763,NA,8,-61.0706030396324,139.013933351992,14.1066747053145,4.50163625999614e-06
"7915",117.622958867247,NA,1.26462970781154,NA,-31.9349584405537,NA,0.0600117002467323,0.174266793052645,-0.92672068536251,NA,-0.966596212853864,0.0415006279482326,0.485459482231296,-0.93273746127478,NA,10,-58.8324760902329,139.014645432,14.107386785322,4.50003378269505e-06
"11670",-44.2241238455654,0.910619688723037,NA,0.168201435531849,NA,9.45269232592877,NA,NA,1.82520196773735,-0.831155975883394,NA,-0.0314163310751874,0.504301120408585,NA,-0.425314306693052,9,-59.9587783437806,139.015117663171,14.1078590164933,4.49897138001292e-06
"12536",2.46729970472636,0.912715817262693,1.64862247427084,0.380373918428142,NA,-1.17174122199061,0.0755222142488254,-0.384617708972036,-1.58263993753238,NA,NA,NA,NA,-1.13228191278949,-0.473082041285367,10,-58.8331746642528,139.016042580039,14.1087839333618,4.49689127377123e-06
"7693",107.138368609543,NA,NA,0.138968325112362,-28.0941475268653,NA,NA,NA,NA,NA,-0.818910350573504,0.0207298142469171,0.665778564078624,-0.571383344272801,NA,7,-62.1708438114736,139.016386418128,14.1091277714504,4.49611823897257e-06
"7013",1.80413018434821,NA,NA,0.111841084549175,NA,NA,-0.0843019551756443,0.203929859237846,NA,-0.752252483838309,-0.777452589419648,NA,0.526901934351856,-0.497803227712833,NA,8,-61.0724428300872,139.017612932902,14.110354286224,4.49336180653831e-06
"10726",-3.5929631070294,0.852206990726352,NA,0.14227464743717,NA,NA,-0.0813018033615449,0.0279249964168785,1.87885546032646,-0.866095136018404,NA,NA,0.527257997088253,NA,-0.432895502942749,9,-59.9619460792022,139.021453134014,14.1141944873367,4.48474237776693e-06
"10236",274.654776084902,0.997590975924563,1.54390206373006,NA,-43.8196002550434,-27.8876102963194,0.0188465122221494,0.305584082030404,-0.474001812190491,-1.23205367807596,-1.65063395591452,0.0696248979105204,NA,NA,-0.560904168917812,12,-56.5422921965402,139.022472591838,14.1152139451606,4.48245695743622e-06
"6079",148.729112376416,NA,1.44612322339202,0.224830103924193,-33.3790806403083,-6.36278543267584,0.103634466804154,NA,-1.05537311575656,-0.994256049024297,-1.47745649393959,0.175050473130784,NA,-1.04116931919531,NA,11,-57.6979902888458,139.025610207321,14.1183515606436,4.47543035739383e-06
"414",-16.6368396688137,0.849046292462102,NA,0.0546683972500782,-21.7375754943724,21.4634240910358,NA,NA,2.06002714138777,-1.24574881279668,NA,NA,NA,NA,NA,7,-62.1756759058682,139.026050606917,14.1187919602395,4.47444497702771e-06
"13932",145.487709906074,1.02059553100034,1.46828974949912,NA,-40.1620059336961,NA,0.0608668303837906,-0.119046964834965,NA,NA,-1.04578768663064,-0.045935101046617,NA,-1.06864784103823,-0.432346875035265,10,-58.8388345878787,139.027362427291,14.1201037806136,4.47151110526913e-06
"6865",-42.3293631209361,NA,NA,NA,NA,9.74429986870159,NA,-0.0882257224568951,1.7557271674563,NA,-0.644956904485075,NA,0.595992630717202,-0.579866320289221,NA,7,-62.1763758232122,139.027450441605,14.1201917949275,4.47131433110791e-06
"9498",-57.9966875887436,0.902697017755485,NA,NA,-17.8376006964838,28.7212088906523,NA,NA,NA,-1.19588128909734,NA,-0.0391532593717846,NA,NA,-0.379592426810049,7,-62.1767507072218,139.028200209624,14.1209415629468,4.46963842101878e-06
"1655",48.1750554610711,NA,1.34744259986358,0.240304576560059,NA,-13.2131440540272,0.0807293870233601,-0.118879618297361,NA,NA,-1.09484948396792,0.00376797682425096,NA,NA,NA,8,-61.0779010624257,139.028529397579,14.1212707509011,4.4689028059951e-06
"6701",96.9725650671486,NA,NA,0.138137775397199,-25.3620366601148,NA,-0.0177171934374662,NA,NA,NA,-0.733070853228666,NA,0.65671714756649,-0.571684593612965,NA,7,-62.1785093284865,139.031717452154,14.1244588054762,4.46178492753027e-06
"11037",20.744927029227,NA,NA,0.148616345072314,-12.3948187489651,5.94279159973678,NA,NA,NA,-0.632889157308439,-0.515026534349204,NA,0.49747878883886,NA,-0.360839311001074,8,-61.0797030563606,139.032133385448,14.1248747387709,4.46085712155744e-06
"11605",-62.577210532118,NA,NA,0.169923255040277,NA,14.522394160243,NA,0.101406525287545,NA,-0.801395351840473,NA,0.0527166051432627,0.542364312456432,NA,-0.444565041828078,8,-61.0803279923908,139.033383257509,14.1261246108313,4.45807024211797e-06
"8525",59.8133119422722,NA,NA,0.0953149891059879,-16.4132689354399,NA,NA,-0.0386222243492567,NA,-1.04132089049412,NA,NA,NA,NA,-0.403411758863491,6,-63.2662971450097,139.035588301995,14.1283296553179,4.45315782903386e-06
"9545",76.8551986503135,NA,NA,NA,-20.9273908135267,NA,NA,-0.074345096238743,NA,-1.07940630749415,NA,0.0458088999526913,NA,NA,-0.405249813272805,6,-63.2663731345573,139.035740281091,14.1284816344132,4.45281944844172e-06
"12642",1.52115392016244,0.839399325956286,NA,NA,NA,NA,-0.100901808817318,-0.193808997913667,NA,-1.14778443059121,NA,NA,NA,-0.584866272772286,-0.306973822198855,7,-62.1813992176995,139.03749723058,14.1302385839021,4.44890947667182e-06
"6325",-62.2185258670682,NA,NA,0.185410228186235,NA,14.2973956330427,-0.0615014192787594,NA,1.82303204546502,NA,NA,NA,0.659165889102842,-0.661018806581881,NA,7,-62.1816526044156,139.038004004012,14.1307453573343,4.44778232491787e-06
"15352",26.0728767006318,1.00867345700326,1.48655539239328,0.286070691621579,NA,-7.01942489749803,-0.0228406247276233,0.378647017735872,-0.735380500121751,-0.98284104469821,-0.96119723523991,NA,0.360331592383487,-0.825190404621858,-0.547556378795413,13,-55.381683371999,139.038366743998,14.1311080973204,4.44697570381924e-06
