"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"16134",-2.17695562004895,0.0173793043431513,NA,0.484212425779534,NA,NA,NA,NA,NA,-2.07506340075089,-0.575437964000766,1.17079089572745,2.33517813819702,0.174573121642909,-0.554234240768108,9,-77.4751904094511,174.047941794512,15.1643185991751,3.14957072666473e-06
"16197",-2.18071114721853,NA,NA,0.48462765334655,NA,NA,NA,0.000625585522882201,NA,-2.07250700593233,-0.578436109846111,1.18223685270107,2.33500749818725,0.175362931823219,-0.554478557824779,9,-77.4756697349372,174.048900445484,15.1652772501472,3.14806141889914e-06
"7897",-3.79620176989762,NA,NA,NA,-0.326398416596285,0.482440637355199,NA,-0.0020089587071062,1.85747842092329,NA,-0.411772969263866,0.575257399192714,2.56659250298105,-0.204948906289848,NA,9,-77.4761503821092,174.049861739828,15.1662385444912,3.14654867565787e-06
"13889",-0.889930256012463,NA,NA,NA,NA,NA,NA,-0.146666500409666,NA,NA,-0.482271338930529,0.490987113535872,NA,0.0771330663688524,-0.360850696025928,6,-80.7737890360688,174.050572084114,15.1669488887767,3.14543130766318e-06
"9794",-0.86478849365658,-0.0388244450677461,NA,NA,NA,NA,NA,-0.144409012572757,NA,NA,-0.479814050780864,0.5144351736965,NA,NA,-0.350317946013697,6,-80.7739003702795,174.050794752535,15.1671715571982,3.14508113304462e-06
"12240",-3.70427205907177,0.0219603070783593,2.87015015708527,0.639060180665611,-0.359584732267111,NA,NA,0.15004166413337,0.642542267578513,-2.43405594865338,-1.01681237000813,1.43672169999558,1.43704211018571,NA,-0.855784497200078,12,-74.056715986915,174.051320172588,15.167696977251,3.14425499721903e-06
"5085",-2.09900307300608,NA,NA,0.31407956746569,-0.100758163810703,0.878362294421304,NA,0.110644643799105,2.01446973435627,-2.50693022228216,-0.459988005759971,NA,NA,-0.483465349735683,NA,9,-77.4771350221762,174.051831019962,15.1682078246253,3.14345198257315e-06
"12386",-0.711332864878742,0.0514698198702142,NA,NA,NA,NA,-0.520550216068454,-0.113766527917364,NA,NA,NA,NA,NA,-0.00821665240737041,-0.377792391744713,6,-80.7752733543666,174.053540720709,15.1699175253724,3.14076594971326e-06
"9998",-0.18406868691957,0.00570156953067935,NA,0.255445444527262,-0.426828751144604,NA,NA,NA,NA,-2.87504233733097,-0.931285854667043,1.20920199617642,NA,NA,-0.497160751908484,8,-78.5906974455981,174.054122163924,15.1704989685867,3.13985299390311e-06
"14093",-0.185906923357264,NA,NA,0.255555122113998,-0.426558380601093,NA,NA,NA,NA,-2.87325724126578,-0.931800212974324,1.2133408967682,NA,0.00142051959362631,-0.497509280564344,8,-78.5907486186272,174.054224509982,15.1706013146448,3.13969232222566e-06
"14242",-1.05794988291016,0.146100034991127,NA,NA,NA,NA,-0.422927488415224,NA,2.00089690816942,-2.71069234838923,-0.735013175461568,0.861776846610957,NA,-0.174468305319048,-0.510579815498839,9,-77.4788431005147,174.055247176639,15.1716239813022,3.1380873032842e-06
"2782",-4.26992330727102,0.159102535297956,NA,0.475774648041423,-0.130979143104515,0.527293422066145,NA,0.0118525809175572,1.93707205491407,NA,-0.146716904429173,NA,2.55891090263676,NA,NA,9,-77.4797972090462,174.057155393702,15.1735321983653,3.13509465529792e-06
"16103",-4.65699374934955,NA,2.77089466077022,0.832134118065,NA,NA,-0.265692419138373,0.0543673184063489,0.596110845572589,NA,-0.504291806983188,0.906165026826237,2.14726204994441,-0.228211413110775,-0.844625731490678,11,-75.2155792395069,174.060788108643,15.1771649133065,3.12940537115076e-06
"7853",-3.79509147087947,NA,NA,0.397686913885305,-0.312684423868865,NA,-0.382145909673564,NA,1.9844596519876,NA,-0.39018054041738,0.565249808578539,2.81474472368811,-0.174955495136887,NA,9,-77.4816142147444,174.060789405099,15.1771662097618,3.12940334258444e-06
"14653",-2.34706003681653,NA,NA,0.630701472673017,0.401634046141211,0.897226620081105,-0.61634498818671,NA,NA,-1.3560035586509,NA,NA,1.89660790017592,-0.107857643199163,-0.452708909138397,9,-77.4816464121007,174.060853799811,15.1772306044744,3.12930258569206e-06
"6898",-3.75888880753022,0.172810333389145,NA,NA,NA,0.565408598303363,-0.493538353686055,0.0275983773493376,1.82796029919232,NA,-0.129494697055077,NA,2.5708549862091,-0.224797058289066,NA,9,-77.4817054257689,174.060971827148,15.1773486318107,3.12911791951665e-06
"12023",-4.78071385146694,NA,2.66672792312677,0.813240228947192,NA,0.171480439710928,-0.263609766038202,0.0588377442806096,0.556154342339146,NA,-0.529260955484022,0.89666338113782,2.15977584417489,NA,-0.864562178433373,11,-75.2167833388786,174.063196307387,15.17957311205,3.12563952379162e-06
"6394",-3.75953096334859,0.175313722585221,NA,NA,-0.0960474072518155,0.537567799291825,-0.458107566554947,0.0238481014658182,1.85398720670681,NA,NA,NA,2.58765094606172,-0.254503361299375,NA,9,-77.4828906870929,174.063342349796,15.1797191544588,3.12541129416207e-06
"12984",-3.48205854479541,0.252978378153253,2.8367775761033,0.851221439196099,NA,0.319686082550037,-0.0355625960642722,NA,0.68794126843856,NA,-0.282179176938095,NA,NA,-0.47180227307522,-0.679484391534966,10,-76.3574207356208,174.064534722775,15.1809115274384,3.12354852150849e-06
"12733",-1.86446578139104,NA,NA,0.508411164139067,0.115220032037571,0.821485110421144,-0.297306221499719,NA,1.8017793674649,-2.05302368428239,NA,NA,NA,-0.387228112008019,-0.481070169461939,9,-77.4835225638188,174.064606103247,15.1809829079105,3.12343704331376e-06
"5221",-0.958756625411007,NA,NA,0.344401108146307,NA,NA,-0.458213709628406,-0.151518932290146,NA,NA,NA,0.32754466888229,NA,-0.181822955257245,NA,6,-80.7808342441208,174.064662500218,15.1810393048808,3.12334896836246e-06
