"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1315",-0.0594226045494786,NA,0.00380043090319027,NA,NA,NA,-0.470324742500677,NA,NA,0.0210738420170215,NA,-0.138720559165626,5,-176.015259097212,362.387661051566,2.11851204496008,0.010485299753738
"1571",-0.0480308198575613,NA,0.00381008844000282,NA,NA,NA,-0.471339919301666,NA,NA,NA,-0.000179982671434979,-0.138279058785123,5,-176.015759267102,362.388661391348,2.1195123847416,0.0104800566338403
"547",-0.099356606845915,NA,0.00381655510878006,NA,NA,NA,-0.482398982974136,NA,NA,NA,-0.00186566312578916,NA,4,-177.10185332348,362.440393037493,2.17124403088729,0.0102124571036248
"163",-0.188547547801845,NA,0.00375975486010109,NA,NA,NA,-0.48122636402849,NA,-0.000437316108040407,NA,NA,NA,4,-177.144060107083,362.524806604699,2.25565759809331,0.00979039180023696
"1191",-0.186643178932789,NA,0.00394982922032223,0.0134282958169989,NA,NA,-0.48995310573628,NA,0.000899042732065862,NA,NA,-0.166172072704758,6,-175.016197432682,362.53538887734,2.26623987073418,0.0097387263077095
"291",-0.200149321694826,NA,0.0037695823742508,NA,NA,NA,-0.482959204361485,NA,NA,0.0448558926263325,NA,NA,4,-177.150431994183,362.537550378899,2.2684013722926,0.00972820685714005
"43",-0.190670100956628,NA,0.00377465443095963,NA,-0.000523145051004748,NA,-0.483523644655065,NA,NA,NA,NA,NA,4,-177.154134007059,362.544954404651,2.27580539804472,0.00969225948995659
"1127",-0.0827585052860631,NA,0.00388050738740417,0.0128244150926677,NA,NA,-0.474077207346012,-0.063787197308852,NA,NA,NA,-0.156668443352027,6,-175.021971645545,362.546937303066,2.27778829646047,0.00968265486899644
"1575",-0.117726226527869,NA,0.00392616814378395,0.0133627848958747,NA,NA,-0.478814111204461,NA,NA,NA,-0.00129883980972423,-0.15728250988787,6,-175.033349609539,362.569693231053,2.30054422444715,0.00957311034912105
"1071",-0.191886784055062,NA,0.00393545866126967,0.0131273755331457,0.0021575130863879,NA,-0.48914239688714,NA,NA,NA,NA,-0.162368378051377,6,-175.04566502327,362.594324058517,2.32517505191078,0.00945593653742599
"1319",-0.186560127544402,NA,0.00388092688244767,0.0131508035405533,NA,NA,-0.476429308533748,NA,NA,0.0673563332056344,NA,-0.16083164184477,6,-175.047598489705,362.598190991386,2.32904198478025,0.00943767146466446
"40",-0.312467947111637,0.194349618468967,0.0038632164610795,0.0109576370754641,NA,NA,-0.521198646000507,NA,NA,NA,NA,NA,5,-176.23795605511,362.833054967364,2.56390596075767,0.00839198677227703
"103",-0.0889217712884075,NA,0.00378432213208991,0.0100023919007261,NA,NA,-0.482893093090606,-0.13632146522154,NA,NA,NA,NA,5,-176.37538608638,363.107915029902,2.83876602329639,0.00731441649929513
"55",-0.775557873959362,NA,0.00366887711942417,0.0100242206442971,NA,0.0765073180953504,-0.497323050681168,NA,NA,NA,NA,NA,5,-176.395598023293,363.148338903729,2.87918989712296,0.00716806201068915
