"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_W","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"3103",-4.83361173350975,NA,3.68671989065358,0.987236179688467,-0.501005702316583,-0.372228903260016,NA,NA,NA,NA,NA,3.27164738649165,-1.57154384010367,NA,7,-58.7545030167603,132.183704828701,7.4694700168009,0.000158064674499548
"3499",-2.51423659138095,NA,3.34559404653127,NA,-0.74986020186765,NA,0.721195812130181,NA,-2.310279618154,-0.92569982458952,NA,1.88180943558555,-1.54465281966001,NA,8,-57.6558887676158,132.184504807959,7.47026999605853,0.000158001462911898
"4584",-2.55961412825339,1.15632163786985,4.26349963095936,1.23406570514629,NA,NA,0.361520755335081,-0.620302986241344,-3.6869406421036,-1.43694358865948,NA,NA,NA,-1.05811689577317,9,-56.5439291635631,132.185419302736,7.4711844908355,0.00015792923367018
"6812",-1.22105848335815,1.12877332971787,4.25472313714761,NA,-0.888505566528151,-0.143374255014448,NA,NA,-4.06305578836748,NA,0.251623250940287,NA,-1.8531711253253,-0.839692538008525,9,-56.5448271722499,132.18721532011,7.47298050820916,0.000157787475505997
"295",-4.28666488052074,NA,4.07927311587123,0.97112949546916,NA,NA,0.6226338907793,NA,NA,-1.61556400274507,NA,NA,NA,NA,5,-60.9152261215407,132.187595100224,7.4733602883239,0.00015775751607781
"2996",-1.43921859780316,1.06599946019365,4.05379286250796,NA,NA,0.100577402160113,-0.101867283984473,NA,-4.08809977981663,-1.7512015372489,0.75321139571292,NA,-1.75148644507592,NA,9,-56.545051542815,132.18766406124,7.47342924933946,0.000157752076612328
"3159",-4.90820878943297,NA,3.99595584827191,1.13780632440364,NA,-0.164238113520284,NA,-0.930278098422377,NA,NA,NA,3.20493184777479,-1.57470258084197,NA,7,-58.7565347286971,132.187768252575,7.47353344067457,0.000157743858626651
"7580",-1.93939929716434,1.27141635060848,3.93326331015646,NA,-0.96464233511933,-0.478623110793481,NA,NA,-2.96571056431172,-1.15262414980464,NA,2.02508434550786,-1.50715077995163,-0.791118021318461,10,-55.4193136630144,132.188320577563,7.47408576566212,0.000157700301703946
"4536",-2.60148606882541,1.15855421583757,4.21943813982117,1.19673129365255,NA,-0.356353790883406,0.323240649139487,NA,-3.71452435660246,-1.48760794584316,NA,NA,NA,-1.08714918051524,9,-56.5469226610209,132.191406297652,7.47717148575114,0.000157457179809196
"3599",-5.11689367712074,NA,3.64426335208029,1.03750821120977,-0.472505007177828,NA,NA,NA,NA,NA,0.323954714076555,3.30486328901628,-1.74517048111569,NA,7,-58.7599612847643,132.194621364709,7.48038655280894,0.000157204265451906
"5923",-4.88119517061649,NA,3.57247576249268,NA,NA,NA,0.204209019821397,NA,NA,-1.40928156157997,0.763187366181784,3.22779637308589,NA,-1.20484475680277,7,-58.760176927478,132.195052650137,7.48081783823628,0.00015717036915238
"2288",-2.05397223015551,1.17503509192805,4.43634704985455,0.998656127913316,-0.814698205011546,NA,0.439013030427785,-0.459852468873067,-3.88887978469986,NA,NA,NA,-2.11043739721897,NA,9,-56.5493455880509,132.196252151712,7.48201733981122,0.000157076134361233
"3907",-4.07951403764712,NA,3.88267706441131,NA,NA,NA,NA,-1.02718077993512,NA,-1.30687305639923,0.74427602411056,3.12772661338205,-1.43870831224741,NA,7,-58.7611772820848,132.19705335935,7.48281854745002,0.000157013221664246
"5295",-4.42217919793905,NA,3.51343109173127,1.13671943420488,-0.37055344686996,NA,0.816837073933367,NA,-2.30776880124186,NA,NA,2.33536778579908,NA,-1.19294506912475,8,-57.662262970263,132.197253213253,7.48301840135292,0.000156997532595562
"6364",-1.11971949564129,1.19389911818953,4.30782776904777,NA,-0.845499594872073,-0.114025866427504,NA,-0.300035816668211,-3.91426821952129,NA,NA,NA,-1.83196330155988,-0.801272784730538,9,-56.551112999289,132.199786974188,7.48555216228735,0.000156798761424358
"5459",-4.15845885733178,NA,3.77317512572834,NA,NA,-0.643589593722304,NA,-0.517268393090181,NA,-0.966895746023251,NA,3.22337306636851,NA,-1.12864909300585,7,-58.7633514771806,132.201401749542,7.48716693764163,0.000156672215129427
"5179",-4.6888343365203,NA,3.80621818009794,NA,-0.867738401360001,-0.937278295944408,0.723017695191425,NA,NA,NA,NA,3.50714913798911,NA,-1.22448489600149,7,-58.7657597626281,132.206218320437,7.49198350853661,0.000156295357685996
"1512",-3.70407632435203,1.12145480096452,3.67843492793868,0.992345450674073,NA,NA,0.181887121490208,-0.632836876613844,-3.04823940552136,-1.27355263547877,NA,2.04695932677485,NA,NA,9,-56.5546792800565,132.206919535723,7.49268472382235,0.000156240568944283
"5091",-1.81268235536027,NA,4.27731606464422,NA,NA,NA,0.25553126136628,-0.931773653489687,-3.79777724222888,-2.06400301843743,1.70981010099479,NA,NA,-1.09066712742566,8,-57.667726165356,132.208179603439,7.49394479153887,0.000156142163098577
"8099",-2.81101087908604,NA,3.86810625866923,NA,NA,NA,0.0825830372069588,NA,-3.1510689868191,-1.68096647283736,1.70723841980819,2.13807935793741,-1.39405526094786,-1.06911280787323,9,-56.5567814369019,132.211123849414,7.49688903751323,0.000155912471739458
"7347",-3.10011937669354,NA,3.53329052943107,NA,NA,-0.283979500296537,0.321440272178922,NA,-2.30877860526314,NA,NA,2.34309618188252,-1.19726337928806,-0.954064228753708,8,-57.6702952559346,132.213317784596,7.49908297269604,0.000155741534584264
"523",-3.57868705957068,NA,3.73595989665271,NA,-0.369409742228157,NA,NA,NA,NA,NA,-0.404358692423708,NA,NA,NA,4,-61.9890897965928,132.214865983718,7.50063117181773,0.000155621021781209
"99",-3.82852769366035,NA,4.29839417213643,NA,NA,NA,0.305547198230419,-1.01484242591558,NA,NA,NA,NA,NA,NA,4,-61.9892816665225,132.215249723578,7.50101491167723,0.000155591165651031
"3371",-3.8980729328535,NA,3.42730832971988,NA,-0.779944021895942,NA,0.675638096201068,NA,NA,-1.00499531846644,NA,2.82284183987986,-1.55178917498136,NA,7,-58.7703287861862,132.215356367553,7.50112155565282,0.000155582869441983
"3279",-3.24592623934464,NA,3.68828822654727,0.983178823894479,-0.321264729836434,NA,NA,-0.676898085001106,-2.27830556394652,NA,NA,2.17589260882007,-1.64809948616977,NA,8,-57.6723699898256,132.217467252379,7.50323244047814,0.000155418747308855
"1635",-5.1908658884563,NA,3.51075311848916,NA,NA,NA,0.231467106865478,-0.89584919981078,NA,NA,0.170966776937788,3.43410282883457,NA,NA,6,-59.8572817863168,132.21755758461,7.50332277270934,0.000155411727806271
"3120",-5.31685909684451,0.871678534568399,3.9541951346873,1.05053598761504,-0.779411760521675,NA,0.406141057546755,NA,NA,NA,NA,3.36334069353186,-1.95945827988667,NA,8,-57.672787031648,132.218301336023,7.50406652412283,0.000155353944704888
"5836",-3.32587697770041,0.979048643357512,3.66247988354615,NA,-0.502203318275282,NA,NA,-0.602234702500756,-3.2279495270103,NA,0.48490635170999,2.52512034466026,NA,-1.06833080137342,9,-56.5604577594742,132.218476494558,7.50424168265781,0.000155340339515985
"2291",-1.74292783645833,NA,3.87779069052316,NA,NA,0.109767675506187,0.308823574209745,-0.684176681465774,-3.11582449684823,NA,NA,NA,-1.62208573297467,NA,7,-58.7720650444779,132.218828884136,7.5045940722361,0.000155312971768715
"415",-2.08185273163148,NA,3.71936525718357,0.711065264922578,-0.469411797930488,-0.513948922926737,NA,NA,-3.01257138877988,-1.25510856885225,NA,NA,NA,NA,7,-58.7726962679932,132.220091331167,7.50585651926679,0.000155214965503881
"580",-3.55421942478678,0.981666718815976,4.18614057785988,NA,NA,NA,NA,-0.610468578829479,NA,NA,-1.28107570213459,NA,NA,NA,5,-60.9355959238869,132.228334704917,7.51409989301621,0.000154576534627707
"4388",-3.41740214402659,0.724456124724191,4.31368132015752,NA,NA,NA,0.188658342843593,NA,NA,-1.79961279080266,NA,NA,NA,-1.11088019964788,6,-59.8627421150883,132.228478242153,7.51424343025235,0.000154565441281513
"6551",-2.07252903357479,NA,4.01052061563911,1.18719353789363,NA,-0.0453943589698355,NA,NA,-2.86882357143776,-0.992766584707695,NA,NA,-1.49146070009714,-0.982154403885222,8,-57.6789726470392,132.230672566806,7.51643775490538,0.000154395950898591
"5427",-4.48319253450778,NA,3.66378069375399,NA,NA,-0.644281859014356,0.286757856124658,NA,NA,-1.00072299959887,NA,3.233524339629,NA,-1.15607609923905,7,-58.7780976500424,132.230894095266,7.51665928336516,0.000154378850297077
"83",-3.61935986898318,NA,4.33647340919972,NA,NA,-0.213229618460213,NA,-0.980831973559841,NA,NA,NA,NA,NA,NA,4,-61.9974989378142,132.231684266161,7.5174494542606,0.000154317869506993
"3996",-1.98006068468582,1.07430756632261,3.95162402925375,NA,-1.12862254226375,-0.434272957301941,NA,NA,-3.47773669619737,-1.76422037635856,1.03958717943928,2.01686655059294,-1.72851411477412,NA,10,-55.44289726718,132.235487785894,7.52125297399343,0.00015402467285927
"439",-2.81707258264411,NA,3.7389456511235,0.923773547553873,NA,-0.245571748116164,0.570134557251458,NA,-3.03290808630879,-1.25566123744432,NA,NA,NA,NA,7,-58.7808679173217,132.236434629824,7.52219981792382,0.000153951771453881
"443",-1.83950854483167,NA,3.72207646042251,NA,-0.81701528455221,-0.553859148616705,0.801457888716156,NA,-2.98936316705218,-1.30762243593408,NA,NA,NA,NA,7,-58.7809682857623,132.236635366705,7.52240055480499,0.000153936320330071
"5659",-4.7621919917543,NA,3.85657640359507,NA,-0.750540085662239,-0.958655554489396,NA,NA,NA,NA,0.513561185867474,3.74643926355731,NA,-1.28212153929647,7,-58.7823655331438,132.239429861468,7.52519504956794,0.000153721383404572
"3355",-3.61240125776424,NA,3.49628670351126,NA,-0.688110564350438,-0.516480496262885,NA,NA,NA,-0.984077353023228,NA,3.02712516768905,-1.36164054221939,NA,7,-58.7830999370225,132.240898669226,7.5266638573253,0.000153608531268959
"5844",-3.53511790123721,0.946120194991144,3.92345412837165,NA,NA,-0.524336730368537,NA,-0.584305765216451,-3.15178192164804,NA,0.41598566804796,2.75320965594588,NA,-1.10839204866222,9,-56.5725414223285,132.242643820267,7.52840900836637,0.000153474554685673
"4132",-4.08305692468784,0.562317610182284,4.35834629797436,NA,NA,NA,0.13971099485156,NA,NA,NA,NA,NA,NA,-1.14324339732564,5,-60.943423695048,132.243990247239,7.5297554353385,0.00015337126831648
