"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"2182",-2.48055723789144,6.87539209654532,NA,1.3406728157947,NA,NA,NA,NA,-4.64042278849813,NA,NA,NA,-0.199647640090853,5,-89.798948581433,189.950838339337,2.46186272062604,0.00477254923544723
"1170",-1.38901922168832,6.12719023816881,NA,NA,NA,-0.843822608112452,NA,NA,-4.57244689537061,NA,NA,0.574765953377736,NA,5,-89.8025949303718,189.958131037214,2.4691554185035,0.00475517854465401
"674",-2.35868240954642,6.97089753352244,NA,NA,NA,NA,1.48079100342916,NA,-4.962429762584,NA,-0.773334039828664,NA,NA,5,-89.8133485659765,189.979638308424,2.49066268971302,0.0047043170504738
"148",-1.01294909528001,6.12815009073575,0.279775027803949,NA,NA,-0.949280377980788,NA,NA,-4.75064529311555,NA,NA,NA,NA,5,-89.826285292578,190.005511761627,2.51653614291604,0.00464385054953879
"398",-2.51178857347033,6.85659418118454,NA,1.69508925423992,-0.968265894142182,NA,NA,NA,-4.71426512554377,0.627451433974421,NA,NA,NA,6,-88.7698162250052,190.036673870129,2.5476982514181,0.00457205523798354
"402",-1.23652982518628,6.11268535996576,NA,NA,NA,-0.897621657669381,NA,NA,-4.60202141011411,0.475001337523688,NA,NA,NA,5,-89.8495659136577,190.052073003786,2.56309738507534,0.00453698756930763
"1166",-2.53551290800884,6.78758104216146,NA,1.61199344273447,-0.925779895064085,NA,NA,NA,-4.65250245350344,NA,NA,0.59697588700599,NA,6,-88.7986538661791,190.094349152476,2.60537353376583,0.00444209088874581
"658",-0.933641395141885,5.95162072894133,NA,NA,NA,-0.895867731022018,NA,NA,-4.30992517971478,NA,-0.352725839051692,NA,NA,5,-89.8874534869257,190.127848150322,2.63887253161141,0.00436830773259138
"1186",-2.76371320811718,7.12318396243418,NA,NA,NA,NA,1.10126119053219,NA,-5.29982222494497,NA,NA,0.730340691884142,NA,5,-89.9094296376568,190.171800451784,2.68282483307365,0.00427335629831428
"2194",-0.957592205983708,6.08630839000351,NA,NA,NA,-0.910395934896941,NA,NA,-4.49136438508627,NA,NA,NA,-0.262310120400887,5,-89.911764789021,190.176470754513,2.68749513580207,0.00426338900662117
"1162",-1.65716349854038,6.54408211303449,NA,NA,-0.726388710153551,NA,NA,NA,-4.52200578934329,NA,NA,0.579194572942176,NA,5,-89.9207460059021,190.194433188275,2.70545756956412,0.00422527001898211
"140",-1.28853410392696,6.58542721160481,0.289971730163831,NA,-0.857210710285316,NA,NA,NA,-4.69167561207108,NA,NA,NA,NA,5,-89.9348662706528,190.222673717776,2.73369809906549,0.00416602733319807
"210",-0.901216039483797,6.30669603583967,NA,NA,NA,-0.920555273091284,NA,-0.490403421763355,-4.52470968479537,NA,NA,NA,NA,5,-89.934902814331,190.222746805133,2.73377118642199,0.00416587509401734
"678",-3.26089683715359,7.24455210193289,NA,1.42626620568877,NA,NA,1.53865488367884,NA,-5.04178961456949,NA,-0.862523680076422,NA,NA,6,-88.8970419437387,190.291125307596,2.80214968888507,0.00402585418779361
"394",-1.49961167678131,6.55054803978071,NA,NA,-0.777008844254151,NA,NA,NA,-4.54782263748458,0.443551402104093,NA,NA,NA,5,-89.9886252710068,190.330191718484,2.84121609977365,0.00394797939903144
"186",-1.5220352259047,6.52462816859195,NA,NA,-0.744471257519977,-0.844963401646669,1.41533344452845,NA,-5.31816644253402,NA,NA,NA,NA,6,-88.9206307881596,190.338302996438,2.84932737772689,0.00393200024464486
"2190",-2.08788049087113,6.76426559291411,NA,1.58708347497003,-1.00814496028359,NA,NA,NA,-4.55569700852213,NA,NA,NA,-0.246954209989517,6,-88.9304200776763,190.357881575471,2.86890595676039,0.00389369654476106
"2186",-1.21886644740655,6.53828468988252,NA,NA,-0.823016861368162,NA,NA,NA,-4.41931322913938,NA,NA,NA,-0.297785484607578,5,-90.012502118444,190.377945413359,2.88896979464798,0.00385483057272629
"902",-3.01122209071065,6.86225144652188,NA,1.64777001349892,NA,NA,NA,NA,-4.22395794639421,1.33751839774534,-1.07053251473433,NA,NA,6,-88.9420169100481,190.381075240215,2.89209962150392,0.00384880281429069
"690",-1.71037404690811,6.41317933557779,NA,NA,NA,-1.019723552833,1.68131737413224,NA,-5.02547467938724,NA,-0.789804600696476,NA,NA,6,-88.9572266365509,190.41149469322,2.92251907450961,0.00379070651054252
"654",-2.130757416809,6.66203440301408,NA,1.61241110385449,-0.945438376370673,NA,NA,NA,-4.46506548864168,NA,-0.21630054565998,NA,NA,6,-88.9603193777556,190.41768017563,2.928704556919,0.00377900094679248
"206",-2.10863735868156,6.96528410169299,NA,1.64384035715309,-0.958327751645712,NA,NA,-0.419292115922456,-4.5980811364202,NA,NA,NA,NA,6,-88.9606707059842,190.418382832087,2.92940721337615,0.00377767351028067
"406",-2.21532913408775,6.43034571470481,NA,1.4044159747542,NA,-0.835376198192521,NA,NA,-4.75661290382936,0.64521991441531,NA,NA,NA,6,-88.9989299660472,190.494901352213,3.00592573350221,0.00363587241609276
"152",-1.89932851135411,6.42974264966696,0.348548992992757,1.38448811970346,NA,-0.89930953020441,NA,NA,-4.91933546968315,NA,NA,NA,NA,6,-88.9997854201193,190.496612260357,3.00763664164631,0.00363276342421843
"650",-1.26861770869028,6.43634988403171,NA,NA,-0.76005769582208,NA,NA,NA,-4.36416434293374,NA,-0.179934828816449,NA,NA,5,-90.082242526779,190.517426230029,3.02845061131791,0.00359515335351528
"1174",-2.26240491159878,6.39149859428938,NA,1.32767547729048,NA,-0.788594527185489,NA,NA,-4.69765773225722,NA,NA,0.624833324933231,NA,6,-89.0223846699608,190.54181076004,3.05283514132935,0.0035515864205778
"202",-1.2769766911816,6.52675497657154,NA,NA,-0.794361319076184,NA,NA,-0.0911935566567625,-4.47799040753846,NA,NA,NA,NA,5,-90.1049147758926,190.562770728256,3.07379510954516,0.00351456020727778
"190",-2.45938233974464,6.86007021666671,NA,1.51049902717966,-0.931042884986029,-0.713875151803738,1.43372912618061,NA,-5.44622887765082,NA,NA,NA,NA,7,-87.9552624163991,190.577191499465,3.08821588075418,0.00348931001416317
"898",-1.91736004548512,6.55715044425088,NA,NA,NA,NA,NA,NA,-4.17221250517433,1.0071268052569,-0.838253280691137,NA,NA,5,-90.112433446809,190.577808070089,3.08883245137807,0.00348823447693167
"1190",-3.64263102920244,7.40331922009866,NA,1.36937021670712,NA,NA,1.10938109654264,NA,-5.41407795649471,NA,NA,0.75411795598399,NA,6,-89.059458404178,190.615958228474,3.12698260976381,0.0034223267242551
"2210",-2.28294910214886,7.0840517920385,NA,NA,NA,NA,1.085914102509,NA,-5.18703028050031,NA,NA,NA,-0.261589793653441,5,-90.1436079799874,190.640157136445,3.15118151773481,0.00338116794105824
"214",-1.71241467813178,6.77834091472385,NA,1.40235282165695,NA,-0.868652844243568,NA,-0.835646099878223,-4.6405238951366,NA,NA,NA,NA,6,-89.0969103552715,190.690862130661,3.20188651195079,0.00329652438700611
"662",-1.76389846988972,6.18448467535064,NA,1.33833005578499,NA,-0.834115153695972,NA,NA,-4.38545604658378,NA,-0.419077386314444,NA,NA,6,-89.1021752889192,190.701391997957,3.21241637924621,0.00327921401380988
"226",-2.25055768199677,7.26071198072674,NA,NA,NA,NA,1.08159897451525,-0.405123950367347,-5.22109315709428,NA,NA,NA,NA,5,-90.1830237768905,190.718988730252,3.23001311154096,0.00325048884083955
"418",-2.37335361964395,7.02484682064808,NA,NA,NA,NA,0.985461018888886,NA,-5.20507011779826,0.202589624159076,NA,NA,NA,5,-90.1961983562816,190.745337889034,3.25636227032314,0.00320794587572689
"164",-2.30998686031968,7.04048423772553,0.0937858025144814,NA,NA,NA,1.01665052139415,NA,-5.26405776649007,NA,NA,NA,NA,5,-90.2002664176916,190.753474011854,3.26449839314319,0.00319492226329276
"1666",-2.02175977152826,6.57069157849876,NA,NA,NA,NA,NA,NA,-4.31102615376907,NA,-0.472059614301416,0.782366545770104,NA,5,-90.2072149990445,190.76737117456,3.27839555584904,0.00317279903756104
"3202",-2.09042507369904,6.7861790626463,NA,NA,NA,NA,NA,NA,-4.55329304444845,NA,NA,0.833834165790492,-0.394185336478479,5,-90.2240886302021,190.801118436875,3.31214281816426,0.00311971154582208
"686",-3.00526309657996,7.23227349218375,NA,1.6443694522654,-1.00694641274854,NA,1.65735996989704,NA,-5.16996534216177,NA,-0.639750332389945,NA,NA,7,-88.0796571472206,190.825980961108,3.33700534239719,0.00308116965240012
"1202",-2.07083345720987,6.57885142255016,NA,NA,NA,-0.952175788768497,1.27786412650945,NA,-5.342315300349,NA,NA,0.581090812960769,NA,6,-89.1847960163421,190.866633452802,3.37765783409185,0.0030191732520874
"1156",-2.13925917916054,6.78112306323576,0.245802305346333,NA,NA,NA,NA,NA,-4.80701375963732,NA,NA,0.739498349442539,NA,5,-90.2573301935853,190.867601563641,3.37862594493055,0.00301771215856642
"2198",-1.78359264519087,6.32227997078555,NA,1.28621212362458,NA,-0.856356989797022,NA,NA,-4.61427553545165,NA,NA,NA,-0.217518461950142,6,-89.1873111980663,190.871663816251,3.38268819754035,0.00301158902455489
"1198",-3.30271286019697,7.3540086318766,NA,1.62194431825642,-1.04868777787902,NA,1.34586383820283,NA,-5.45661463202089,NA,NA,0.603345475641213,NA,7,-88.1372164990719,190.941099664811,3.45212404609993,0.00290882706743004
"1410",-2.22960560200847,6.72931944641041,NA,NA,NA,NA,NA,NA,-4.67049059762774,0.385753277294109,NA,0.635494378002586,NA,5,-90.295579907902,190.944100992275,3.45512537356396,0.00290446516983658
"694",-2.59788664236336,6.69359918029638,NA,1.35988469514177,NA,-0.955167113102848,1.72058918331129,NA,-5.10621184257515,NA,-0.86976503232081,NA,NA,7,-88.1492220520609,190.965110770788,3.4761351520778,0.00287411378296839
"644",-1.56590429797531,6.58920808076927,0.371648163578918,NA,NA,NA,NA,NA,-4.43868239179761,NA,-0.621312776080801,NA,NA,5,-90.3113079578081,190.975557092087,3.48658147337608,0.00285914096172137
"1218",-1.99925135640738,6.9926243466881,NA,NA,NA,NA,NA,-0.552631615472621,-4.6080030473223,NA,NA,0.7500137123518,NA,5,-90.318703299979,190.990347776429,3.50137215771795,0.00283807462837781
"682",-2.05334823515677,6.93967892439171,NA,NA,-0.82813698486784,NA,1.58248624910908,NA,-5.05441927329854,NA,-0.578650975690343,NA,NA,6,-89.2519871956277,191.001015811374,3.51204019266305,0.00282297659111603
"230",-3.09228267746679,7.78636168476122,NA,1.45323092491832,NA,NA,1.10229709742086,-0.791890541141388,-5.33058566148627,NA,NA,NA,NA,6,-89.2593168382767,191.015675096672,3.52669947796107,0.00280236082688511
"1194",-2.36541923164455,7.0543425339185,NA,NA,-0.858787895308584,NA,1.30815524360795,NA,-5.31319159337543,NA,NA,0.587416056176588,NA,6,-89.2787930021969,191.054627424512,3.56565180580156,0.00274830965138526
"648",-2.47638829954136,6.86554953264464,0.483992851802225,1.53648492861253,NA,NA,NA,NA,-4.53919268088673,NA,-0.769889166245511,NA,NA,6,-89.2789591543717,191.054959728862,3.56598411015119,0.00274785305169319
"2226",-1.62973264267257,6.52690767679568,NA,NA,NA,-1.01783695383964,1.27720536730731,NA,-5.25258772115191,NA,NA,NA,-0.273052477695263,6,-89.2893451235119,191.075731667142,3.5867560484316,0.00271946162614221
"1670",-2.89319338241124,6.8014116275525,NA,1.42301029002252,NA,NA,NA,NA,-4.37983047879227,NA,-0.555243371477341,0.826503380408691,NA,6,-89.2928975437243,191.082836507567,3.59386088885626,0.00270981809477425
"422",-3.30234083284087,7.31254553134086,NA,1.4150822755154,NA,NA,0.907828252168166,NA,-5.29552433070796,0.392829638658489,NA,NA,NA,6,-89.3095186039669,191.116078628052,3.6271030093416,0.00266515028646209
"176",-2.87100458781872,7.31770916910517,0.248962221407189,1.68931114602538,-1.151372629575,NA,1.17031211862458,NA,-5.48087346745488,NA,NA,NA,NA,7,-88.2257430625656,191.118152791798,3.6291771730873,0.00266238774015253
