"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"14651",-2.82392214864293,NA,3.47421865269464,NA,-2.92839951684195,0.493556283979107,2.68107633336217,NA,NA,-3.27774201364671,NA,NA,3.14324374666186,1.37136994289185,-1.60880514225746,9,-80.4450853567461,179.987731689102,3.73774280762268,0.00230155649209523
"2479",-3.92492618297777,NA,3.58426482348221,1.31284877358488,-3.25112973920557,NA,3.13468631737582,NA,1.56325704449076,-3.42493380997222,NA,NA,2.90153540173635,NA,NA,8,-81.5990360974082,180.070799467544,3.8208105860644,0.0022079218649228
"8619",-1.07531972710638,NA,3.87468859515631,NA,-3.40463522940883,NA,3.09682517516395,NA,1.62094967115751,-4.26841845102433,NA,NA,NA,NA,-1.36360725997458,7,-82.6980846222467,180.070868039674,3.82087915819483,0.00220784616526748
"14623",-3.14836627764271,NA,3.09326217395803,1.9324957458772,-1.88224012173891,0.702771658888361,NA,NA,NA,-2.75141864595719,NA,NA,3.44593676926531,0.997604003370379,-2.07310294492988,9,-80.4947850450419,180.087131065694,3.83714218421417,0.00218996583105914
"8463",-0.563818958572208,NA,4.04369267077574,1.77955003620847,-2.15372711437656,NA,NA,NA,NA,-3.77514894697669,NA,NA,NA,NA,-1.85000125733761,6,-83.8060439620711,180.115081936118,3.86509305463883,0.00215957297682706
"9007",-1.80698188004653,NA,4.82872381341091,1.76715558844879,-3.00246203983032,NA,2.81912706273063,NA,NA,-4.18015476403147,0.275252335850876,NA,NA,NA,-1.68272137120375,8,-81.634244130685,180.141215534097,3.89122665261789,0.00213153783451536
"15147",-2.87976924167288,NA,3.6827342106453,NA,-3.02341199178495,NA,2.66830730448052,NA,NA,-3.2423432429334,0.363162373511738,NA,3.30044554055382,1.44493698033041,-1.6803619338663,9,-80.5332742747495,180.164109525109,3.91412064362939,0.00210727725081191
"8496",-1.72167726909754,-0.114291092760796,4.8055218797836,1.75455314981024,-3.00278090878469,NA,2.83222426760077,NA,NA,-4.04501343133653,NA,NA,NA,NA,-1.65694586649288,8,-81.6504092545229,180.173545781773,3.9235569002937,0.00209735826423725
"11056",-3.69449922302265,-0.189575527786128,4.25613278941429,1.98019175179945,-2.86570069381006,NA,2.51150979343889,NA,NA,-2.9689917346195,0.742110673559617,NA,3.2059918836429,NA,-1.83944330510342,10,-79.4122677020836,180.174228655701,3.92423977422169,0.00209664227083937
"9519",-1.68983492776899,NA,4.79396730370209,1.74047994310285,-2.977028030287,NA,2.81824893625632,NA,NA,-3.99824889326819,NA,-0.177135401329612,NA,NA,-1.63137727942084,8,-81.6522760213429,180.177279315413,3.92729043393365,0.00209344663760333
"12079",-3.6684473309724,NA,4.22791535222055,1.95525554412299,-2.80289397636695,NA,2.48224826230792,NA,NA,-2.88110747706458,0.864998646904912,-0.341785558363328,3.185225857611,NA,-1.7955685021974,10,-79.4170939979917,180.183881247517,3.93389236603787,0.0020865476342731
"14383",-5.59576872512906,NA,4.15392493001855,1.89131654019408,-2.77054425954892,NA,2.12476026400457,NA,NA,NA,NA,NA,4.52807841469636,1.21223013716982,-2.12353407187638,8,-81.6587239067251,180.190175086177,3.94018620469808,0.00207999175800679
"2363",-2.59515915083308,NA,3.45070714214741,NA,-2.98735729341352,0.805937015442228,2.91427567752562,NA,NA,-3.50154017005135,NA,NA,2.67305022718255,NA,NA,7,-82.7583176224183,180.191334040017,3.94134515853793,0.0020787867999458
"8559",-1.66775862973354,NA,4.77457970203559,1.76301447404392,-3.01151377981895,NA,2.85773885911771,-0.0229288033310737,NA,-4.01979143095437,NA,NA,NA,NA,-1.63907316193818,8,-81.6631827463509,180.199092765429,3.94910388394965,0.00207073805405707
"14699",-2.86270806746279,NA,3.79582213300844,NA,-3.05302880033405,NA,2.60305951028064,0.0496782703704454,NA,-3.39712555936482,NA,NA,3.27453053401705,1.46094454590697,-1.69010726530405,9,-80.5514110708221,180.200383117254,3.9503942357747,0.00206940249462516
"12587",-1.0441652143898,NA,4.37523095999281,NA,-3.12481620479493,NA,2.96484804099266,NA,NA,-4.27893541676787,NA,NA,NA,1.0931667860735,-1.53627952512702,7,-82.7770384616429,180.228775718467,3.97878683698718,0.00204023217991587
"299",-1.0142166175591,NA,4.37569165740386,NA,-3.25712426152675,NA,3.17618985899996,NA,NA,-4.34584007890364,NA,NA,NA,NA,NA,5,-84.9404207885575,180.237984434258,3.98799555277861,0.00203085981419017
"15119",-3.29348068504439,NA,3.37908463422432,1.90159328652572,-2.02087528384014,NA,NA,NA,NA,-2.74631304927598,0.654117731464842,NA,3.7205837073553,1.13406625171332,-2.16164935623525,9,-80.578749293308,180.255059562226,4.00507068074637,0.0020135950230827
