"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(latitude)","log(longitude)","log(nearest_SP)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"3",-6.11832618984783,NA,0.943877413075632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-77.2745598996788,158.619295237954,0,0.00488889484160637
"259",-5.4572274341903,NA,0.846563061706272,NA,NA,NA,NA,NA,NA,-0.440387003524684,NA,NA,NA,NA,NA,3,-76.5426281760315,159.226432822651,0.607137584697028,0.00360888002502416
"2051",-4.55152808369909,NA,0.790700369646548,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258019643640286,NA,NA,3,-76.5508351273792,159.242846725347,0.623551487392547,0.00357938332678257
"35",-5.26367223838972,NA,0.844185657011591,NA,NA,NA,-0.192027403341638,NA,NA,NA,NA,NA,NA,NA,NA,3,-76.7382677010591,159.617711872706,0.998416634752317,0.00296761309151678
"1283",-6.05114458361596,NA,0.920265392687592,NA,NA,NA,NA,NA,NA,-0.671694064817339,NA,0.161005159756628,NA,NA,NA,4,-75.7576599082464,159.752006207025,1.1327109690713,0.00277488912001001
"2083",-3.40495214431724,NA,0.660194186728201,NA,NA,NA,-0.219217882729277,NA,NA,NA,NA,NA,0.28677625278667,NA,NA,4,-75.8656761190238,159.96803862858,1.34874339062608,0.00249077667340208
"8195",-6.02106711954651,NA,0.9702517594127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.336423723502189,3,-76.9453085599637,160.031793590516,1.41249835256153,0.00241262917756418
"291",-4.5444789810062,NA,0.739916561533076,NA,NA,NA,-0.202079246016303,NA,NA,-0.45572805187847,NA,NA,NA,NA,NA,4,-75.9521514079381,160.140989206409,1.52169396845471,0.00228443628146398
"7",-6.68610388717314,NA,0.98218294489572,0.175809853436618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-77.0240429268389,160.189262324266,1.56996708631192,0.00222995795498316
"1027",-6.49342235486447,NA,0.992906410873723,NA,NA,NA,NA,NA,NA,NA,NA,0.0661067058240307,NA,NA,NA,3,-77.1093894503764,160.359955371341,1.74066013338697,0.00204753413363292
"323",-6.80153268030411,NA,0.969959410960274,NA,NA,NA,NA,0.349003107799331,NA,-0.643675293597303,NA,NA,NA,NA,NA,4,-76.0772128665669,160.391112123666,1.77181688571221,0.00201588404526745
"3075",-4.85325313228146,NA,0.844072011096309,NA,NA,NA,NA,NA,NA,NA,NA,0.116152102078694,0.320538857549281,NA,NA,4,-76.0878909610586,160.41246831265,1.79317307469569,0.00199447276423424
"4",-6.34250610461219,0.217874229824738,0.979441905609695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-77.1815699004724,160.504316271533,1.88502103357888,0.00190494999214801
"4099",-5.0394902357878,NA,0.960330517631809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.290538084461543,NA,3,-77.1856160518819,160.512408574352,1.89311333639787,0.00189725784833574
"515",-5.88540143940441,NA,0.93019132582994,NA,NA,NA,NA,NA,NA,NA,-0.360033814988763,NA,NA,NA,NA,3,-77.1878805276575,160.516937525903,1.89764228794908,0.00189296641465574
"131",-7.47096008910955,NA,0.878590520155422,NA,NA,NA,NA,NA,0.887121196519205,NA,NA,NA,NA,NA,NA,3,-77.200778665377,160.542733801342,1.9234385633882,0.00186870745714152
"1315",-5.11112677136422,NA,0.810658070833582,NA,NA,NA,-0.21508557136591,NA,NA,-0.698490504146111,NA,0.169494040352729,NA,NA,NA,5,-75.0989411497797,160.555025156702,1.93572991874819,0.001857258201186
"19",-52.8576008173575,NA,0.901822295754451,NA,NA,10.9509465295049,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-77.2291341118382,160.599444694265,1.98014945631058,0.00181646362195126
"67",-6.48320104077508,NA,0.980552790633323,NA,NA,NA,NA,0.0784086337712364,NA,NA,NA,NA,NA,NA,NA,3,-77.2438630675845,160.628902605757,2.00960736780303,0.0017899050795837
"11",6.33804849046815,NA,0.940050171603977,NA,-3.33765236506868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-77.2699158875833,160.681008245755,2.06171300780076,0.0017438752121879
"2307",-4.5306066749395,NA,0.76564878237056,NA,NA,NA,NA,NA,NA,-0.312445753779475,NA,NA,0.184426408270945,NA,NA,4,-76.2373216839168,160.711329758366,2.09203452041208,0.00171763614966696
"8227",-5.02829830517454,NA,0.866536395866171,NA,NA,NA,-0.224854267734044,NA,NA,NA,NA,NA,NA,NA,-0.423296335159188,4,-76.2384635684069,160.713613527346,2.09431828939228,0.00171567592697497
"260",-5.74433412837246,0.411531881413467,0.892802896561887,NA,NA,NA,NA,NA,NA,-0.519180334363361,NA,NA,NA,NA,NA,4,-76.2438935660257,160.724473522584,2.10517828462989,0.00170638505830257
"10243",-4.50624105232878,NA,0.821579708720177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251280591643262,NA,-0.324223938021684,4,-76.2517866135412,160.740259617615,2.12096437966076,0.00169296949444851
"8451",-5.37015383312905,NA,0.869992770569934,NA,NA,NA,NA,NA,NA,-0.425454604490736,NA,NA,NA,NA,-0.30814677433435,4,-76.2689977225134,160.774681835559,2.15538659760514,0.00166408092724826
"2115",-5.35381588679536,NA,0.876677099385559,NA,NA,NA,NA,0.239519589651348,NA,NA,NA,NA,0.316971857033674,NA,NA,4,-76.2953626061458,160.827411602824,2.20811636487002,0.00162078093502312
"2055",-5.10733985643253,NA,0.826477305419591,0.179016593702306,NA,NA,NA,NA,NA,NA,NA,NA,0.260077311254524,NA,NA,4,-76.2996863889501,160.836059168433,2.21676393047852,0.00161378815880381
"263",-5.99634110891131,NA,0.883069167159549,0.164730381503263,NA,NA,NA,NA,NA,-0.43118857398462,NA,NA,NA,NA,NA,4,-76.3307122692343,160.898110929001,2.27881569104704,0.00156448771016903
"3331",-4.97551253147685,NA,0.830914036474996,NA,NA,NA,NA,NA,NA,-0.540498154364966,NA,0.180852225622035,0.232192919641496,NA,NA,5,-75.2848666362456,160.926876129634,2.30758089167992,0.0015421473500765
"1795",-5.72792327053689,NA,0.921850732724585,NA,NA,NA,NA,NA,NA,-0.694811869990077,-0.984221090815405,0.22687457866395,NA,NA,NA,5,-75.2947560766367,160.946655010416,2.32735977246219,0.00152697153960405
"2052",-4.75763941811401,0.308310876424174,0.829344986301329,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274871249169471,NA,NA,4,-76.3710540261382,160.978794442809,2.35949920485481,0.00150262964779598
"3107",-3.63563862881696,NA,0.708149079971875,NA,NA,NA,-0.235652079461006,NA,NA,NA,NA,0.129274891663014,0.362095748798439,NA,NA,5,-75.3113039771678,160.979750811478,2.36045557352432,0.00150191128560593
"2081",0.474950674817429,NA,NA,NA,NA,NA,-0.321736537633529,NA,NA,NA,NA,NA,0.434708653644195,NA,NA,3,-77.4196553739795,160.980487218547,2.36119198059308,0.0015013583783597
"9475",-6.00032549067178,NA,0.95733272467756,NA,NA,NA,NA,NA,NA,-0.686459990828842,NA,0.179424124805336,NA,NA,-0.391956186139015,5,-75.3215644360371,161.000271729217,2.38097649126297,0.00148657977530443
"2179",-6.26259102872567,NA,0.700467920042832,NA,NA,NA,NA,NA,1.15754754043082,NA,NA,NA,0.267319756438267,NA,NA,4,-76.4282117329879,161.093109856508,2.47381461855423,0.00141915122624414
"387",-7.04208113019714,NA,0.768152523862195,NA,NA,NA,NA,NA,1.04663385496365,-0.450935479053455,NA,NA,NA,NA,NA,4,-76.4368768183839,161.1104400273,2.49114478934612,0.00140690728369282
"10275",-3.26492036841841,NA,0.6924906420682,NA,NA,NA,-0.247186365956937,NA,NA,NA,NA,NA,0.277786589828158,NA,-0.409892327664596,5,-75.4083807505427,161.173904358228,2.55460912027422,0.00136296396457065
"355",-5.90418006834777,NA,0.861435393608739,NA,NA,NA,-0.212654947204297,0.371155537855053,NA,-0.672861481194493,NA,NA,NA,NA,NA,5,-75.4256035058915,161.208349868926,2.5890546309717,0.00133969095758597
"4355",-4.59463155227958,NA,0.859973947001869,NA,NA,NA,NA,NA,NA,-0.43126921545663,NA,NA,NA,-0.233470431765551,NA,4,-76.4858406004342,161.208367591401,2.58907235344682,0.00133967908631873
"275",-53.5884300407702,NA,0.804782611960968,NA,NA,11.2752347937057,NA,NA,NA,-0.440041488191426,NA,NA,NA,NA,NA,4,-76.4956679236078,161.228022237748,2.60872699979396,0.00132657810620815
"39",-5.83226134714757,NA,0.883711140506306,0.171721379003212,NA,NA,-0.190243661020964,NA,NA,NA,NA,NA,NA,NA,NA,4,-76.5042469775029,161.245180345538,2.62588510758431,0.00131524600001737
"771",-5.34108751571856,NA,0.841529933446244,NA,NA,NA,NA,NA,NA,-0.425764375700297,-0.211370436281103,NA,NA,NA,NA,4,-76.5137497913726,161.264185973278,2.64489073532371,0.00130280666006195
"6147",-3.959442572188,NA,0.804958841000762,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250427316682719,-0.17192073328798,NA,4,-76.5202607002158,161.277207790964,2.65791255300999,0.00129435175907115
"2067",-35.1834365772245,NA,0.765222898697074,NA,NA,7.17146479004827,NA,NA,NA,NA,NA,NA,0.253679547551206,NA,NA,4,-76.5314745601987,161.29963551093,2.68034027297591,0.00127991815911329
"267",-3.85112294117305,NA,0.846237602036126,NA,-0.430616001538187,NA,NA,NA,NA,-0.440058818435797,NA,NA,NA,NA,NA,4,-76.5425515088911,161.321789408315,2.70249417036069,0.00126581880441282
"2563",-4.51651523852201,NA,0.790026554233601,NA,NA,NA,NA,NA,NA,NA,-0.114847431135594,NA,0.251305906080833,NA,NA,4,-76.5426494006905,161.321985191914,2.70268995395941,0.00126569489719725
"2059",1.27193405599968,NA,0.789180699470099,NA,-1.56111825890265,NA,NA,NA,NA,NA,NA,NA,0.257582254107728,NA,NA,4,-76.5498060518669,161.336298494266,2.71700325631227,0.00125666909610057
"1059",-5.63891206491616,NA,0.893212191840382,NA,NA,NA,-0.19491272214046,NA,NA,NA,NA,0.069097560655517,NA,NA,NA,4,-76.5599482613952,161.356582913323,2.73728767536883,0.00124398811013023
"9507",-4.92389383325614,NA,0.846094546253269,NA,NA,NA,-0.254877703799298,NA,NA,-0.718777916935288,NA,0.195329662787277,NA,NA,-0.49368324772255,6,-74.4398825223781,161.382759056732,2.76346381877818,0.00122781278733624
"8483",-4.34078007509811,NA,0.761223382502743,NA,NA,NA,-0.23048933438269,NA,NA,-0.435776367997826,NA,NA,NA,NA,-0.391224276668332,5,-75.5287443712451,161.414631599633,2.79533636167889,0.00120840111512748
"8199",-6.69884409877261,NA,1.02213034203573,0.21230767464989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.389828724802528,4,-76.5921652611557,161.421016912844,2.8017216748899,0.00120454925742648
"2147",-4.23380420186562,NA,0.748022819501985,NA,NA,NA,-0.230679467449342,0.271050021545031,NA,NA,NA,NA,0.356546660458622,NA,NA,5,-75.5414017063158,161.439946269774,2.82065103182026,0.00119320236804379
"3363",-3.75816850833107,NA,0.695585954136491,NA,NA,NA,-0.241396730048548,NA,NA,-0.550362938381375,NA,0.196305867316987,0.271391829753971,NA,NA,6,-74.4781145969865,161.459223205949,2.83992796799495,0.0011817569717475
"36",-5.50951354261889,0.250037783478288,0.884515508512401,NA,NA,NA,-0.197048878045087,NA,NA,NA,NA,NA,NA,NA,NA,4,-76.6174339401476,161.471554270828,2.85225903287363,0.00117449322624224
"2339",-3.40964195038169,NA,0.638524246661107,NA,NA,NA,-0.21806193912738,NA,NA,-0.308612729777559,NA,NA,0.211612583734344,NA,NA,5,-75.5607203963542,161.478583649851,2.85928841189713,0.00117037249300925
"1287",-6.53659062973393,NA,0.949600888560801,0.157886453774775,NA,NA,NA,NA,NA,-0.660074010087093,NA,0.159206037646168,NA,NA,NA,5,-75.5660493311122,161.489241519367,2.86994628141321,0.00116415224272535
"2371",-5.91869887017084,NA,0.899674515190717,NA,NA,NA,NA,0.424866588086208,NA,-0.522211318106005,NA,NA,0.243869175631481,NA,NA,5,-75.5769566281426,161.511056113428,2.89176087547389,0.00115152348642588
"4131",-4.12942678195301,NA,0.860476149062986,NA,NA,NA,-0.192788794766274,NA,NA,NA,NA,NA,NA,-0.303848381037917,NA,4,-76.6426999145933,161.522086219719,2.90279098176509,0.00114519025331097
"292",-4.83941874108709,0.456448510244269,0.790337697303638,NA,NA,NA,-0.212811573618111,NA,NA,-0.542782331445328,NA,NA,NA,NA,NA,5,-75.5916654600144,161.540473777172,2.92117853921755,0.00113470987846776
"547",-5.09235230834959,NA,0.835133646489584,NA,NA,NA,-0.187174585530386,NA,NA,NA,-0.295693571492892,NA,NA,NA,NA,4,-76.6804276602683,161.597541711069,2.97824647311506,0.00110278967503654
"2087",-3.95334539836667,NA,0.695752861636535,0.178838903680802,NA,NA,-0.219701769782535,NA,NA,NA,NA,NA,0.290644858829945,NA,NA,5,-75.6220640033641,161.601270863871,2.98197562591687,0.00110073535524658
"2084",-3.61170063044176,0.360477685095882,0.703195688331861,NA,NA,NA,-0.229312508290856,NA,NA,NA,NA,NA,0.308163890997106,NA,NA,5,-75.6256724387381,161.608487734619,2.98919249666503,0.00109677058047203
"1347",-6.7066330369524,NA,0.977891867238242,NA,NA,NA,NA,0.194655952231419,NA,-0.746350208625592,NA,0.133635485972064,NA,NA,NA,5,-75.6373992449371,161.631941347017,3.01264610906284,0.00108398408334782
"163",-6.28047484699897,NA,0.798515933314335,NA,NA,NA,-0.186680735063878,NA,0.652694425446241,NA,NA,NA,NA,NA,NA,4,-76.6988398341193,161.634366058771,3.01507082081696,0.00108267070517547
"99",-5.65639622598624,NA,0.883045763705682,NA,NA,NA,-0.193348686832398,0.0869848583243027,NA,NA,NA,NA,NA,NA,NA,4,-76.7003445817988,161.63737555413,3.01808031617597,0.00108104278405663
"5379",-4.84798100212599,NA,0.94530466371227,NA,NA,NA,NA,NA,NA,-0.66755398578242,NA,0.168086081347477,NA,-0.33616808688987,NA,5,-75.6414904854376,161.640123828018,3.0208285900639,0.00107955830340249
"9219",-6.47272467543338,NA,1.03431463764966,NA,NA,NA,NA,NA,NA,NA,NA,0.080100742525475,NA,NA,-0.374940105551601,4,-76.7062404748586,161.64916734025,3.02987210229566,0.00107468782390047
"51",-44.9738132884373,NA,0.808934197424979,NA,NA,9.30243507548617,-0.189600832416182,NA,NA,NA,NA,NA,NA,NA,NA,4,-76.7069131212583,161.650512633049,3.03121739509501,0.0010739651820734
"11267",-4.85271490725392,NA,0.891705703218078,NA,NA,NA,NA,NA,NA,NA,NA,0.132528842069683,0.322544031609923,NA,-0.390227478127513,5,-75.6632629870287,161.6836688312,3.06437359324605,0.00105630764944872
"43",-8.76773997067051,NA,0.845046956754107,NA,0.93946388373671,NA,-0.192550933429458,NA,NA,NA,NA,NA,NA,NA,NA,4,-76.7379084907069,161.712503371946,3.09320813399214,0.00104118783161696
"1284",-6.11813864832214,0.188258181093397,0.933335862716612,NA,NA,NA,NA,NA,NA,-0.684538648358095,NA,0.14423679176635,NA,NA,NA,5,-75.7024370504619,161.762016958067,3.14272172011258,0.00101572781447519
"8515",-6.83018563564985,NA,1.00831455594037,NA,NA,NA,NA,0.387095636261231,NA,-0.653685061619199,NA,NA,NA,NA,-0.362491658292551,5,-75.7040638201431,161.765270497429,3.14597525947494,0.00101407680253446
"1299",-56.7349716108001,NA,0.873637398114851,NA,NA,11.8761467761525,NA,NA,NA,-0.67298237763328,NA,0.16167673823809,NA,NA,NA,5,-75.706383512059,161.769909881261,3.15061464330682,0.00101172718302377
"1411",-6.97851295724778,NA,0.870784922328379,NA,NA,NA,NA,NA,0.626240823131646,-0.67074572091543,NA,0.155426507581196,NA,NA,NA,5,-75.720189612953,161.797522083049,3.17822684509477,0.00099785515510934
"1539",-6.25601038694833,NA,0.999128231193423,NA,NA,NA,NA,NA,NA,NA,-0.814310294568056,0.118863306285145,NA,NA,NA,4,-76.7812460184282,161.799178427389,3.17988318943478,0.000997029101344768
"11299",-3.52711265864074,NA,0.760783229872902,NA,NA,NA,-0.273590216357948,NA,NA,NA,NA,0.153166169110094,0.366530206534045,NA,-0.497149898665044,6,-74.6586779237196,161.820349859415,3.2010546214612,0.00098653050006384
"1291",20.9177183262994,NA,0.914968968234655,NA,-7.23226701734534,NA,NA,NA,NA,-0.670959353903353,NA,0.164753941155536,NA,NA,NA,5,-75.7371379264902,161.831418710123,3.21212347216914,0.000981085701465306
"2209",-4.12080484297158,NA,NA,NA,NA,NA,-0.27741364165599,NA,2.35672436610857,NA,NA,NA,0.411394740551784,NA,NA,4,-76.8019359480257,161.840558286584,3.22126304862977,0.000976612575976268
"295",-5.0802350430172,NA,0.77663077764865,0.162418247531148,NA,NA,-0.201453036078593,NA,NA,-0.448816588494698,NA,NA,NA,NA,NA,5,-75.7506352869361,161.858413431015,3.23911819306096,0.000967932599884822
"1827",-4.85798212191844,NA,0.816539005774091,NA,NA,NA,-0.203232549316925,NA,NA,-0.717996581644082,-0.902428694215906,0.229284372560032,NA,NA,NA,6,-74.7109561039068,161.92490621979,3.3056109818356,0.000936281390568992
"2211",-4.81630481296396,NA,0.590253349458215,NA,NA,NA,-0.212766848681638,NA,0.936001982172093,NA,NA,NA,0.294052408194678,NA,NA,5,-75.7869292716887,161.93100140052,3.31170616256614,0.000933432332010744
"8196",-6.24389826215904,0.224222450740875,1.00553448733579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.337839820921024,4,-76.8473557950702,161.931397980673,3.31210274271888,0.000933247259991923
"8323",-7.53549866879994,NA,0.899074750239528,NA,NA,NA,NA,NA,0.991542781045818,NA,NA,NA,NA,NA,-0.34621018528533,4,-76.8533648032938,161.94341599712,3.32412075916599,0.000927656184764149
"1031",-7.05294644196659,NA,1.02949354877142,0.175862279997757,NA,NA,NA,NA,NA,NA,NA,0.0664094449469822,NA,NA,NA,4,-76.8582676756828,161.953221741898,3.33392650394407,0.000923119136242829
"8707",-5.82641939416343,NA,0.958916484227442,NA,NA,NA,NA,NA,NA,NA,-0.315705230696875,NA,NA,NA,-0.32746243018272,4,-76.8794208414612,161.995528073455,3.37623283550073,0.000903797323343502
"8259",-6.52972809495392,NA,1.02328856745033,NA,NA,NA,NA,0.110331129070553,NA,NA,NA,NA,NA,NA,-0.353829522719227,4,-76.8845765850843,162.005839560701,3.38654432274694,0.000899149567670858
"4103",-5.42808796505115,NA,1.00658863343398,0.192601787855255,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.354383426796226,NA,4,-76.8929127527761,162.022511896085,3.4032166581307,0.000891685261175554
"6179",-2.79995843989379,NA,0.674430606857998,NA,NA,NA,-0.218974260888455,NA,NA,NA,NA,NA,0.279218304226655,-0.175213726542342,NA,5,-75.83458607952,162.026315016183,3.40701977822877,0.000889991279221237
"2177",-5.89126981777318,NA,NA,NA,NA,NA,NA,NA,2.99991507118659,NA,NA,NA,0.401749656155913,NA,NA,3,-77.9429480823437,162.027072635276,3.40777739732152,0.000889654205875807
"3079",-5.3903779039754,NA,0.875998870449539,0.18010869830023,NA,NA,NA,NA,NA,NA,NA,0.116630935397137,0.323331825509034,NA,NA,5,-75.8350192525994,162.027181362342,3.40788612438757,0.000889605842444621
"12291",-5.32774165372678,NA,0.980394998156792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.189889655649859,-0.31492675741034,4,-76.9091578924884,162.055002175509,3.43570693755524,0.000877316734878877
"8211",-45.4558236738793,NA,0.933852113463238,NA,NA,9.23963109373824,NA,NA,NA,NA,NA,NA,NA,NA,-0.330610521045281,4,-76.912945260002,162.062576910537,3.44328167258251,0.000874000298224537
"2049",-0.144397417486802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432680170130005,NA,NA,2,-78.9989902099298,162.068155858456,3.44886062050199,0.000871565694362546
"2091",-19.0620674330468,NA,0.662562084014497,NA,4.20154999099616,NA,-0.222051174741494,NA,NA,NA,NA,NA,0.288640350241161,NA,NA,5,-75.8584048657423,162.073952588627,3.4546573506733,0.000869043236052528
"2099",-21.7906321499672,NA,0.645508450277618,NA,NA,4.30278327251057,-0.217617485038167,NA,NA,NA,NA,NA,0.283826738431947,NA,NA,5,-75.8590693342176,162.075281525578,3.45598628762383,0.000868465976025314
"2403",-4.8041405161162,NA,0.770535836914347,NA,NA,NA,-0.236635610870185,0.462251651825203,NA,-0.535294809486167,NA,NA,0.279918832962496,NA,NA,6,-74.787552176551,162.078098365078,3.45880312712399,0.000867243672352777
"2595",-3.40164285376063,NA,0.660237245552641,NA,NA,NA,-0.218904918024648,NA,NA,NA,-0.0150163596600529,NA,0.285889951552502,NA,NA,5,-75.8655382382254,162.088219333594,3.46892409563944,0.000862866085098866
"8",-6.91122822845206,0.220274780995173,1.01729700803764,0.177066141708804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-76.9290365596235,162.09475950978,3.47546427182539,0.000860049045482334
"8203",9.00904108629098,NA,0.96551076949528,NA,-4.02692581849326,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.337479847563597,4,-76.9385859462568,162.113858283046,3.49456304509204,0.000851875194370574
"835",-6.7974019839698,NA,0.983776850054408,NA,NA,NA,NA,0.435909169081902,NA,-0.656196200240859,-0.587945709654332,NA,NA,NA,NA,5,-75.8839459388284,162.1250347348,3.50573949684554,0.000847127999916957
"8231",-5.71985575323216,NA,0.920630719855776,0.213955580437506,NA,NA,-0.226206337917371,NA,NA,NA,NA,NA,NA,NA,-0.474632854583644,5,-75.8881505551991,162.133443967541,3.51414872958699,0.000843573629279304
"519",-6.45848606256324,NA,0.968775991247739,0.172236268811016,NA,NA,NA,NA,NA,NA,-0.334958996390145,NA,NA,NA,NA,4,-76.9496652306127,162.136016851758,3.51672161380375,0.000842489118370896
"4387",-3.6235406213384,NA,0.752998988318973,NA,NA,NA,-0.202743697925278,NA,NA,-0.446546234541324,NA,NA,NA,-0.247361171665148,NA,5,-75.8896121478734,162.13636715289,3.5170719149356,0.000842341568847098
"419",-5.77037453680175,NA,0.684502753159746,NA,NA,NA,-0.194977216156618,NA,0.788593069679935,-0.462200745522516,NA,NA,NA,NA,NA,5,-75.8929036085878,162.142950074319,3.52365483636441,0.000839573592506771
"3587",-4.74982996992044,NA,0.855303913254006,NA,NA,NA,NA,NA,NA,NA,-0.629860277065037,0.152380439107873,0.302024947696928,NA,NA,5,-75.8953796358938,162.14790212893,3.52860689097628,0.000837497356835227
"10247",-5.17548598098664,NA,0.871401349324819,0.213094464914772,NA,NA,NA,NA,NA,NA,NA,NA,0.251618500012736,NA,-0.375758884802607,5,-75.9071134975124,162.171369852168,3.55207461421358,0.000827727708686883
"135",-7.85181180259503,NA,0.923067053430535,0.169746886825356,NA,NA,NA,NA,0.778897064328636,NA,NA,NA,NA,NA,NA,4,-76.9681898062553,162.173066003043,3.55377076508904,0.000827026030727994
"10307",-5.42430362037301,NA,0.925486269226787,NA,NA,NA,NA,0.278032830861969,NA,NA,NA,NA,0.320511394301395,NA,-0.370988726083488,5,-75.9113301382678,162.179803133679,3.56050789572438,0.000824244826488057
"23",-57.2677738161306,NA,0.936528318152188,0.178042109975695,NA,11.8503275503183,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-76.9718327275031,162.180351845539,3.56105660758453,0.000824018721050179
"11523",-4.94708161402476,NA,0.87296980745011,NA,NA,NA,NA,NA,NA,-0.55142534549983,NA,0.199736597079803,0.232850014935235,NA,-0.397104942587827,6,-74.8442848871691,162.191563786314,3.57226854836003,0.000819412220517808
"8547",-5.83340811616762,NA,0.899215917214434,NA,NA,NA,-0.249671913426021,0.42684403153315,NA,-0.687741131988817,NA,NA,NA,NA,-0.463193941236813,6,-74.8446114015302,162.192216815036,3.57292157708235,0.000819144714334778
"2308",-4.7975127493728,0.424847141851919,0.81065018659212,NA,NA,NA,NA,NA,NA,-0.387472007631204,NA,NA,0.190294301128515,NA,NA,5,-75.9189132416152,162.194969340373,3.57567410241904,0.000818018131459267
"5123",-5.23858404014844,NA,1.02080557663833,NA,NA,NA,NA,NA,NA,NA,NA,0.0744900808285971,NA,-0.353067056406364,NA,4,-76.9804145224162,162.197515435365,3.57822019741079,0.000816977418104752
"307",-40.4054672049421,NA,0.710408176855867,NA,NA,8.39733098838383,-0.198692918956965,NA,NA,-0.453344834691065,NA,NA,NA,NA,NA,5,-75.9274473495541,162.212037556251,3.59274231829684,0.000811066780408944
"327",-7.15599381266322,NA,0.990668050662172,0.138357591863436,NA,NA,NA,0.325542257462039,NA,-0.621456435354694,NA,NA,NA,NA,NA,5,-75.9322566723112,162.221656201765,3.60236096381109,0.000807175463284751
"803",-4.47943907322144,NA,0.737656219527379,NA,NA,NA,-0.199679199169875,NA,NA,-0.446290345713751,-0.135308725073335,NA,NA,NA,NA,5,-75.9404575456055,162.238057948354,3.61876271039964,0.000800582988556739
"2337",0.313040539387541,NA,NA,NA,NA,NA,-0.315167993256165,NA,NA,-0.347450985398384,NA,NA,0.340391419704987,NA,NA,4,-77.0028334739639,162.24235333846,3.62305810050628,0.000798865425493489
"451",-8.63799803096911,NA,0.88684804361011,NA,NA,NA,NA,0.361915736353149,1.17777768844167,-0.663002562874543,NA,NA,NA,NA,NA,5,-75.9433657700252,162.243874397193,3.62457915923903,0.000798258095852907
"299",-20.8888864924948,NA,0.742039773855815,NA,4.38504145782065,NA,-0.204639658327686,NA,NA,-0.459287110467722,NA,NA,NA,NA,NA,5,-75.9443788218945,162.245900500932,3.62660526297773,0.000797449828474194
"71",-6.96440279606801,NA,1.0104242808215,0.172206915756222,NA,NA,NA,0.062576602808989,NA,NA,NA,NA,NA,NA,NA,4,-77.0047407570908,162.246167904714,3.62687266676002,0.000797343215051401
"324",-6.76857893210157,0.280092479195853,0.980221250694081,NA,NA,NA,NA,0.290732069177336,NA,-0.664223824988093,NA,NA,NA,NA,NA,5,-75.9509387797902,162.259020416723,3.63972517876905,0.000792235712065816
"9251",-5.48757965130229,NA,0.93343718451756,NA,NA,NA,-0.233793403696924,NA,NA,NA,NA,0.0886533410913042,NA,NA,-0.472110342489635,5,-75.9512961099448,162.259735077032,3.64043983907828,0.000791952672928553
"15",-14.4756364418037,NA,0.985154236485047,0.179098038891817,2.0845154336848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-77.0223517851439,162.28138996082,3.66209472286616,0.00078342410598052
"11555",-3.61222464714476,NA,0.740984882639348,NA,NA,NA,-0.280168448350932,NA,NA,-0.564357468140524,NA,0.223486760890633,0.274176779075916,NA,-0.504388684537285,7,-73.8041585083191,162.283015811819,3.66372057386471,0.000782787499339966
"8455",-6.01814598749581,NA,0.919678844999458,0.200693426524744,NA,NA,NA,NA,NA,-0.412845616355445,NA,NA,NA,NA,-0.36073564617996,5,-75.9651169926924,162.287376842528,3.66808160457344,0.000781082478765783
"8452",-5.64213098066806,0.415945272470105,0.913361991224444,NA,NA,NA,NA,NA,NA,-0.50627508705101,NA,NA,NA,NA,-0.308723341685909,5,-75.9660881227484,162.28931910264,3.67002386468548,0.000780324314292165
"9987",-5.72364530266835,NA,0.964112017164767,NA,NA,NA,NA,NA,NA,-0.698240352858225,-0.945330137043269,0.239919512869285,NA,NA,-0.377890682060603,6,-74.8976101123808,162.298214236738,3.67891899878344,0.000776861475895528
"10499",-4.47337897041239,NA,0.792723844918492,NA,NA,NA,NA,NA,NA,-0.297215411023323,NA,NA,0.181372100264858,NA,-0.305381429935403,5,-75.9723345711692,162.301811999481,3.68251676152721,0.000775465250456485
