"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(latitude)","log(longitude)","log(nearest_SP)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"9177",-115.503339696436,NA,NA,NA,-8.10890996871623,32.3170520032291,NA,0.305990693610171,3.00757279703365,-0.722736782592823,-0.515778206622789,NA,NA,NA,-0.259501263309607,8,-77.5603975549249,171.993522382577,13.374227144623,6.09584859229067e-06
"9646",27.8548096117947,0.096010432326137,NA,0.086080819151216,-8.85663624808024,NA,-0.312571379260786,NA,2.32816734640424,-0.793485569639343,NA,0.12615917867977,NA,NA,-0.425937556488376,9,-76.4496044650806,171.996769905771,13.3774746678169,6.08595841926042e-06
"11960",-17.6123433447196,0.120126122972856,0.787307915771257,0.210755016488517,NA,3.03010855912733,-0.264216028775608,NA,0.333291158079194,NA,-0.41873433407074,0.16082850667132,0.355011492297927,NA,-0.527664574731704,11,-74.183995564909,171.997620759448,13.3783255214935,6.08336983987667e-06
"11868",46.9112657042178,0.0506348082587825,0.936076362401552,NA,-15.3445010287077,1.19440865088743,NA,0.158193089617548,NA,NA,-0.703051980320979,0.14878744206824,0.324984950355151,NA,-0.400688457435592,10,-75.3241589935981,171.99801123873,13.3787160007758,6.08218224086898e-06
"16012",52.2963746714369,0.11206997785451,0.840617894215284,NA,-15.5600120846044,NA,NA,NA,0.881751005211567,NA,-0.631389089028245,0.160087104341723,0.300708100822112,-0.111254343024687,-0.379249309915594,10,-75.3245967019064,171.998886655347,13.3795914173924,6.07952060172286e-06
"8662",-159.43042465402,0.216478105488978,NA,0.102704832606854,NA,35.5457838165761,NA,0.167308804781193,2.85433893254681,-0.734609020842472,NA,NA,NA,NA,-0.291487348851549,8,-77.5632374144125,171.999202101552,13.3799068635982,6.07856179648434e-06
"15920",0.108313452250612,0.118217260508346,0.836141891058231,0.214820604383569,-1.04824552488031,NA,-0.265846727991592,NA,NA,NA,-0.413133291783683,0.165278722008375,0.35244508073668,-0.117346702391085,-0.517908190411993,11,-74.1849561761764,171.999541981982,13.3802467440283,6.07752889215396e-06
"14273",-6.5370726923446,NA,NA,NA,NA,NA,NA,0.0730732134708388,2.97072241586667,-0.814982630344741,-0.874854386264951,0.148726437565498,NA,-0.0293397236878717,-0.26917385780939,8,-77.5635718998752,171.999871072478,13.3805758345236,6.07652894592772e-06
"12229",-5.75451203516066,NA,NA,0.11212733565754,NA,NA,NA,0.118812728936196,2.77858842031697,-0.606065948783328,-0.630518534410224,0.153000647550565,0.339129744124604,NA,-0.300624733473107,9,-76.4512756521869,172.000112279984,13.3808170420295,6.07579613792262e-06
"13265",-159.529549457126,NA,NA,NA,NA,35.6990137847181,NA,0.289414427675115,2.93420593327682,-0.726263168955909,-0.463445850701936,NA,NA,-0.13766432417318,-0.238233986975141,8,-77.5639857919568,172.000698856641,13.3814036186867,6.07401443911688e-06
"1222",-7.03223342987867,0.0328007118370323,NA,0.0962599083365102,NA,NA,NA,-0.262647788264665,3.10454641611601,NA,NA,0.0333342912417521,NA,NA,NA,6,-79.7496518532692,172.002297718515,13.3830024805604,6.06916062446658e-06
"14210",-6.32266607116805,0.0995331467866764,NA,NA,NA,NA,NA,NA,2.94200220122077,-0.793890061822419,-0.843277152412933,0.149903795685494,NA,-0.0395872784148967,-0.263097503055761,8,-77.5647912610321,172.002309794791,13.3830145568373,6.06912397814525e-06
"11952",-0.234323038504059,0.120160143948207,0.796186965841914,0.208270579217459,-1.20245515573674,NA,-0.263751244664061,NA,0.36526363667163,NA,-0.424441232965055,0.161385612238455,0.356374298526604,NA,-0.529486691671601,11,-74.1866674447012,172.002964519032,13.3836692810779,6.06713750201748e-06
"5765",-7.47191807636259,NA,NA,0.0706196002644918,NA,NA,NA,NA,3.45702496880823,NA,-0.662360773847087,0.0230752144891442,NA,-0.11483316119064,NA,6,-79.7501021918759,172.003198395728,13.3839031577737,6.06642806246257e-06
"7906",-3.48698054271762,0.0668907583122001,NA,NA,NA,NA,-0.29559017748435,0.000661608638632419,2.20574904564235,NA,-0.396384114989312,0.100344658339884,0.458809388705738,-0.0516381740883841,NA,9,-76.4529001859578,172.003361347525,13.3840661095711,6.06593381491921e-06
"13999",8.47249157130745,NA,0.987179914451557,0.203188366161062,-3.79786572130567,NA,-0.216422017090142,NA,0.327818756115666,NA,-0.633988732385444,0.132388259215931,NA,-0.237564172139447,-0.488387067857962,10,-75.3270256610017,172.003744573537,13.384449335583,6.06477161445694e-06
"6120",-5.51276197505323,0.180496457580932,0.916186507521449,0.137945013614831,NA,NA,-0.205062488052355,0.247988072487972,0.408922709472054,-0.819848394570999,-0.933589341135188,0.182431808637439,NA,-0.343987405336947,NA,11,-74.1876027610806,172.004835151791,13.3855399138367,6.06146546192529e-06
"8089",-49.5375919579586,NA,NA,NA,-14.6987890655056,23.3666798801136,NA,NA,2.32892096580735,-0.574078826667935,-0.741841471534099,0.189349458841501,0.289067138917466,-0.15974546895949,NA,9,-76.4536781906211,172.004917356852,13.3856221188979,6.06121632547592e-06
"4953",-202.800250581888,NA,NA,NA,1.01985486717578,46.216332439819,NA,0.213733268319213,NA,-0.698841442015341,-0.438120790925247,NA,NA,-0.16178942169003,NA,7,-78.6651244542956,172.004947703772,13.3856524658179,6.0611243565502e-06
"1994",83.8302771347101,0.102908119287765,NA,NA,-24.3597115914222,NA,NA,0.0822599550528961,3.04362669337654,-0.810520910566209,-1.06880042218719,0.155518279057328,NA,NA,NA,8,-77.566151425333,172.005030123393,13.3857348854391,6.06087458390982e-06
"12141",39.1819003922924,NA,NA,0.10001534901208,-10.4315596417049,NA,-0.37280909449531,0.153445543940139,NA,-0.653702500707103,-0.637535108445652,0.209076371631273,0.402542659874366,NA,-0.409608007234678,10,-75.3278541256552,172.005401502844,13.38610626489,6.05974924625737e-06
"4026",-80.2312790987884,0.150060026744693,NA,NA,-4.49260602580456,21.9572082987214,-0.287430117865215,NA,1.61608590351788,-0.582918285785861,-0.647132477419864,0.192460169108677,0.32910018336949,NA,NA,10,-75.3278671842844,172.005427620103,13.3861323821484,6.05967011475555e-06
"8121",-82.7528084435902,NA,NA,NA,-5.16388635185253,23.3026560106531,-0.286001390290614,NA,1.60302671406207,-0.574974350824018,-0.625113549166124,0.207005767397201,0.322349402027893,-0.18889410821801,NA,10,-75.3283657374855,172.006424726505,13.3871294885505,6.056649799779e-06
"15045",-6.71060099144086,NA,NA,0.131304938612721,NA,NA,NA,0.0821458555210093,3.20005019894134,NA,-0.152832069398744,NA,0.42307930912317,0.0737052951380713,-0.28788701502808,8,-77.5670635858217,172.006854444371,13.3875592064165,6.0553486142561e-06
"1504",-60.1945163042384,0.163848733168513,0.904793989938901,0.138481883188739,-1.49879253324999,13.5195901471422,NA,0.183898650056376,0.638717288553383,-0.743421808548555,NA,0.113675417677155,NA,NA,NA,10,-75.32900868665,172.007710624834,13.3884153868796,6.05275693344207e-06
"5349",-4.6316480382748,NA,NA,0.102138685837693,NA,NA,-0.26681715331973,-0.229029524813475,2.59739866109275,NA,NA,0.0468652202898483,NA,-0.263051869152435,NA,7,-78.6667111042011,172.008121003583,13.3888257656287,6.05151509944249e-06
