"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"6676",-4.47873735807599,0.865133706095987,3.78999846720521,NA,NA,-0.325213350875452,NA,NA,NA,NA,-1.0979288011934,NA,3.27027671729729,-1.37990888879609,NA,7,-57.9906576151818,130.656014025544,5.94177921364385,0.00023819463467869
"11019",-2.94573810076312,NA,3.18362976622665,NA,-0.307096858168095,NA,NA,NA,NA,-2.20545039155561,-0.83188181842804,NA,2.07985571468925,NA,-0.960087065577065,7,-57.9908131057372,130.656325006655,5.94209019475474,0.000238157600541944
"4108",-3.0249687691649,0.755194035909631,4.49416880459766,NA,-0.881419898341024,NA,NA,NA,NA,NA,NA,NA,NA,-2.16146065302025,NA,5,-60.1508572811036,130.65885741935,5.94462260744962,0.000237856234712375
"5404",-1.32640311122102,1.20406467933053,4.09622253679209,NA,-0.899196639097858,-0.0394247724712401,NA,NA,NA,-4.00257062007772,NA,0.0582766115945536,NA,-2.05680861349339,NA,8,-56.8932747811261,130.659276834979,5.94504202307903,0.00023780635963096
"8004",-3.17963601184169,0.880967290806775,4.02455117730746,NA,NA,NA,NA,0.159959171224695,NA,-3.93197100705327,-1.74629890764576,0.67376274560286,2.19894497348623,-1.57568124512687,NA,9,-55.7822551079238,130.662071191457,5.94783637955706,0.000237474333763854
"6401",-1.99681718214929,NA,NA,NA,NA,NA,NA,NA,NA,-2.51823970839025,NA,NA,3.36020742459136,-0.963833311529129,NA,4,-61.2129312385352,130.662548867603,5.94831405570255,0.00023741762262431
"13699",-1.60568282458502,NA,4.31577493140627,NA,NA,NA,NA,NA,-0.768848478880873,-3.76312672851611,NA,1.00001507635877,NA,-1.54594906072344,-1.01022010081344,7,-57.9944013252344,130.66350144565,5.94926663374915,0.000237304570141683
"11139",-2.94067953033403,NA,3.36233658389175,NA,NA,NA,NA,NA,-0.545259790462773,-2.20740881339717,-0.797171380652359,NA,2.13249158927115,NA,-0.950564291684873,7,-57.9979319613295,130.67056271784,5.9563279059393,0.000236468211368844
"2383",-4.9174174397115,NA,3.59426937623223,0.617030996276462,-0.365985508346245,NA,NA,0.204987417013379,NA,-3.15684591045113,NA,NA,2.87000890446437,NA,NA,7,-57.9991414964981,130.672981788177,5.95874697627647,0.000236182367654802
"6171",-4.12500316462609,NA,3.52560097908857,NA,-0.653197601769926,-0.493347837723254,NA,NA,NA,NA,NA,NA,3.26742793615378,-1.44051893375586,NA,6,-59.0860140130609,130.675022038098,5.96078722619745,0.000235941554976725
