"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1409",-3.85110750881536,NA,NA,NA,NA,NA,NA,NA,2.02833719089026,0.00323304136364089,NA,2.59850943901003,NA,NA,4,-78.3124151913004,164.858748511256,2.0943739805607,0.00248492908865082
"5121",-2.78648139514375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83209259802117,NA,-0.214795137948363,3,-79.3681497235693,164.87583433086,2.1114598001646,0.00246379098260597
"1033",-2.74604165837044,NA,NA,NA,-0.224599290608958,NA,NA,NA,NA,NA,NA,2.79592071105082,NA,NA,3,-79.3692042096403,164.877943303002,2.11356877230659,0.00246119431864656
"1026",-2.92630162760624,0.101687588275503,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88885476557129,NA,NA,3,-79.3892156776906,164.917966239102,2.15359170840711,0.00241243173984041
"3073",-2.78175660883492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81135597756847,-0.16139622955255,NA,3,-79.3975833190932,164.934701521907,2.17032699121225,0.00239232959718537
"1057",-2.94420852386787,NA,NA,NA,NA,NA,0.145442542602618,NA,NA,NA,NA,2.82707514819353,NA,NA,3,-79.3983380425593,164.93621096884,2.17183643814454,0.0023905247310727
"1089",-2.93847896621096,NA,NA,NA,NA,NA,NA,0.0718152849322402,NA,NA,NA,2.86620566622097,NA,NA,3,-79.4083045908215,164.956144065364,2.19176953466894,0.00236681778541554
"1281",-2.88927970872885,NA,NA,NA,NA,NA,NA,NA,NA,0.0277108145826151,NA,2.83699649011769,NA,NA,3,-79.4102069717557,164.959948827232,2.19557429653725,0.00236231947649115
"1159",-3.73698616000547,NA,-1.02352490543043,1.05266062786963,NA,NA,NA,NA,2.02777892885388,NA,NA,2.17607375471758,NA,NA,5,-77.4180498975154,165.189040971501,2.42466644080631,0.00210664765150259
"3",-0.765350828255089,NA,-1.53805735059926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-80.5753610572403,165.22008627633,2.45571174563531,0.00207419938536576
"1555",-1.9110070950102,NA,-2.19799774962389,NA,NA,-0.898301788176142,NA,NA,NA,NA,1.67028131167367,2.43164810391447,NA,NA,5,-77.4414860772927,165.235913331056,2.47153880036103,0.00205784992803479
"1031",-2.85463011154439,NA,-0.956230531219566,1.13340756327381,NA,NA,NA,NA,NA,NA,NA,2.43329106507532,NA,NA,4,-78.5187795729276,165.27147727451,2.50710274381524,0.00202158072346499
"643",-1.9735987839036,NA,-2.42977122614315,NA,NA,NA,NA,NA,2.22160358648478,NA,1.0644949979732,NA,NA,NA,4,-78.5274897877637,165.288897704182,2.52452317348744,0.00200404878537112
"1045",-3.05938892811259,NA,NA,1.08622091400779,NA,-0.695637323939372,NA,NA,NA,NA,NA,2.58088477187343,NA,NA,4,-78.5808331709502,165.395584470555,2.63120993986041,0.00189994729010464
"1156",-3.17808685953353,0.428721208366222,-1.3169281232704,NA,NA,NA,NA,NA,2.18429292222164,NA,NA,2.19850950688135,NA,NA,5,-77.5385745738858,165.430090324242,2.66571579354724,0.00186744879174022
"1043",-1.76540252874412,NA,-0.899369862737134,NA,NA,-0.70586895316379,NA,NA,NA,NA,NA,2.12949056610101,NA,NA,4,-78.6240114648636,165.481941058382,2.71756652768715,0.0018196566870825
"1219",-3.78371252220531,NA,-1.32246388683668,NA,NA,NA,NA,0.877638400788576,2.23262611762064,NA,NA,2.42849254934828,NA,NA,5,-77.5846567675888,165.522254711648,2.75788018095309,0.00178334537257035
"135",-2.53718978323816,NA,-1.57801493718729,1.02198743890557,NA,NA,NA,NA,2.26124868124147,NA,NA,NA,NA,NA,4,-78.6577074136094,165.549332955874,2.78495842517876,0.00175936315721574
"1675",-2.87815394617084,NA,-2.4274375689486,NA,-0.869695597966873,NA,NA,NA,2.05835153056609,NA,1.77693374697917,2.34494344867445,NA,NA,6,-76.5391633882252,165.575368196569,2.8109936658737,0.00173660886030574
"147",-1.55243360723249,NA,-1.48713389103904,NA,NA,-0.683304951759784,NA,NA,2.01250754762551,NA,NA,NA,NA,NA,4,-78.7098475087565,165.653613146168,2.88923861547306,0.00166998025988568
"1547",-2.04790165446172,NA,-2.35338375293412,NA,-0.768459021469645,NA,NA,NA,NA,NA,1.85518706268597,2.65913005680303,NA,NA,5,-77.6564794177355,165.665900011942,2.90152548124664,0.00165975229780454
"19",-0.363981129636804,NA,-1.44074117788279,NA,NA,-0.983234450010017,NA,NA,NA,NA,NA,NA,NA,NA,3,-79.794012254892,165.727559393505,2.96318486280998,0.00160936337615826
"1171",-2.79510575255992,NA,-0.981178620070862,NA,NA,-0.455296965941797,NA,NA,1.90176422445857,NA,NA,1.99802551665946,NA,NA,5,-77.6922968596601,165.737534895791,2.97316036509588,0.00160135625749689
"1543",-2.95726856594659,NA,-1.99589764890488,0.934993436149319,NA,NA,NA,NA,NA,NA,1.34871552376783,2.72831681891975,NA,NA,5,-77.7281776320561,165.809296440583,3.04492190988782,0.00154491695596969
"1163",-2.98114682141146,NA,-1.0011421036415,NA,-0.369808595073849,NA,NA,NA,2.15176618196162,NA,NA,2.07984026804449,NA,NA,5,-77.7339967981104,165.820934772691,3.05656024199646,0.0015359529345229
"132",-1.97941359106391,0.388788470054393,-1.87173075651157,NA,NA,NA,NA,NA,2.42115006380738,NA,NA,NA,NA,NA,4,-78.802525568742,165.838969266139,3.07459473544392,0.00152216512541912
"1",-1.54274653793542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-81.9251871366919,165.873362779131,3.10898824843591,0.00149621261151319
"1553",-2.74081221968604,NA,NA,NA,NA,-0.752223440307053,NA,NA,NA,NA,0.504934173468386,2.80361662201723,NA,NA,4,-78.8396057913909,165.913129711437,3.14875518074186,0.00146675653361258
"1028",-2.21347512158258,0.310251082125166,-1.12735877625386,NA,NA,NA,NA,NA,NA,NA,NA,2.48214611787619,NA,NA,4,-78.8396754978813,165.913269124417,3.1488945937225,0.00146665429472586
"1173",-4.04664509185262,NA,NA,1.00607477768135,NA,-0.448745457473621,NA,NA,1.80322219601929,NA,NA,2.48459409008747,NA,NA,5,-77.7809068973935,165.914754971258,3.15038044056269,0.00146556508754999
"139",-1.77597900624085,NA,-1.54993032661947,NA,-0.519852296397291,NA,NA,NA,2.39239497784663,NA,NA,NA,NA,NA,4,-78.8436274286746,165.921172986004,3.15679845530914,0.0014608696163084
"1165",-4.25702492656865,NA,NA,1.08313394245899,-0.431560387752811,NA,NA,NA,2.05789231518366,NA,NA,2.56909100916505,NA,NA,5,-77.7862204608989,165.925382098268,3.16100756757348,0.00145779836714083
"5251",-3.11101477795323,NA,-0.949923247634133,NA,NA,NA,NA,NA,2.08297097310624,NA,NA,2.15391880175089,NA,-0.186980658659479,5,-77.8097410945565,165.972423365584,3.20804883488856,0.0014239101245609
"17",-1.0545151900911,NA,NA,NA,NA,-1.06215226550089,NA,NA,NA,NA,NA,NA,NA,NA,2,-80.9526053433823,165.974574848614,3.2102003179194,0.00142237918891883
"1037",-3.3488610368736,NA,NA,1.15218892704875,-0.352329789885004,NA,NA,NA,NA,NA,NA,2.80980565523654,NA,NA,4,-78.8727869475519,165.979492023759,3.21511749306379,0.00141888644049531
"1411",-3.26034644652453,NA,-1.02909541158557,NA,NA,NA,NA,NA,2.06705037285267,0.240079355537183,NA,2.19723086838888,NA,NA,5,-77.815920445011,165.984782066493,3.22040753579765,0.00141513841453248
