"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LMSPW","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"5271",-4.08813623317676,NA,3.59082973296212,1.08881201928413,NA,1.23291687184024,NA,NA,-2.60624020786754,NA,NA,4.69809469745444,NA,-1.01078594099523,7,-85.7101151372927,186.094929069766,1.54663072190067,0.00362056895965035
"1187",-3.77015657359842,NA,4.23155213535149,NA,NA,NA,0.809351652590937,NA,-2.86702001478483,NA,NA,4.58963300714975,NA,NA,5,-87.870312051729,186.097766960601,1.54946861273532,0.00361543521303142
"5259",-2.624533093501,NA,3.86358068883733,NA,-0.892273815858071,NA,NA,NA,-2.48191430529892,NA,NA,4.69402207333142,NA,-0.935037115220476,6,-86.8131955338813,186.129385079739,1.58108673187326,0.00355872800722539
"1259",-4.05210472239004,NA,3.62915578254816,NA,-1.45563701648376,NA,1.4227264244696,1.98424019787786,-2.91406896119751,NA,NA,4.55814310108973,NA,NA,7,-85.7287459356825,186.132190666546,1.5838923186802,0.00355373934690007
"1159",-3.85120066054629,NA,3.99079789844155,0.775174520982943,NA,NA,NA,NA,-2.64124359265383,NA,NA,4.76080324231578,NA,NA,5,-87.8954683633165,186.148079583776,1.5997812359104,0.00352561866144227
"7315",-4.01025203085651,NA,3.31869950441812,NA,NA,1.06227318325673,NA,NA,-2.71589369590457,NA,NA,5.08148912617509,1.22623761612548,-1.04783680580444,7,-85.7461931861285,186.167085167438,1.61878681957231,0.00349227412524609
"5255",-3.74431915931763,NA,4.18845053644134,1.0092447781784,NA,NA,NA,NA,-2.52764854056751,NA,NA,4.72381752315415,NA,-1.04446505250788,6,-86.8854256317778,186.273845275532,1.72554692766622,0.00331074447752133
"1211",-3.85350272589272,NA,3.89525047142278,NA,-1.05417648577182,1.09089682103371,1.37011833163202,NA,-2.92029096220001,NA,NA,4.49780818837438,NA,NA,7,-85.8179711333,186.310641061781,1.76234271391516,0.00325039064849268
"1427",-3.87311700137627,NA,3.27553203007677,NA,NA,1.2082466224218,NA,NA,-2.79058574550347,0.512519541468747,NA,4.82465957662699,NA,NA,6,-86.9504236337319,186.40384127944,1.8555429315744,0.00310239712816735
"1172",-3.64915938482629,0.255050624596326,3.34782066948977,NA,NA,1.2515386917087,NA,NA,-2.92228035682527,NA,NA,4.69586844933498,NA,NA,6,-86.9644593363336,186.431912684643,1.88361433677781,0.00305915696760148
"5331",-3.72999613902995,NA,2.84134366108295,NA,NA,1.07543359297695,NA,1.4478419821874,-2.80914743315718,NA,NA,4.6562523316108,NA,-0.860196698165822,7,-85.8926068556429,186.459912506466,1.91161415860097,0.003016627442013
"5323",-3.14519366130576,NA,3.09336503461237,NA,-1.0378995131492,NA,NA,1.94590431125613,-2.61286623792836,NA,NA,4.74871038536429,NA,-0.945393472519167,7,-85.9103220486295,186.49534289244,1.94704454457423,0.00296365787304815
"1683",-3.45734212381977,NA,3.20953882017689,NA,NA,1.20333369270131,NA,NA,-2.58893061818501,NA,-0.360378881868597,4.62279556207102,NA,NA,6,-86.9985818604206,186.500157732817,1.95185938495177,0.00295653168455873
