"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"5093",-2.46296495545514,NA,NA,1.01564242968537,NA,NA,0.195764595801485,0.682197495267205,2.14431076264832,-2.64976633341245,-0.34619916615828,NA,NA,-0.119373062491425,8,-77.9887273490885,172.839730147279,15.9558420962633,3.40746108550046e-06
"5929",-0.287548468534754,NA,NA,NA,-0.557942269619959,NA,0.44203866439,NA,NA,-2.90730423305985,-0.958823517160624,1.21451597725554,NA,-0.163742597459885,7,-79.0906108845085,172.847888435684,15.964000384668,3.39358987094504e-06
"6027",-1.24356716363374,NA,0.167183135879675,NA,-0.527463590260431,NA,NA,NA,2.10908794107459,-2.70177643957433,-0.835428450986923,0.938049883497213,NA,-0.225094461505717,8,-77.993312673563,172.848900796228,15.9650127452122,3.39187253737763e-06
"2413",-1.13318807848772,NA,NA,1.288309142154,-0.410497869762175,NA,0.323873954905032,0.289433554951288,NA,-2.54300746978897,NA,NA,-0.349674757781876,NA,7,-79.0957044327407,172.858075532148,15.9741874811325,3.37634840465344e-06
"5133",-1.82848392063191,NA,NA,1.17631290923875,-0.528536075273711,NA,NA,NA,NA,NA,NA,-0.150759042802648,NA,-0.137772322038592,5,-81.2540718061717,172.861084788814,15.9771967377985,3.37127207513404e-06
"6307",-2.53538833766065,NA,-0.0444630618190071,NA,NA,NA,0.0747231787417859,NA,2.39522002258326,NA,NA,NA,-0.419340419619838,-0.223269934395777,6,-80.1850283535412,172.867098127201,15.9832100761852,3.36115099823293e-06
"4111",-1.84365752141603,NA,-0.0802851655387754,1.14392274603172,-0.550395801403194,NA,NA,NA,NA,NA,NA,NA,NA,-0.145713214612306,5,-81.2572973139979,172.867535804466,15.9836477534508,3.36041552902135e-06
"4601",-1.60952389908454,NA,NA,NA,-0.206997450421286,-0.700495804985401,0.25645625681951,0.842063773944344,1.9763415011881,-2.61851360342476,NA,NA,NA,-0.241758810638422,8,-78.0052151207967,172.872705690695,15.9888176396796,3.35174026340277e-06
"4879",-0.976171329598791,NA,0.280897815380827,1.33495765938542,-0.362273860452951,NA,NA,NA,NA,-2.5297146419547,-0.213197441374219,NA,NA,-0.0646224805788866,7,-79.1048246721178,172.876316010902,15.9924279598866,3.34569529331286e-06
"1897",-0.380026865785879,NA,NA,NA,-0.5540084364269,NA,0.422061796966894,0.170611168982467,NA,-2.97569991324326,-1.02854041601863,1.16925194252696,NA,NA,7,-79.1067649055177,172.880196477702,15.9963084266865,3.33921015693227e-06
