"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"258",-2.76670899223361,3.79151552606799,NA,NA,NA,NA,NA,NA,NA,-1.79528019676215,NA,NA,NA,NA,3,-75.3721765836473,156.883888051016,0,0.00993568908986173
"2",-3.67037771934074,4.03798621329173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-76.4180303189308,156.905424799711,0.0215367486957803,0.00982927186889839
"1282",-3.05442820259135,4.04878268534433,NA,NA,NA,NA,NA,NA,NA,-2.624941123753,NA,1.15659102080213,NA,NA,4,-74.5511807300693,157.336279588794,0.452391537777942,0.00792432755084273
"262",-3.59610336722282,3.86667511702354,NA,1.46524572788199,NA,NA,NA,NA,NA,-1.89828760558251,NA,NA,NA,NA,4,-74.6095698485472,157.453057825749,0.569169774733808,0.00747488209610947
"322",-3.66574299437296,4.30856499683376,NA,NA,NA,NA,NA,1.58745684555155,NA,-2.74015933725517,NA,NA,NA,NA,4,-74.6315300489119,157.496978226479,0.613090175463242,0.00731252144857338
"6",-4.4921842644067,4.13372077145836,NA,1.3559559894727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-75.7528778152443,157.645290514209,0.761402463193917,0.00678987140035587
"326",-4.48660464077453,4.40554543907463,NA,1.43087171388079,NA,NA,NA,1.5804747106599,NA,-2.83331658649379,NA,NA,NA,NA,5,-73.9064187442695,158.16577866501,1.28189061399408,0.00523406344859981
"1286",-3.80480945818806,4.11148697784474,NA,1.36119908625081,NA,NA,NA,NA,NA,-2.68685641380595,NA,1.0874922822645,NA,NA,5,-73.908162869299,158.169266915069,1.28537886405294,0.00522494254384474
"260",-2.79812343449372,3.92597364190105,0.458025207928628,NA,NA,NA,NA,NA,NA,-2.1278604049746,NA,NA,NA,NA,4,-75.0096600618904,158.253238252436,1.36935020142025,0.00501011131149589
"264",-3.6724816521678,4.01741934832891,0.505067502008776,1.53761846768848,NA,NA,NA,NA,NA,-2.26282921025129,NA,NA,NA,NA,5,-74.1806057885367,158.714152753544,1.83026470252844,0.003978882027242
"1026",-3.90094652788681,4.15592651453351,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383360364380122,NA,NA,3,-76.3037945108252,158.747123905371,1.86323585435574,0.00391382558536798
"4098",-3.54367083463664,4.07018193732939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.344225194049985,3,-76.318116177268,158.775767238257,1.89187918724144,0.0038581725541405
"4",-3.75863020070796,4.1203266264916,0.19532766549095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-76.3422734080315,158.824081699784,1.94019364876829,0.00376608653917176
"290",-2.90206691482485,3.78737848030951,NA,NA,NA,NA,0.323399379086033,NA,NA,-1.84073641126658,NA,NA,NA,NA,4,-75.3138236242396,158.861565377134,1.97767732611857,0.003696160471181
"1346",-3.60014382208247,4.34495408021405,NA,NA,NA,NA,NA,1.09183662625817,NA,-3.07574626058729,NA,0.868620238015996,NA,NA,5,-74.2543776792856,158.861696535042,1.97780848402624,0.00369591808879176
"4354",-2.68490770687171,3.81631839719328,NA,NA,NA,NA,NA,NA,NA,-1.76455581667633,NA,NA,NA,-0.25949242635405,4,-75.3154598180809,158.864837764817,1.98094971380118,0.00369011778103586
"130",-3.53542055078796,4.31454127164613,NA,NA,NA,NA,NA,NA,-0.524299899719984,NA,NA,NA,NA,NA,3,-76.3733428360624,158.886220555846,2.00233250483018,0.00365087542392627
"66",-3.94754618204566,4.16421774838759,NA,NA,NA,NA,NA,0.324363908332648,NA,NA,NA,NA,NA,NA,3,-76.375347406623,158.890229696967,2.00634164595141,0.00364356431679424
"386",-2.67486446959223,3.99712946558439,NA,NA,NA,NA,NA,NA,-0.385642492027651,-1.78071880230814,NA,NA,NA,NA,4,-75.3468426701682,158.927603468991,2.04371541797576,0.00357610966731839
"10",-3.58172004145697,4.02518327007554,NA,NA,-0.165881357351909,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-76.3969781445054,158.933491172732,2.04960312171619,0.00356559761074655
"34",-3.75935212436063,4.04103266395754,NA,NA,NA,NA,0.17946363276065,NA,NA,NA,NA,NA,NA,NA,3,-76.399712793736,158.938960471193,2.05507242017737,0.0035558602721547
"2050",-3.59723914736534,4.02484432276754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12663378826423,NA,3,-76.4101861932037,158.959907270128,2.07601921911285,0.00351881267287801
"770",-2.81516674271363,3.8051480549375,NA,NA,NA,NA,NA,NA,NA,-1.81518651458599,0.120531251150485,NA,NA,NA,4,-75.3655139555648,158.964946039785,2.08105798876906,0.00350995858772422
"2306",-2.71927398753114,3.78170332585429,NA,NA,NA,NA,NA,NA,NA,-1.79065422527641,NA,NA,-0.0843148222189337,NA,4,-75.3688151261783,158.971548381012,2.08766032999594,0.00349839071983808
"18",-3.63067064578811,4.00773708650921,NA,NA,NA,-0.0521840126314323,NA,NA,NA,NA,NA,NA,NA,NA,3,-76.4162707914698,158.97207646666,2.08818841564494,0.00349746711681196
"514",-3.64643314207804,4.03071931674962,NA,NA,NA,NA,NA,NA,NA,NA,-0.0486715192328055,NA,NA,NA,3,-76.4169203355068,158.973375554734,2.08948750371891,0.00349519609554568
"266",-2.75000044079107,3.79057147647153,NA,NA,-0.0384439866537395,NA,NA,NA,NA,-1.78907525589305,NA,NA,NA,NA,4,-75.3710622297102,158.976042588075,2.09215453705977,0.00349053829960036
"274",-2.73916519485698,3.77084705900498,NA,NA,NA,-0.0377696143406933,NA,NA,NA,-1.79423787616546,NA,NA,NA,NA,4,-75.3712801300582,158.976478388771,2.09259033775589,0.00348977779295029
"1794",-2.84319439409542,4.02849302641741,NA,NA,NA,NA,NA,NA,NA,-2.69983931310915,-0.710882050711478,1.44552095323507,NA,NA,5,-74.3814216445806,159.115784465632,2.23189641461627,0.00325497640281612
"1410",-2.86141177345367,4.60275269991937,NA,NA,NA,NA,NA,NA,-0.975267264084637,-2.66679009098138,NA,1.28235291011503,NA,NA,5,-74.4003846383385,159.153710453148,2.26982240213201,0.00319383386063279
"5378",-2.9518529830517,4.08015035216541,NA,NA,NA,NA,NA,NA,NA,-2.61623497598743,NA,1.18504027950464,NA,-0.323156808003933,5,-74.4632030778254,159.279347332121,2.39545928110576,0.002999373977934
"1284",-3.02966145091024,4.07315884929986,0.202537124438887,NA,NA,NA,NA,NA,NA,-2.67433409623704,NA,1.01600177775354,NA,NA,5,-74.4916677636534,159.336276703777,2.45238865276184,0.00291520139626194
"324",-3.56321506892722,4.32162924325174,0.288512736887131,NA,NA,NA,NA,1.37787943910678,NA,-2.82897036526614,NA,NA,NA,NA,5,-74.498332281583,159.349605739637,2.46571768862111,0.00289583758120592
"1290",-2.94954621195032,4.04899477031135,NA,NA,-0.266506280237155,NA,NA,NA,NA,-2.62159825314858,NA,1.21362018827954,NA,NA,5,-74.5016155174551,159.356172211381,2.47228416036521,0.00288634545435218
"3330",-2.92864880565093,4.03127519507652,NA,NA,NA,NA,NA,NA,NA,-2.62537550081678,NA,1.17881788577861,-0.240099579225275,NA,5,-74.5245809279693,159.402103032409,2.5182149813937,0.00282081469659025
"1314",-3.13847779403008,4.04188572609466,NA,NA,NA,NA,0.214709957240536,NA,NA,-2.64587996300744,NA,1.13929686219936,NA,NA,5,-74.5258040527487,159.404549281968,2.52066123095241,0.00281736659739453
"390",-3.4690400925538,4.2030698521986,NA,1.51856354310215,NA,NA,NA,NA,-0.638434109028255,-1.88037259843924,NA,NA,NA,NA,5,-74.5428819627412,159.438705101953,2.55481705093749,0.00276966038490377
"1298",-2.99861096529632,4.00631554652484,NA,NA,NA,-0.0761203704601918,NA,NA,NA,-2.62547945838377,NA,1.15977665460975,NA,NA,5,-74.5475887826348,159.44811874174,2.5642306907246,0.00275665472396829
"4418",-3.57603558568364,4.33341036769497,NA,NA,NA,NA,NA,1.60209228240108,NA,-2.72180919868666,NA,NA,NA,-0.287863999367994,5,-74.5612257378775,159.475392652226,2.59150460120998,0.00271931750846729
"834",-3.60359437908703,4.3188157730648,NA,NA,NA,NA,NA,1.77829896746489,NA,-2.79107646979213,-0.410099166621886,NA,NA,NA,5,-74.5660707626436,159.485082701758,2.60119465074231,0.00270617421329775
"294",-3.70305357833647,3.86560067093088,NA,1.45209328296403,NA,NA,0.262782663359628,NA,NA,-1.92695636775379,NA,NA,NA,NA,5,-74.5711178203076,159.495176817086,2.61128876607029,0.0026925504049872
"774",-3.72627270582572,3.90414187910593,NA,1.50127510648768,NA,NA,NA,NA,NA,-1.95212028739502,0.272439522785123,NA,NA,NA,5,-74.5771357292285,159.507212634928,2.62332458391208,0.00267639553989277
"270",-3.53872849729927,3.86002610907837,NA,1.49923230211338,-0.174287330725668,NA,NA,NA,NA,-1.86849380163266,NA,NA,NA,NA,5,-74.5871513490036,159.527243874478,2.64335582346229,0.00264972357090835
"4358",-3.53302910914385,3.87982164826046,NA,1.43963753269361,NA,NA,NA,NA,NA,-1.87690434842051,NA,NA,NA,-0.154308785221086,5,-74.5898138417648,159.53256886,2.64868080898455,0.0026426780845221
"8",-4.60893707299703,4.23006760964346,0.225472824706678,1.38209528479866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-75.6541898371815,159.542297803018,2.65840975200234,0.00262985406859079
"134",-4.32809552552077,4.53412887782421,NA,1.41410699204018,NA,NA,NA,NA,-0.761311028842238,NA,NA,NA,NA,NA,4,-75.6625619021975,159.55904193305,2.67515388203432,0.00260792866785138
"450",-3.57066082989626,4.52169883938361,NA,NA,NA,NA,NA,1.58713192956682,-0.399885176747751,-2.72371760088428,NA,NA,NA,NA,5,-74.6043265438236,159.561594264118,2.67770621310214,0.00260460264190181
"330",-3.60464966597314,4.31648129980998,NA,NA,-0.189162363641973,NA,NA,1.62453397819583,NA,-2.73175093320833,NA,NA,NA,NA,5,-74.606048078496,159.565037333463,2.68114928244702,0.00260012258553848
"278",-3.62168334632178,3.88535464452393,NA,1.46768418748587,NA,0.0328315184365566,NA,NA,NA,-1.89958249835924,NA,NA,NA,NA,5,-74.6088863022811,159.570713781033,2.68682573001715,0.00259275331853351
"2310",-3.58178608366876,3.86346654494747,NA,1.46411370584025,NA,NA,NA,NA,NA,-1.8965402491759,NA,NA,-0.024158564268469,NA,5,-74.6092974812797,159.57153613903,2.68764808801444,0.00259168745196625
"338",-3.55962967473332,4.22629595423664,NA,NA,NA,-0.161361630058293,NA,1.61228185779422,NA,-2.7531826752977,NA,NA,NA,NA,5,-74.615713109364,159.584367395199,2.70047934418307,0.0025751133725777
"14",-4.36021301274121,4.10362519192545,NA,1.42953410865411,-0.319303937599288,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-75.6769554893465,159.587829107348,2.70394105633247,0.00257066007707231
"354",-3.68914651230354,4.29755296766076,NA,NA,NA,NA,0.0952902747565368,1.55933931162694,NA,-2.73703291576739,NA,NA,NA,NA,5,-74.626702507362,159.606346191195,2.72245814017896,0.00254696935299105
"2370",-3.61714578750994,4.29894408638219,NA,NA,NA,NA,NA,1.58889124673692,NA,-2.73575745301833,NA,NA,-0.0882688449494876,NA,5,-74.627825659763,159.608592495997,2.72470444498094,0.0025441103241101
"1030",-4.6350155084881,4.2210990981085,NA,1.30919842162138,NA,NA,NA,NA,NA,NA,NA,0.281785148279411,NA,NA,4,-75.6931943919001,159.620306912455,2.73641886143957,0.00252925249535899
"4102",-4.37589549712207,4.15547901891327,NA,1.31665902344206,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.251309659566095,4,-75.7002555133263,159.634429155308,2.7505411042921,0.00251145604177481
"70",-4.70743903659333,4.23870310913423,NA,1.34008930826432,NA,NA,NA,0.260385248751491,NA,NA,NA,NA,NA,NA,4,-75.7265343491898,159.686986827035,2.803098776019,0.00244631753134122
"1350",-4.38495458738066,4.43361109150033,NA,1.36902412386771,NA,NA,NA,1.12811928514541,NA,-3.14684316389333,NA,0.791904048238658,NA,NA,6,-73.6029731162749,159.702987652668,2.81909960165248,0.00242682406308209
"38",-4.56302932475548,4.1376885000801,NA,1.35235065003722,NA,NA,0.145691425882658,NA,NA,NA,NA,NA,NA,NA,4,-75.7409027088377,159.71572354633,2.83183549531489,0.00241141927696543
"2054",-4.43754157094614,4.12285403427887,NA,1.35354596667783,NA,NA,NA,NA,NA,NA,NA,NA,-0.0906412500302818,NA,4,-75.7488970343743,159.731712197404,2.84782414638801,0.00239221845732068
"518",-4.52145798194814,4.14297646967698,NA,1.36103969209634,NA,NA,NA,NA,NA,NA,0.0518996874507757,NA,NA,NA,4,-75.7516601585582,159.737238445771,2.85335039475586,0.00238561758436359
"22",-4.4981083048297,4.13811819281797,NA,1.35643035251905,NA,0.00730980064839428,NA,NA,NA,NA,NA,NA,NA,NA,4,-75.7528429254365,159.739603979528,2.85571592851232,0.00238279762290794
"1414",-3.61097797335075,4.80526543732416,NA,1.4577727637957,NA,NA,NA,NA,-1.22126455691858,-2.75681299936735,NA,1.24824564081465,NA,NA,6,-73.6808622526123,159.858765925343,2.97487787432735,0.0022449748001638
"328",-4.39383453557663,4.41695780054806,0.342419378154821,1.48774200352747,NA,NA,NA,1.33001689495111,NA,-2.93679912356689,NA,NA,NA,NA,6,-73.7231218127386,159.943285045596,3.05939699458003,0.00215207982741127
"1288",-3.80580949559469,4.14545220993338,0.279291925395363,1.42313857424306,NA,NA,NA,NA,NA,-2.75085788086714,NA,0.89069968219739,NA,NA,6,-73.798602935929,160.094247291976,3.21035924096077,0.00199561767298893
"1294",-3.68748453783913,4.10675916225884,NA,1.43010676380909,-0.390554370778573,NA,NA,NA,NA,-2.67973860540621,NA,1.17010257417344,NA,NA,6,-73.8040259082113,160.105093236541,3.22120518552546,0.00198482478487901
"334",-4.41636392530057,4.41727531342072,NA,1.49498357637846,-0.333070342698357,NA,NA,1.649275319535,NA,-2.81772734092837,NA,NA,NA,NA,6,-73.8294712610191,160.155983942157,3.27209589114102,0.00193495735572334
"1798",-3.61195927146814,4.08885427121839,NA,1.27742497272541,NA,NA,NA,NA,NA,-2.72936086083075,-0.492035770225994,1.29210433591682,NA,NA,6,-73.8312797994809,160.15960101908,3.27571296806465,0.00193146107345699
"454",-4.35977065747449,4.75170875765291,NA,1.48528188056012,NA,NA,NA,1.58106418891583,-0.650466448098363,-2.8131940533053,NA,NA,NA,NA,6,-73.8373258630324,160.171693146183,3.28780509516753,0.00191981856818896
"5382",-3.71407056274887,4.13347505653222,NA,1.32207558834958,NA,NA,NA,NA,NA,-2.67776276961852,NA,1.10986141874647,NA,-0.222825795795785,6,-73.8670953185471,160.231232057212,3.34734400619689,0.00186350892690926
"4422",-4.41228317784185,4.42045071030582,NA,1.3997894434435,NA,NA,NA,1.5903574941371,NA,-2.81747174291591,NA,NA,NA,-0.185032673693355,6,-73.8778840163882,160.252809452895,3.36892140187922,0.00184351215569537
"4356",-2.71489224714048,3.94189805371604,0.455500369870084,NA,NA,NA,NA,NA,NA,-2.09757211376714,NA,NA,NA,-0.248784258362824,5,-74.9576602338711,160.268261644213,3.3843735931973,0.00182932388497804
"838",-4.43212760198662,4.40640375771142,NA,1.39650860175534,NA,NA,NA,1.68522298867423,NA,-2.85360121647024,-0.227929110352078,NA,NA,NA,6,-73.8870730369684,160.271187494055,3.38729944303952,0.00182664967803684
"1318",-3.86784834024214,4.10813849404566,NA,1.35378269106709,NA,NA,0.163543525683233,NA,NA,-2.69749283890704,NA,1.07448107168378,NA,NA,6,-73.8934663062217,160.283974032562,3.40008598154611,0.00181500866652529
"3334",-3.70637915004558,4.09709434196439,NA,1.35165682844139,NA,NA,NA,NA,NA,-2.68554833743581,NA,1.10540298574868,-0.177941210109289,NA,6,-73.8937211362372,160.284483692593,3.40059564157727,0.00181454620676534
"342",-4.42458240869738,4.35934563389298,NA,1.42402485207344,NA,-0.0883476069416968,NA,1.59480247994307,NA,-2.8400065698422,NA,NA,NA,NA,6,-73.9016321773484,160.300305774815,3.41641772379958,0.00180024788898651
"358",-4.49812942531462,4.40080380160456,NA,1.42922464595661,NA,NA,0.0462414683722194,1.56710340054229,NA,-2.83035304506107,NA,NA,NA,NA,6,-73.9052810433972,160.307603506913,3.42371545589717,0.00179369099547303
"2374",-4.47159984839584,4.4023936898802,NA,1.42955601921058,NA,NA,NA,1.58084054697752,NA,-2.83156392676714,NA,NA,-0.0257453871508567,NA,6,-73.9061073482746,160.309256116668,3.42536806565198,0.00179220947203423
"1302",-3.7913108297168,4.1015196232958,NA,1.36001457949842,NA,-0.0175058294328361,NA,NA,NA,-2.68693810197151,NA,1.08846831707835,NA,NA,6,-73.9079713183648,160.312984056848,3.42909600583232,0.00178887195866191
"388",-2.70613482257925,4.14405969907122,0.458835399370697,NA,NA,NA,NA,NA,-0.4012699854015,-2.11057827108617,NA,NA,NA,NA,5,-74.9822189412966,160.317379059064,3.43349100804829,0.00178494522662988
"292",-2.8568604328722,3.91638561656454,0.438490419144802,NA,NA,NA,0.146971120180914,NA,NA,-2.13510481670239,NA,NA,NA,NA,5,-74.9983134070073,160.349567990485,3.46567993946968,0.00175644743043662
"268",-2.7512799607084,3.92402141331785,0.465108158806023,NA,-0.107509965725694,NA,NA,NA,NA,-2.11498135985983,NA,NA,NA,NA,5,-75.0012003942515,160.355341964974,3.47145391395799,0.00175138390179813
"2308",-2.74752672717153,3.91695823961477,0.458361711731057,NA,NA,NA,NA,NA,NA,-2.12320814432123,NA,NA,-0.0915845047373749,NA,5,-75.005711700852,160.364364578175,3.48047652715897,0.00174350066725585
"276",-2.74295773407319,3.88470367335052,0.460427502392227,NA,NA,-0.0743163957179676,NA,NA,NA,-2.12840867201873,NA,NA,NA,NA,5,-75.0061956490129,160.365332474496,3.48144442348072,0.00174265710745052
"772",-2.78739095958305,3.92355885289733,0.460393284224694,NA,NA,NA,NA,NA,NA,-2.12498111675407,-0.0271484703557631,NA,NA,NA,5,-75.0093300585596,160.37160129359,3.48771324257424,0.00173720345782687
"1858",-3.42936878496121,4.37977642294767,NA,NA,NA,NA,NA,1.34017590040231,NA,-3.29943763775574,-0.963191815084536,1.20049157091303,NA,NA,6,-73.9581433868722,160.413328193863,3.52944014284722,0.00170133487240362
"5122",-3.77951971506827,4.19796814045096,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.408639132179058,NA,-0.36966261457527,4,-76.1890880227447,160.612094174144,3.72820612312887,0.00154038159063631
"1154",-3.75342713716194,4.60260812631113,NA,NA,NA,NA,NA,NA,-0.790828697156822,NA,NA,0.475571568459557,NA,NA,4,-76.2098973329606,160.653712794576,3.76982474356058,0.00150865852456552
"392",-3.54747147495883,4.36939913277498,0.506678179882362,1.59010961667586,NA,NA,NA,NA,-0.653546111370733,-2.24072791422417,NA,NA,NA,NA,6,-74.11040127174,160.717843963598,3.83395591258275,0.00146104988576687
"4100",-3.62940762592273,4.14867552948554,0.19575178387518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.344840310371566,4,-76.2421474605684,160.718213049792,3.83432499877631,0.00146078028397374
"1034",-3.78941952697817,4.15033217550901,NA,NA,-0.278725964658558,NA,NA,NA,NA,NA,NA,0.450072918426061,NA,NA,4,-76.2487630347891,160.731444198233,3.84755614721757,0.00145114827933522
"1538",-3.79714989138692,4.14127586180347,NA,NA,NA,NA,NA,NA,NA,NA,-0.388625363622247,0.530687657032482,NA,NA,4,-76.2509553479472,160.735828824549,3.8519407735339,0.00144797039260225
"272",-3.58860906788986,4.01009719798722,0.523360558574905,1.58909862396335,-0.257668240683921,NA,NA,NA,NA,-2.22948441033992,NA,NA,NA,NA,6,-74.1331996768477,160.763440773814,3.87955272279811,0.00142811711237894
"4162",-3.83646717526849,4.20577025746168,NA,NA,NA,NA,NA,0.349053919958985,NA,NA,NA,NA,NA,-0.356476897881125,4,-76.2684492105667,160.770816549788,3.88692849877285,0.00142286007607436
"1474",-3.39652935715236,4.81199478016326,NA,NA,NA,NA,NA,1.02315871951078,-0.854672829773486,-3.08678291116941,NA,0.999083273020808,NA,NA,6,-74.1395542653539,160.776149950826,3.89226189981051,0.00141907078906365
"4226",-3.41580158020419,4.33808461700957,NA,NA,NA,NA,NA,NA,-0.506511381740146,NA,NA,NA,NA,-0.339136127864091,4,-76.2764940987642,160.786906326183,3.90301827516774,0.00141145924652987
"3074",-3.80379582254296,4.14390408857437,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.401499909126894,-0.189012819935948,NA,4,-76.2865648618653,160.807047852386,3.92315980136996,0.00139731611045086
"4106",-3.42939043803998,4.05630413049243,NA,NA,-0.201685071431171,NA,NA,NA,NA,NA,NA,NA,NA,-0.362282958593091,4,-76.2874794856494,160.808877099954,3.92498904893819,0.00139603867617726
"1028",-3.89768824321905,4.17289768636103,0.0999414815441452,NA,NA,NA,NA,NA,NA,NA,NA,0.30343490414867,NA,NA,4,-76.2887551474393,160.811428423534,3.92754037251811,0.00139425893839384
"132",-3.61989225461544,4.41771919411863,0.202094148231966,NA,NA,NA,NA,NA,-0.555102571472217,NA,NA,NA,NA,NA,4,-76.2924188710895,160.818755870834,3.93486781981849,0.0013891601050084
"4360",-3.61151371103746,4.0256231499121,0.504116663361312,1.51540733398458,NA,NA,NA,NA,NA,-2.24286988602614,NA,NA,NA,-0.145112953608998,6,-74.163154617202,160.823350654522,3.93946260350674,0.00138597232310714
"1058",-3.95096760053976,4.15384208807257,NA,NA,NA,NA,0.118003760206952,NA,NA,NA,NA,0.369023124565667,NA,NA,4,-76.2960475282911,160.826013185237,3.94212513422156,0.00138412845377906
"5442",-3.49456277925261,4.3722472943793,NA,NA,NA,NA,NA,1.09222670378251,NA,-3.06788859187624,NA,0.89394519775618,NA,-0.321200853611019,6,-74.166991052219,160.831023524556,3.94713547354078,0.00138066531685561
"1042",-3.854710743666,4.12014419488102,NA,NA,NA,-0.0611496939571713,NA,NA,NA,NA,NA,0.384618318854714,NA,NA,4,-76.301381925328,160.836681979311,3.95279392829545,0.00137676462132146
"1090",-3.9275755569915,4.16747585650617,NA,NA,NA,NA,NA,0.0432951060803922,NA,NA,NA,0.366149287148522,NA,NA,4,-76.3032654471593,160.840449022974,3.95656097195794,0.00137417389571075
"4130",-3.62545445917735,4.07169079491278,NA,NA,NA,NA,0.161647705571132,NA,NA,NA,NA,NA,NA,-0.338373893109187,4,-76.3034226750522,160.840763478759,3.95687542774377,0.00137395785422895
"776",-3.72213787642159,4.02941784803178,0.495506829975418,1.54982941971802,NA,NA,NA,NA,NA,-2.27758575897492,0.108087749730479,NA,NA,NA,6,-74.1756228050676,160.848287030253,3.96439897923793,0.00136879904212604
"12",-3.65221021759984,4.10979594949828,0.213035039177435,NA,-0.212249704954837,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-76.3087486458875,160.85141542043,3.96752736941451,0.00136665964703933
"296",-3.69257701744633,4.01396742855759,0.497300807552591,1.53343424976892,NA,NA,0.0542063341491801,NA,NA,-2.2633343368926,NA,NA,NA,NA,6,-74.1790758731849,160.855193166488,3.97130511547249,0.0013640806369703
"2312",-3.66015019637768,4.01504024140465,0.505033543623504,1.53651025212041,NA,NA,NA,NA,NA,-2.26133071033492,NA,NA,-0.0210799168439285,NA,6,-74.1803989110322,160.857839242183,3.97395119116723,0.00136227709999764
"280",-3.68447288128699,4.02612177270348,0.504822791321846,1.53901755224296,NA,0.01488364150261,NA,NA,NA,-2.2631054050481,NA,NA,NA,NA,6,-74.1804656367937,160.857972693706,3.97408464269009,0.00136218620405346
"4114",-3.49816992133045,4.03586245202012,NA,NA,NA,-0.0591759213941644,NA,NA,NA,NA,NA,NA,NA,-0.345320538371342,4,-76.3158453986662,160.865608925987,3.98172087497181,0.00135699513527892
"6146",-3.52692517480375,4.06643091572065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0323742760815581,-0.339061876045667,4,-76.3176304694945,160.869179067644,3.98529101662834,0.00135457496358044
"4610",-3.52955251323852,4.06589864762118,NA,NA,NA,NA,NA,NA,NA,NA,-0.0296135332458882,NA,NA,-0.343368030409787,4,-76.3177051192224,160.8693283671,3.98544031608418,0.00135447384870211
"1354",-3.49046305238099,4.35276299965867,NA,NA,-0.309413540135806,NA,NA,1.11729241443846,NA,-3.08069998833752,NA,0.924286502837996,NA,NA,6,-74.1887965807188,160.874634581556,3.99074653054032,0.00135088504718663
"4386",-2.81750006336479,3.80987554866176,NA,NA,NA,NA,0.312800287705754,NA,NA,-1.81089756395391,NA,NA,NA,-0.24969816578674,5,-75.2613446488769,160.875630474224,3.99174242320882,0.00135021254637794
"194",-3.81839571837968,4.45897045484448,NA,NA,NA,NA,NA,0.338363267832965,-0.548226533214547,NA,NA,NA,NA,NA,4,-76.3268578480716,160.887633824798,4.00374577378255,0.00134213327793054
"68",-3.90068894720065,4.17784489370007,0.162588875656235,NA,NA,NA,NA,0.183648712442929,NA,NA,NA,NA,NA,NA,4,-76.3306550848126,160.89522829828,4.01134024726466,0.00133704654401479
"2052",-3.68450992438053,4.1081628486506,0.195870579475003,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.129892424401221,NA,4,-76.3340162433332,160.901950615321,4.01806256430581,0.00133256006274214
"516",-3.70136627980748,4.10604424362186,0.20675598417323,NA,NA,NA,NA,NA,NA,NA,-0.126679901078174,NA,NA,NA,4,-76.334989642573,160.903897413801,4.0200093627854,0.00133126358088968
"36",-3.79924009595009,4.116151406122,0.182599564052083,NA,NA,NA,0.0939911520087758,NA,NA,NA,NA,NA,NA,NA,4,-76.3375732831353,160.909064694925,4.02517664390993,0.0013278285137033
"74",-3.87914154656659,4.16939309558004,NA,NA,-0.223168319275476,NA,NA,0.384583350491535,NA,NA,NA,NA,NA,NA,4,-76.3391032245146,160.912124577684,4.02823652666856,0.00132579856716112
"20",-3.71221998175855,4.08476058514364,0.196281158925075,NA,NA,-0.0611055695048344,NA,NA,NA,NA,NA,NA,NA,NA,4,-76.3398574583091,160.913633045273,4.02974499425753,0.0013247989820849
"418",-2.80920338096045,4.00276524490125,NA,NA,NA,NA,0.330167362340573,NA,-0.403532097407489,-1.82592658314991,NA,NA,NA,NA,5,-75.2862187464187,160.925378669308,4.04149061829241,0.00131704148815028
"4482",-2.59263051424708,4.02271368637753,NA,NA,NA,NA,NA,NA,-0.38614798703179,-1.75131378060251,NA,NA,NA,-0.259545762716587,5,-75.2901134893249,160.93316815512,4.04928010410478,0.00131192192631728
"162",-3.62653251693896,4.32598120369261,NA,NA,NA,NA,0.191722471542074,NA,-0.539738845944816,NA,NA,NA,NA,NA,4,-76.35254612908,160.939010386815,4.05512233579938,0.00130809524220277
"1922",-2.63746177222937,4.5890470455333,NA,NA,NA,NA,NA,NA,-0.995350887023544,-2.75011912175114,-0.721736118864583,1.57877256535998,NA,NA,6,-74.2242447086984,160.945530837515,4.06164278649948,0.00130383750130259
"1348",-3.55628049698497,4.34477804838709,0.132664924059888,NA,NA,NA,NA,1.04026294589593,NA,-3.08447799326304,NA,0.786309442700395,NA,NA,6,-74.2295532349193,160.956147889957,4.07225983894145,0.001296934384638
"138",-3.47954490760332,4.27837862911722,NA,NA,-0.126915172990106,NA,NA,NA,-0.475966404128159,NA,NA,NA,NA,NA,4,-76.3613571099963,160.956632348648,4.07274429763211,0.00129662026711685
"298",-2.86511540185251,3.78456103199537,NA,NA,-0.127823514995886,NA,0.365919496261808,NA,NA,-1.82567926147034,NA,NA,NA,NA,5,-75.3025582871858,160.958057750842,4.07416969982663,0.00129569649365603
