"surfacearea_ha","shoreline_development","depth_max_m","TOTP_avg","PH_avg","COND_avg","ALK_avg","secchi_avg","waterbodies_1km","waterbodies_5km","waterbodies_10km","boatlaunch","dist_waterfowl","nearest_LM","nearest_SP","nearest_W","nearest_LMSPW"
12.95,2.188,2.3,0.017,5.8,65.6,21.4,1.3,2,12,55,0,6.4183,9.3722,9.3722,5.6819,5.6819
2.43,1.313,5,0.017,5.8,65.6,21.4,3.7,1,11,54,0,5.8602,9.2382,9.2382,5.5237,5.5237
8.09,1.339,4,0.011,6.45,67.5,5.65,2.5,1,11,43,0,6.0135,3.6429,3.6429,10.2771,3.6429
0.53,1.58,1,0.0521,7.55,355.5,69.75,1,2,14,60,0,2.3973,0.0267,9.1303,12.4214,0.0267
2.35,1.608,1,0.1733,7.4,331,69.4,0.9,2,14,60,0,12.0084,0.0267,9.39,12.0197,0.0267
27.68,1.559,2,0.0515,6.05,58.1,6.7,1,3,14,30,0,10.4346,12.3747,28.4306,12.3747,12.3747
26.63,1.238,3.353,0.043,6.9,145,49.88,2.5,2,13,52,1,2.477,24.9857,22.1559,23.2628,22.1559
2.99,1.435,4,0.0975,6.6,487.5,73.5,1.4,2,26,62,0,27.9595,0.7726,0.7726,0.7726,0.7726
4.33,1.406,2,0.048,6.45,193.5,26.25,1.2,0,14,53,0,3.1376,8.8856,8.8856,18.0097,8.8856
6.27,1.548,2,0.055,6.75,173,18.8,1.2,1,12,50,0,6.804,3.0351,19.2111,23.1223,3.0351
12.14,1.596,1.7,0.012,6.65,183,24.05,1.7,1,14,71,0,18.8589,9.6997,17.5498,10.4267,9.6997
6.07,1.194,2,0.1647,7.55,51,13.5,0.3,0,19,65,0,6.9611,4.3678,9.7199,13.6791,4.3678
6.84,1.412,5,0.0295,6.28,75.06,14.395,2.28,1,21,52,0,21.5947,2.9123,2.9123,4.1021,2.9123
26.71,2.158,6,0.016,6.6,143,17.25,1.8,1,17,62,0,0,1.7154,12.4403,12.4403,1.7154
5.58,1.622,3,0.014,7.1,183,45.05,2.6,3,19,64,0,19.1216,7.5678,8.2059,7.5678,7.5678
214.08,1.636,11.887,0.011,6.1,78.95,9.75,2,1,19,64,1,4.8702,11.7971,13.6099,11.7971,11.7971
0.32,1.319,2.5,0.0695,5.75,76,15,0.8,0,13,41,0,1.3681,10.7723,10.7723,11.7115,10.7723
30.76,1.372,2.743,0.002,6.15,52,8.85,2.4,0,10,42,0,30.4927,8.9051,12.7557,13.9055,8.9051
