"surfacearea_ha","shoreline_development","depth_max_m","TOTP_avg","PH_avg","COND_avg","ALK_avg","secchi_avg","waterbodies_1km","waterbodies_5km","waterbodies_10km","boatlaunch","dist_waterfowl"
12.71,1.315,13,0.0165,7.4,205,35.65,2.5,2,20,70,0,5.4112
15.78,1.728,2,0.0185,5.65,75.8,6.75,1.9,2,12,43,0,14.2091
24.73,1.659,6,0.0145,7.4,102.5,19.55,1,4,20,74,0,11.6864
7.28,1.514,2,0.0415,7.1,156,29.65,0.8,3,18,69,0,20.4847
17.12,1.341,1.8,0.044,7.1,154,32.25,1.5,3,21,69,0,34.041
11.29,1.964,4,0.004,6.85,44,14.35,1,1,18,80,0,18.1651
5.34,1.251,5.1,0.03,6,81,11.63,2.6,4,17,52,1,6.3974
2.23,1.359,1,0.05405,6.45,394.5,34.9,0.8,1,16,75,0,7.9483
2.39,1.324,5.5,0.006,6.4,52.3,14.3,4,3,14,52,0,28.6271
132.74,4.132,7.925,0.02,7.25,238,85.5,2,3,28,85,1,21.465
5.79,1.372,2.468,0.0375,5.4,29.5,4.5,1.2,3,17,35,1,2.1363
3.08,1.994,2,0.0755,6.05,196.5,31.5,1.5,0,11,40,0,29.8943
10.93,2.028,4,0.069,7.05,228.5,55.9,1,2,12,42,0,3.6412
82.96,1.58,3,0.014,7.5,116.25,274,2,0,11,41,0,4.2928
5.79,1.311,10,0.039,5.8,78.3,12.75,3.7,2,22,64,0,7.8476
1.01,1.482,2,0.055,6.6,89.5,29.25,2,1,24,83,0,41.8915
4.45,1.378,1,0.038,6.45,112.5,24.4,0.75,0,14,51,0,11.468
1.09,1.343,1,0.053,6.8,178,63.9,1.3,1,12,47,0,3.5098
3.44,1.349,3,0.056,7.65,130,13.9,0.8,1,8,53,0,12.0371
6.47,1.388,7,0.0545,6.35,111.5,32.25,3.6,0,9,36,0,1.9691
9.27,1.183,13.41,0.174,6.35,299,100.5,4.5,3,18,43,0,0.82
40.47,2.168,2.134,0.0964,6.925,88.05,17.8125,1.85,1,8,39,0,3.0614
50.99,2.115,4,0.034,6.025,72.3,10.325,1.75,4,34,61,1,21.6638
1.62,1.252,1.7,0.0165,6.55,54.8,6.3,1.6,2,22,76,0,12.9618
0.4,1.776,2.5,0.1935,7.1,116,53.63,0.7,1,8,27,0,15.0954
59.8,1.528,3,0.0715,6.75,183.5,62.65,0.9,1,9,36,0,6.0013
35.7,1.674,3.353,0.0524,7.8,271.25,75.1875,1.4,1,32,110,1,9.8614
14.37,2.145,3,0.0395,6,100.5,33.75,1.5,1,15,58,0,2.9341
29.54,1.924,4.877,0.0355,6.2,130,46.13,2.8,2,20,71,1,28.3342
1.46,1.397,2.8,0.1205,6.85,361,180.4,1.2,0,6,59,0,1.9528
13.19,1.69,5.49,0.006,5.35,24,1.13,4,0,5,46,0,14.2071
0.4,1.115,1.5,0.0455,6.2,125,27.38,1,1,13,36,0,3.9382
1.78,1.581,1.5,0.105,6,149,33,1,1,14,34,0,13.6629
6.56,1.12,8,0.018,5.7,35.85,9,5.4,0,11,33,1,5.5628
41.28,2.128,2,0.0132,6.15,23.1,6.75,2,0,15,41,1,28.2138
38.77,1.21,6,0.1089,6.225,53.075,11.375,2.95,0,9,22,0,15.0986
18.13,2.461,3.5,0.0155,5.7,227.5,7.88,3.5,1,16,87,0,0.2723
15.41,1.669,3,0.0109,6.55,84,14.65,2.5,0,22,86,0,3.4539
0.12,1.255,2,0.024,6.8,123.5,26.5,1.5,1,10,52,0,31.3882
5.14,1.373,1.5,0.0525,5.25,77.65,4.5,0.9,0,9,49,0,15.8124
26.06,1.361,2,0.073,7.2,118.5,131.65,1.1,0,15,50,1,22.9619
3.28,1.638,1.3,0.044,6,154,17.63,1.3,0,15,54,0,15.6218
0.2,1.592,1.8,0.091,6.6,148.5,22.9,1,1,12,51,0,14.2366
0.4,1.118,3,0.0425,6.75,294,45.05,1.8,1,11,47,0,1.3149
6.39,1.188,2,0.043,6.35,144,30.75,0.9,1,15,70,0,2.494
51.8,2.396,10.058,0.0078,6.6,69.5,13.375,2.45,2,24,85,1,7.7616
24.36,1.967,4.2,0.024,6.45,124,15,1.3,0,17,66,0,3.6935
55.2,1.479,12,0.0155,6.75,152.5,46.5,3.2,1,10,42,0,26.064
206.79,1.604,7,0.0615,6,107.5,13.9,0.5,2,12,34,0,4.5664
58.27,1.982,14,0.016,7,23.15,2.3,3,2,15,79,1,15.3515
1.01,1.234,3,0.009,6.65,79.6,30.4,3,1,10,31,0,4.8178
0.2,1.066,3,0.0295,6.5,113.9,21.4,1,1,10,31,0,19.1945
0.4,1.064,2.1,0.1186,6.3,174,30.75,2.1,0,16,75,0,9.5071
0.01,1.047,0.8,0.0102,5.9,29,5.3,0.8,0,12,58,0,4.139
0.28,1.285,0.5,1.4246,6.6,336,122.25,0.5,1,13,54,0,4.9591
0.12,1.058,0.5,0.2035,6.4,184,37.5,0.5,2,13,54,0,7.4348
0.12,1.285,0.5,0.0934,5.7,35,7.875,1,1,12,61,0,14.4341
5.67,2.103,2.5,0.02,6.2,106.5,26.3,1.5,3,19,68,0,18.7939
165.11,2.553,6.096,0.0065,6,52.05,3.75,2.8,2,21,67,1,10.2076
39.94,2.353,14,0.0026,7.25,138.5,28.9,3,0,14,46,1,23.0858
0.49,1.152,1,0.018,5.95,57.95,22.15,1.1,1,23,75,0,50.4668
105.22,2.319,19.202,0.0065,7,47,6.75,2.3,6,35,88,1,27.805
0.4,1.507,2,0.1688,6.75,206,26.85,0.6,2,19,79,0,2.2977
38.85,1.479,5,0.2085,7.25,95,28.5,1.5,1,14,58,0,0.828
3.56,1.587,5,0.0123,6.85,291,42,2,2,22,71,0,1.7368
0.45,1.367,2,0.0995,7.7,116,22.13,0.7,0,14,43,0,4.4181
1.58,1.86,3,0.043,5.95,66.35,12.75,1.7,1,13,47,0,22.0881
0.97,1.919,2,0.5045,6.15,117.5,34.15,1.5,1,26,75,0,2.3491
2.95,1.536,3,0.0415,6.4,153,18,2.2,3,19,62,0,3.0918
4.17,1.733,3.4,0.028,6.2,102,7.13,3,3,19,58,0,2.5704
59.08,1.718,4.877,0.1205,8.05,275.5,75,1,2,24,82,1,6.3439
8.01,1.975,3,0.0905,6.95,226,86.25,1.1,1,12,28,0,13.0297
15.05,1.491,2,0.049,8.7,177.5,39.38,0.8,1,22,63,0,30.0835
3.08,1.978,1.3,0.017,9.2,263,165,1.3,0,14,63,0,2.0578
107.65,2.274,12,0.0065,6.6,119.5,27.4,3.5,1,14,43,1,2.4003
60.3,2.435,3.5,0.0227,6.175,65.75,10.6875,2.75,0,29,100,0,7.6113
3.68,1.334,2,0.024,6.25,138,13.88,1.4,0,14,55,0,3.1294
0.45,1.273,1,0.107,7.55,204.5,71.63,1,1,12,42,0,3.7263
50.18,1.485,10,0.1485,7.4,147.5,34.5,2,1,14,54,0,1.8512
0.85,1.348,0.8,0.232,6.3,181,42.75,0.8,0,29,58,0,25.4194
4.86,1.331,3,0.021,6.7,68.45,28.85,2.7,2,7,40,0,8.4572
1.17,1.468,2,0.0425,6.35,124.5,45.9,2,0,18,42,0,23.706
5.42,2.316,2,0.0421,7.1,250.75,46.5,1.5,2,13,49,0,2.3912
6.6,1.197,3.5,0.0218,7.5,313.5,62.25,2,2,12,54,0,4.9149
75.68,1.746,7,0.1033,6.63,114.58,39.19,2.3,1,12,48,0,8.5468
62.32,1.764,7,0.0285,7.4,136,61.5,2.6,2,11,45,0,8.3202
5.26,2.051,2,0.027,5.7,66.5,11.5,0.6,3,14,53,0,12.6248
178.06,2.82,3,0.0697,6.55,55,9.375,1.5,5,30,66,1,11.2479
0.57,1.15,2,0.028,7.15,132,93.05,2,0,7,47,0,14.0261
0.16,1.079,1.5,0.178,5.85,152.5,37.88,0.7,1,15,64,0,3.3158
14.45,1.859,2.5,0.013,7.25,199,48,2.4,2,36,99,0,43.0381
99.15,1.424,13,0.0108,6.975,54.5,19.7125,8.4,0,6,45,1,6.773
21.12,1.487,5,0.0502,7.075,236,69.2,2.5,2,14,53,0,26.1209
16.96,1.206,9,0.2151,6.7,134.25,54.575,3.95,1,12,40,1,9.5282
3.2,1.36,2,0.074,6,97.5,13.5,1.5,0,12,49,0,5.0617
101.17,2.211,2.3,0.0135,6.9,56,12,2.3,2,14,41,0,0.5321
99.55,2.388,5.182,0.0035,6.85,34,4.15,3,3,20,61,1,2.4016
45.69,1.965,5,0.0305,6.35,228,22.5,1.1,1,17,45,0,7.3106
17.97,1.751,8,0.0377,6.2,38.2,9,2.5,2,23,62,0,20.5861
24.28,2.003,2,0.0361,7.95,413.5,69.4,2,1,16,57,0,1.3209
40.8,1.421,8,0.0358,6.25,56,15.8,2.2,0,5,27,1,7.5656
1.7,1.461,1,0.0725,6.75,181,73.9,0.3,2,13,42,0,18.4066
