"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"1699",-4.25128362865795,NA,1.31594974901066,NA,NA,NA,-1.00957780293713,NA,0.0962572087277037,NA,-0.908605066561012,-0.518739451812967,6,-58.4061604495031,129.315314910982,4.40805626430473,0.00148068159925479
"1640",-4.98151891731522,1.20720151735418,1.44651350113369,0.317919618230943,NA,NA,-1.03420709430491,-0.952796253445239,NA,NA,-0.987412173857693,-0.47441816981998,8,-56.2305253263982,129.333777925524,4.42651927884613,0.00146707557498779
"1300",-4.42300773138525,0.790187501014597,1.26373714387758,NA,NA,-0.98801856840786,NA,NA,NA,0.534902222847534,NA,-0.580750300936988,6,-58.4180148216452,129.339023655266,4.43176500858887,0.00146323267590409
"1635",-3.8358782314213,NA,1.24566323155017,NA,NA,NA,-0.812191081505776,-0.686860519604686,NA,NA,-0.831800875195217,-0.453157828996574,6,-58.4235949225178,129.350183857012,4.44292521033408,0.00145509042838115
"4",-8.87055831228542,0.590953821101317,1.38950099245233,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-61.6057211970636,129.352618864715,4.44536021803789,0.00145331992819383
"1072",-8.95530524436411,0.995375842319851,1.38232414965937,0.273381943880993,0.106178091512432,NA,-1.17465787475329,NA,NA,NA,NA,-0.617193144337468,7,-57.339139394412,129.352977584005,4.44571893732713,0.00145305928462316
"1251",-7.05631284367969,NA,1.25654051991407,NA,NA,NA,-1.01246780679022,-1.3353896534001,0.160930749641163,NA,NA,-0.562528127949623,6,-58.4341505953557,129.371295202687,4.46403655600987,0.00143981175009938
"327",-5.9012933786877,NA,1.0752368343713,0.227816607501263,NA,NA,NA,-0.721018137075353,NA,0.474783621781668,NA,NA,5,-59.5116936602174,129.380530177578,4.47327153090013,0.00143317876307236
"171",-8.30520570448633,NA,1.25425875761368,NA,0.258985394005913,NA,-1.09803737988259,NA,0.0160977556985624,NA,NA,NA,5,-59.5134750411398,129.384092939422,4.47683429274487,0.0014306279983818
"780",-2.38816594582167,0.898980548389947,1.20819412842613,NA,-0.112335565894887,NA,NA,NA,NA,0.485771482124506,-0.988216338302008,NA,6,-58.4407342028573,129.384462417691,4.47720377101315,0.00143036372981522
"1192",-8.55803320046565,1.09254211323446,1.34192744100324,0.281694711157364,NA,NA,-1.08821016646986,NA,-0.0250151791772087,NA,NA,-0.584308097887823,7,-57.3560408295355,129.386780454252,4.47952180757413,0.00142870687245408
"876",-3.94148961346941,1.02310136888862,1.2990030538229,NA,0.355172905323502,NA,-1.01594690799766,-1.00466685343477,NA,0.343319474689014,-0.896614477336274,NA,8,-56.2715253965752,129.415778065878,4.50851941920008,0.00140814177388906
"1388",-7.09036992855011,0.926072228894643,1.28269805516794,NA,0.444412829029451,NA,-1.00776071891422,-1.0566925650974,NA,0.38311643658031,NA,-0.553420343663008,8,-56.2787524498937,129.430232172515,4.52297352583714,0.00139800174361354
"1071",-9.18810906725267,NA,1.38415089544579,0.257403494443533,0.31922475770631,NA,-1.09272648423514,NA,NA,NA,NA,-0.664818136801865,6,-58.4675748590173,129.438143730011,4.5308850833331,0.00139248248171318
"112",-8.66619713777999,1.09366326351028,1.33672644285268,0.213049839864803,0.213934294942203,NA,-1.16883849521971,-1.36529037871494,NA,NA,NA,NA,7,-57.3831070654759,129.440912926132,4.53365427945492,0.00139055578732562
"1292",-5.90596785234162,0.7835331128776,1.19151377819292,NA,-0.00212243769045023,NA,NA,NA,NA,0.537679759970376,NA,-0.590129677701184,6,-58.4841772272059,129.471348466388,4.56408981971033,0.00136955482817165
"615",-4.20650821625053,NA,1.26469572651386,0.249822215078145,NA,NA,-0.816039788481436,-0.731029282122172,NA,NA,-0.967397190479774,NA,6,-58.4928772924181,129.488748596812,4.58148995013478,0.00135769129344798
"1800",-3.90997343442453,0.822944958452521,1.37617491153125,0.32229498175795,NA,NA,NA,NA,NA,0.512588624239256,-0.937373275977529,-0.574728867420388,7,-57.4116214373187,129.497941669818,4.59068302314056,0.00135146493665874
"572",-3.39505425712716,1.08052344703975,1.4440696149333,NA,0.0809064855412518,-0.733991837078153,-1.13165903082944,NA,NA,NA,-1.07572447199462,NA,7,-57.416897050818,129.508492896817,4.6012342501392,0.00134435390401784
"120",-6.68155981034281,1.16805459130571,1.35738882830629,0.242828529649844,NA,-0.959313440637942,-1.0491688260048,-1.16732130145811,NA,NA,NA,NA,7,-57.4213154236371,129.517329642455,4.61007099577732,0.00133842715021493
"692",-3.15064374134066,1.15168133195458,1.40851918121374,NA,NA,-0.704201335098354,-1.06671670460704,NA,-0.0199711663299443,NA,-1.06110439872753,NA,7,-57.4255403200219,129.525779435224,4.61852078854689,0.00133278436267656
"684",-4.57201154597243,1.13526132714548,1.3819077109564,NA,0.121817852806609,NA,-1.12286979368049,NA,-0.0400692405366802,NA,-1.05936092600424,NA,7,-57.427037279825,129.528773354831,4.62151470815324,0.00133079073062514
"1844",-2.11429164917087,1.1127719043604,1.30083243591773,NA,NA,-0.694799346775816,-0.846348046889655,NA,NA,0.341558917675262,-0.883143323505306,-0.454352574993426,8,-56.328052392465,129.528832057657,4.62157341097976,0.00133075167060968
"1384",-6.76052011853272,1.12010275001329,1.21211281327935,0.276200635260737,NA,NA,-0.825239484836781,-0.755885311500782,NA,0.316631083038234,NA,-0.554565003094964,8,-56.329912104167,129.532551481061,4.62529283438361,0.00132827915595032
"179",-5.78484131840941,NA,1.2625785174387,NA,NA,-1.10749735189937,-0.990951894614329,NA,0.0621995026042495,NA,NA,NA,5,-59.5879568317402,129.533056520623,4.62579787394576,0.00132794378153477
"559",-5.33336070803852,NA,1.3789720014428,0.231509662869579,0.268829714010675,NA,-1.02545316264597,NA,NA,NA,-1.03479672125412,NA,6,-58.5179590534543,129.538912118885,4.63165347220702,0.00132406151490733
"436",-4.99305079568026,1.06316322221374,1.17300052778547,NA,NA,-0.798939469404654,-0.858491865074856,NA,-0.00517538695661431,0.361427164395644,NA,NA,7,-57.4388479672043,129.552394729589,4.64513608291175,0.001315165630556
"816",-3.99601716372483,1.04213225068774,1.319752911881,0.251952080568054,0.183148243713331,NA,-0.943666008837395,NA,NA,0.365809316478571,-1.0501800509618,NA,8,-56.3400860311027,129.552899334933,4.64564068825503,0.00131483385260975
"359",-6.02495127814297,NA,1.05325705214928,0.212535035777023,NA,NA,-0.632367860256848,-0.619810324023129,NA,0.329744977478797,NA,NA,6,-58.5300813238959,129.563156659768,4.65589801309038,0.00130810777627493
"1956",-3.15533389839809,1.06777339748698,1.25699126478363,NA,NA,NA,-0.882692965152671,NA,0.0278414429552728,0.348519617923627,-0.895357330907186,-0.471379044318953,8,-56.3477996817515,129.56832663623,4.66106798955276,0.00130473069980012
"68",-8.15046858665132,0.745271929777663,1.3631358157079,NA,NA,NA,NA,-1.41288228913859,NA,NA,NA,NA,4,-60.6702115391181,129.577109468769,4.66985082209114,0.00129901364634644
"1328",-7.65764186321553,0.912085296516043,1.2890695275603,0.259327554159997,0.292308185254734,NA,-0.965055876046792,NA,NA,0.417156954014596,NA,-0.646791661939043,8,-56.3556490145205,129.584025301768,4.67676665509079,0.0012945295229555
"423",-6.36765785587692,NA,1.0810460301577,0.205398146211733,NA,NA,-0.760720297720061,NA,0.0802994186979019,0.3822043108229,NA,NA,6,-58.5420467543083,129.587087520593,4.67982887391518,0.00129254897322461
"328",-6.40316862234757,0.83006795825935,1.16736647475622,0.232925893801064,NA,NA,NA,-0.926648231723106,NA,0.496527928391077,NA,NA,6,-58.5428583044079,129.588710620792,4.68145197411421,0.00129150043050679
"289",-0.0182504952737594,NA,NA,NA,NA,NA,-0.68284366430513,NA,NA,0.521722316508705,NA,NA,3,-61.7246340423675,129.590444555323,4.6831859086456,0.00129038122713636
"824",-2.14995326221816,1.12331990226213,1.35020917327753,0.276942424418145,NA,-0.92636847015321,-0.849037133290172,NA,NA,0.333800959357762,-1.05840312343022,NA,8,-56.3594228025345,129.591572877796,4.68431423111862,0.00128965344937899
"1127",-7.66770313421132,NA,1.25599595109671,0.265046188385407,NA,NA,-0.824294894046934,-0.712551829746523,NA,NA,NA,-0.575202511294337,6,-58.5487148343585,129.600423680693,4.69316503401551,0.00128395882492947
"875",-4.33505124454537,NA,1.26077460229091,NA,0.573645902065871,NA,-0.928911566400912,-0.998574662401859,NA,0.386050027114726,-0.79313631838167,NA,7,-57.463373745737,129.601446286655,4.69418763997724,0.00128330250075952
"1831",-3.65273183627441,NA,1.21946115546884,0.299089604794981,NA,NA,-0.618239589697964,NA,NA,0.33156784649841,-0.833345004661188,-0.548764284204422,7,-57.4665452943927,129.607789383966,4.70053073728853,0.00127923889181143
"232",-8.06850817156514,1.13417021428952,1.28299414037492,0.226261368142342,NA,NA,-1.08710461729472,-1.2689213573379,0.0270104715462931,NA,NA,NA,7,-57.4749644908309,129.624627776843,4.71736913016501,0.00126851393938169
"279",-4.44438509092925,NA,1.1780876857196,0.237828876322619,NA,-1.17887269853355,NA,NA,NA,0.502791683093045,NA,NA,5,-59.6418636243435,129.64087010583,4.73361145915236,0.00125825384735551
"1539",-4.77889847016522,NA,1.43304454588097,NA,NA,NA,NA,NA,NA,NA,-0.967395251571165,-0.50879250094624,4,-60.70323136147,129.643149113473,4.73589046679508,0.00125682087887978
"1587",-2.79302848707231,NA,1.31696308576111,NA,NA,-0.819788856167477,-0.855661756223115,NA,NA,NA,-0.865223383239556,-0.461612347127135,6,-58.5729038417998,129.648801695576,4.74154304889809,0.00125327375224378
