Var1,Var2,corrl
waterbodies_10km,dist_waterfowl,0.044884187
COND_avg,waterbodies_1km,0.043416014
waterbodies_1km,latitude,-0.041982398
depth_max_m,nearest_LM,0.041854825
waterbodies_5km,dist_waterfowl,0.040575387
boatlaunch,dist_waterfowl,-0.037491327
PH_avg,nearest_SP,0.03698735
waterbodies_10km,longitude,-0.035925944
ALK_avg,nearest_any_FP,-0.032856241
TOTP_avg,latitude,0.031796901
shoreline_development,nearest_LM,-0.031264346
TOTP_avg,nearest_LM,-0.031050129
PH_avg,latitude,0.030680125
depth_max_m,dist_waterfowl,0.026954804
depth_max_m,latitude,-0.026925554
TOTP_avg,dist_waterfowl,-0.024699783
surfacearea_ha,waterbodies_10km,0.024492948
ALK_avg,latitude,-0.023505779
waterbodies_1km,nearest_SP,0.021747546
COND_avg,waterbodies_5km,0.020759631
TOTP_avg,waterbodies_10km,-0.020054121
waterbodies_1km,longitude,-0.01922869
waterbodies_5km,nearest_SP,-0.01754718
waterbodies_10km,boatlaunch,-0.01724319
nearest_W,dist_waterfowl,0.016815723
nearest_SP,dist_waterfowl,0.015656164
shoreline_development,PH_avg,-0.015177051
waterbodies_5km,nearest_LM,-0.015038803
depth_max_m,PH_avg,-0.014385424
shoreline_development,latitude,-0.012974395
TOTP_avg,waterbodies_5km,0.011808545
depth_max_m,nearest_SP,0.010360456
nearest_SP,longitude,-0.007124644
ALK_avg,waterbodies_1km,-0.00635409
shoreline_development,nearest_any_FP,-0.00592242
secchi_avg,waterbodies_1km,0.003850653
TOTP_avg,waterbodies_1km,-0.002595806
surfacearea_ha,PH_avg,-0.001550628
ALK_avg,dist_waterfowl,0.001522401
