waterbody,date,year,town,latitude,longitude,state,data_source,mult_survey,surfacearea_ha,shoreline_development,depth_max_m,FP_presence,FPcover_avg,FPcover_low_est,FPcover_max,FPcover_min,azolla,eichhornia_crassipes,lemna_minor,lemna_trisulca,lemna_valdiviana,riccia,spirodela_polyrhiza,wolffia,wolffia_borealis,wolffia_brasiliensis,allplant_species_richness,FP_species_richness,nonFP_species_richness,TOTP_avg,PH_avg,COND_avg,ALK_avg,secchi_avg,alisma,alisma_subcordatum,brasenia,cabomba,callitriche,callitriche_hetero,callitriche_stag,cardamine,ceratophyllum_dem,ceratophyllum_echin,charphyte,decodon,egeria,elatine,elatine_ameri,elatine_minima,eleocharis,eleocharis_acic,eleocharis_ellip,elodea_canad,elodea_nutt,eriocaulon_aqua,fil_algae,glossostigma,gratiola,hydrilla,isoetes,isoetes_acad,isoetes_eaton,isoetes_echino,isoetes_engel,isoetes_lacus,isoetes_tuck,juncus,juncus_pelo,lobelia,ludwigia,ludwigia_pal,marsilea,megalodonta,myosotis,myriophyllum,myriophyllum_alt,myriophyllum_aqua,myriophyllum_hetero,myriophyllum_hetero_lax,myriophyllum_hum,myriophyllum_ten,myriophyllum_sibi,myriophyllum_spic,najas_flex,najas_grac,najas_guad,najas_minor,nasturtium,nelumbo,nuphar,nymphaea_odor,nymphaea_odor_tuber,nymphoides,nymphoides_cordata,peltandra,phragmites,polygonum,polygonum_amphi,polygonum_hydro,pontederia,potamogeton,potamogeton_ampli,potamogeton_berch,potamogeton_biculp,potamogeton_conferv,potamogeton_crispus,potamogeton_epi,potamogeton_foli,potamogeton_grami,potamogeton_ilino,potamogeton_ilino_hybrid,potamogeton_natans,potamogeton_nodos,potamogeton_oakes,potamogeton_obtus,potamogeton_palus,potamogeton_perfo,potamogeton_pulch,potamogeton_pusil,potamogeton_prael,potamogeton_rich,potamogeton_robb,potamogeton_spir,potamogeton_zost,proserpinaca,ranunculus,sagittaria,sagittaria_gram,sagittaria_lati,schoenoplectus,sparganium,sparganium_ameri,stuckenia,trapa,typha,typha_latif,sedge,utricularia,utricularia_gemi,utricularia_gibb,utricularia_inter,utricularia_macro,utricularia_mini,utricularia_mino,utricularia_purp,utricularia_radi,utricularia_subu,utricularia_vulg,vallisneria,zannichellia,zosterella,waterbodies_1km,waterbodies_5km ,waterbodies_10km,nearest_LM,nearest_SP,nearest_W,nearest_any_FP,boatlaunch,dist_waterfowl
Bissonette Pond,8/28/2006,2006,Willington,41.9231,-72.21908,CT,CAES,N,19.63,1.496,2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0.033,6.75,80.55,13,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,35,104,12923.39368,12923.39368,1558.016942,12923.39368,0,20617.77224
Black Hall Pond,8/18/2005,2005,Old Lyme,41.34555,-72.29826,CT,CAES,N,5.1,1.282,4.9,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0.059,6,127.5,24,2.8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4,31,101,10873.80523,6513.931265,24571.92733,6513.931265,0,3963.002015
Black Pond (2),7/25/2005,2005,Woodstock,41.96955,-72.06934,CT,CAES,N,29.7,1.342,7.01,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0.0165,5.85,75.9,7.5,3.8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,4,42,107,23551.37221,10036.45,19810.77481,10036.45,1,33736.94737
Blissville Pond,9/30/2005,2005,Lisbon,41.56374,-72.03777,CT,CAES,N,11.9,2.077,1.7,Y,0.001,0.001,0.001,0.001,0,0,1,0,0,0,0,0,0,1,17,2,15,0.057,5.5,104.5,12.75,1.7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,22,56,13742.89031,13742.89031,23551.37221,13742.89031,0,8525.154576
"Bolton Lake, Lower",combined,comb,Bolton,41.80132,-72.433,CT,CAES,Y,70.82,1.387,6.096,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0.0133,5.9,103.9,10.325,3.1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,19,69,2244.150995,2244.150995,13742.89031,2244.150995,1,7095.186463
"Bolton Lake, Middle",combined,comb,Vernon,41.8089,-72.42619,CT,CAES,Y,48.97,1.608,6.096,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0.0292,5.875,95.15,10.2,2.9,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,18,65,3231.791696,3231.791696,2244.150995,3231.791696,1,6870.599104
"Bolton Lake, Upper",7/18/2005,2005,"Coventry, Tolland, Vernon",41.82184,-72.42102,CT,CAES,N,20.23,1.951,2.286,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0.03,4.8,62.05,2.25,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,19,62,4608.327577,4608.327577,3231.791696,4608.327577,1,6333.647118
Bolton Notch Pond,10/4/2011,2011,Bolton,41.78829,-72.45363,CT,CAES,N,8.5,1.456,1.5,Y,0.0017,0.0017,0.0017,0.0017,0,0,1,0,0,0,1,1,0,0,24,3,21,0.0135,5.65,413.5,16.9,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,18,64,12423.99217,12423.99217,4608.327577,12423.99217,1,5877.80019
Brandegea Lake,7/7/2011,2011,Waterford,41.37191,-72.122,CT,CAES,N,11.94,1.587,3,Y,0.0031,0.0031,0.0031,0.0031,0,0,1,0,0,0,1,0,0,0,18,2,16,0.074,6.4,159,33,1.5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,29,104,14725.67635,9064.465479,26527.72933,9064.465479,0,2608.174289
Branford Supply Pond (East),8/1/2005,2005,North Branford,41.29532,-72.80171,CT,CAES,Y,7.04,1.877,4,Y,0.0281,0.0281,0.0281,0.0281,0,0,0,0,0,0,1,0,0,0,6,1,5,0.2015,6.55,213,90.75,1.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,58,3254.196403,3441.637322,22444.51642,3254.196403,0,2128.622026
"Broad Brook Reservoir, Lower",9/12/2012,2012,East Windsor,41.91115,-72.53823,CT,CAES,N,0.81,1.18,2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0.0366,8.25,236,63.75,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,39,12734.5588,13911.74725,3441.637322,12734.5588,0,5296.071343
"Broad Brook Reservoir, Upper",9/12/2012,2012,East Windsor,41.91006,-72.53856,CT,CAES,N,0.32,1.276,0.5,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0407,7,264,68.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,37,12857.84515,13963.22572,13559.02658,12857.84515,0,5288.505976
Bunnels Pond,7/5/2011,2011,Bridgeport,41.20738,-73.18788,CT,CAES,N,13.52,2.485,5,Y,0.0105,0.0105,0.0105,0.0105,0,0,1,0,0,0,0,0,0,0,22,1,21,0.0175,6.4,159,33,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,89,6494.089006,14725.4989,13632.23606,6494.089006,0,5032.319785
Burr Pond,7/25/2005,2005,Torrington,41.87184,-73.09576,CT,CAES,N,34.44,2.236,3.353,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0.006,6,93.15,6.75,2.4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,16,53,15900.59298,15900.59298,14725.4989,15900.59298,1,19529.76104
Bushy Pond,6/26/2012,2012,Clinton,41.30587,-72.52501,CT,CAES,N,3.44,2.626,11,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0.0183,6.3,79.5,20.25,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,20,67,9316.656354,14014.73849,16171.03061,5429.742494,0,3215.447529
Canoe Brook Lake,8/30/2012,2012,Trumbull,41.25132,-73.239,CT,CAES,Y,26.79,2.26,6,Y,3.00E-04,3.00E-04,3.00E-04,3.00E-04,0,0,1,0,0,0,0,0,0,0,16,1,15,0.0929,6.95,162,49.5,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,71,6494.089006,13353.05793,5429.742494,6494.089006,0,10286.03005
Cedar Lake,combined,comb,Chester,41.40168,-72.49901,CT,CAES,Y,28.04,1.274,13,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34,0.0251,6.0333,37.05,8.5333,2.87,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,24,77,13246.49894,16550.12289,13353.05793,13246.49894,1,4159.662924
Cedar Pond,8/26/2005,2005,North Branford,41.32061,-72.77994,CT,CAES,Y,8.82,1.281,5.3,Y,0.001,0.001,0.001,0.001,0,0,1,0,0,0,0,0,0,0,7,1,6,0.0295,6.65,291,93.75,2.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,23,74,4187.09202,3348.563137,13722.39778,3348.563137,0,5377.204128
Chaffee Lake,7/20/2009,2009,Ashford,41.93943,-72.19431,CT,CAES,N,21.04,1.603,3.3,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0.0185,7.3,130.5,24.75,2.3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,23,117,14900.90053,13100.89331,5531.889658,13100.89331,0,22912.91019
Chalkers Mill Pond,7/22/2005,2005,Old Saybrook,41.30229,-72.39669,CT,CAES,N,4.17,2.115,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0.033,5.75,146,19.88,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,29,84,1452.556307,16054.26717,27307.23547,1452.556307,0,2123.023895
Chase Reservoir,8/8/2005,2005,Killingly,41.84679,-71.83803,CT,CAES,N,28.77,1.772,3,Y,5.00E-04,5.00E-04,5.00E-04,5.00E-04,0,0,1,0,0,0,1,0,0,1,22,3,19,0.0215,6.25,67.5,10.88,2.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,21,61,31566.79068,14887.85292,15717.59142,14887.85292,0,43514.93322
Clear Lake,7/19/2006,2006,Guilford,41.33719,-72.74107,CT,CAES,N,8.09,1.53,2.74,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0.059,6.2,199.5,28,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,64,1070.849974,6386.195505,31566.79068,1070.849974,0,7441.983724
Coventry Lake,7/15/2008,2008,Coventry,41.77093,-72.31974,CT,CAES,N,150.95,1.859,10,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0.0345,6.5,57.5,24,3.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,12,66,11298.88802,11298.88802,7940.010035,11298.88802,1,15384.06914
Crescent Lake,7/27/2005,2005,Enfield,42.02516,-72.52218,CT,CAES,N,14.16,2.058,2.5,Y,2.00E-04,2.00E-04,2.00E-04,2.00E-04,0,0,1,0,0,0,0,0,0,0,7,1,6,0.164,5.9,152.5,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,97,15782.11807,15782.11807,11298.88802,10578.93619,0,8983.627444
Crystal Lake (1),combined,comb,Middletown,41.52188,-72.63876,CT,CAES,Y,12.55,2.482,6,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0.0375,6.15,121.1125,29.6375,1.45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,72,7766.017416,12426.27829,10578.93619,7766.017416,1,4104.993655
Crystal Lake (2),7/22/2005,2005,Old Saybrook,41.30111,-72.41396,CT,CAES,N,2.23,1.969,1.2,Y,0.093,0.093,0.093,0.093,0,0,1,0,0,0,0,0,0,0,25,1,24,0.0425,6.1,101.15,30.8,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,26,87,22544.80481,17384.73667,7766.017416,14266.43121,0,3432.126886
Crystal Lake (3),8/25/2005,2005,"Ellington, Stafford",41.93605,-72.37389,CT,CAES,N,75.84,1.523,12,Y,0.01,0.01,0.01,0.01,0,0,1,0,0,0,1,0,0,0,6,2,4,0.055,7.05,147,60,2.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,24,91,15782.11807,17699.88502,14266.43121,15782.11807,0,8501.431295
Crystal Pond,7/16/2009,2009,Woodstock,41.92278,-72.09932,CT,CAES,N,58.68,1.82,5,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0.0805,6.2,63.55,14.65,2.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3,39,113,22826.72014,9211.914257,17699.88502,9211.914257,0,30512.50232
Cusick Pond,9/9/2009,2009,Bethany,41.38917,-73.03082,CT,CAES,N,0.08,1.081,2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0.0185,6.55,82.5,55.15,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,85,5289.416798,5289.416798,23280.42136,5289.416798,0,12418.60473
Dayton Pond,7/8/2005,2005,Wallingford,41.40869,-72.80267,CT,CAES,Y,2.67,2.669,2,Y,0.0037,0.0037,0.0037,0.0037,0,0,1,0,0,0,1,0,0,0,8,2,6,0.067,6.8,208,87.38,1.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,52,4564.594537,4564.594537,15494.86583,4564.594537,0,6805.423259
Deer Lake,9/14/2009,2009,Killingworth,41.34356,-72.58872,CT,CAES,N,12.95,2.188,2.3,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0.017,5.8,65.6,21.4,1.3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,3,18,78,10248.77943,10248.77943,4564.594537,6194.564885,0,8086.773271
Deer Lake Reservoir,9/14/2009,2009,Killingworth,41.34116,-72.59215,CT,CAES,N,2.43,1.313,5,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0.017,5.8,65.6,21.4,3.7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,16,75,9863.229967,9863.229967,6194.564885,5823.861739,0,7701.106742
