Group,Species,Frequency,Label,FP?,group
Terrestrial plant,Carex panicea,2,,notFP,terrestrial
Terrestrial plant,Carum carvi,1,,notFP,terrestrial
Terrestrial plant,Centaurea jacea,6,,notFP,terrestrial
Terrestrial plant,Cerastium fontanum,23,,notFP,terrestrial
Terrestrial plant,Chamomilla suaveolens,8,,notFP,terrestrial
Terrestrial plant,Chenopodium album,5,,notFP,terrestrial
Terrestrial plant,Chrysosplenium alternifolium,1,,notFP,terrestrial
Terrestrial plant,Cirsium arvense,35,,notFP,terrestrial
Terrestrial plant,Cirsium helenioides,7,,notFP,terrestrial
Terrestrial plant,Cirsium palustre,6,,notFP,terrestrial
Terrestrial plant,Cirsium vulgare,8,,notFP,terrestrial
Terrestrial plant,Convallaria majalis,2,,notFP,terrestrial
Terrestrial plant,Convolvolus arvensis,1,,notFP,terrestrial
Terrestrial plant,Cornus sanguinea,1,,notFP,terrestrial
Terrestrial plant,Corylus avellana,1,,notFP,terrestrial
Terrestrial plant,Cotoneaster lucidus,1,,notFP,terrestrial
Terrestrial plant,Crepis paludosa,1,,notFP,terrestrial
Terrestrial plant,Dactylis glomerata,25,,notFP,terrestrial
Terrestrial plant,Dactylorhiza fuchsii,1,,notFP,terrestrial
Terrestrial plant,Deschampsia cespitosa,43,,notFP,terrestrial
Terrestrial plant,Deschampsia flexuosa,13,,notFP,terrestrial
Terrestrial plant,Dryopteris carthusiana,5,,notFP,terrestrial
Terrestrial plant,Dryopteris expansa,1,,notFP,terrestrial
Terrestrial plant,Dryopteris filix-mas,7,,notFP,terrestrial
Terrestrial plant,Elymus repens,37,,notFP,terrestrial
Terrestrial plant,Epilobium angustifolium,22,,notFP,terrestrial
Terrestrial plant,Epilobium montanum,8,,notFP,terrestrial
Terrestrial plant,Epilobium palustre,4,,notFP,terrestrial
Terrestrial plant,Epilobium watsonii,43,,notFP,terrestrial
Terrestrial plant,Equisetum arvense,17,,notFP,terrestrial
Terrestrial plant,Equisetum palustre,1,,notFP,terrestrial
Terrestrial plant,Equisetum pratense,20,,notFP,terrestrial
Terrestrial plant,Equisetum sylvaticum,14,,notFP,terrestrial
Terrestrial plant,Erodium cicutarium,1,,notFP,terrestrial
Terrestrial plant,Erysimum cheiranthoides,3,,notFP,terrestrial
Terrestrial plant,Euphrasia nemorosa,1,,notFP,terrestrial
Terrestrial plant,Fallopia convolvulus,2,,notFP,terrestrial
Terrestrial plant,Festuca pratensis,28,,notFP,terrestrial
Terrestrial plant,Festuca rubra,21,,notFP,terrestrial
Terrestrial plant,Filaginella uliginosa,6,,notFP,terrestrial
Terrestrial plant,Filipendula ulmaria,41,,notFP,terrestrial
Terrestrial plant,Fragaria vesca,8,,notFP,terrestrial
Terrestrial plant,Frangula alnus,4,,notFP,terrestrial
Terrestrial plant,Fraxinus excelsior,10,,notFP,terrestrial
Terrestrial plant,Fumaria officinalis,2,,notFP,terrestrial
Terrestrial plant,Galeopsis bifida,21,,notFP,terrestrial
Terrestrial plant,Galeopsis speciosa,1,,notFP,terrestrial
Terrestrial plant,Galeopsis tetrahit,41,,notFP,terrestrial
Terrestrial plant,Galium album,10,,notFP,terrestrial
Terrestrial plant,Galium boreale,3,,notFP,terrestrial
Terrestrial plant,Galium palustre,28,,notFP,terrestrial
Terrestrial plant,Galium uliginosum,12,,notFP,terrestrial
Terrestrial plant,Geranium robertianum,1,,notFP,terrestrial
Terrestrial plant,Geranium sylvaticum,9,,notFP,terrestrial
Terrestrial plant,Geum rivale,6,,notFP,terrestrial
Terrestrial plant,Geum urbanum,10,,notFP,terrestrial
Terrestrial plant,Glechoma hederacea,10,,notFP,terrestrial
Terrestrial plant,Gymnocarpium dryopteris,4,,notFP,terrestrial
Terrestrial plant,Heracleum sibiricum,3,,notFP,terrestrial
Terrestrial plant,Hieracium foliosa,8,,notFP,terrestrial
Terrestrial plant,Hieracium rigida,2,,notFP,terrestrial
Terrestrial plant,Hieracium vulgata,4,,notFP,terrestrial
Terrestrial plant,Hosta spp.,1,,notFP,terrestrial
