"surfacearea_ha","shoreline_development","depth_max_m","TOTP_avg","PH_avg","COND_avg","ALK_avg","secchi_avg","waterbodies_1km","waterbodies_10km","dist_waterfowl","nearest_LM","nearest_SP","nearest_W","nearest_any_FP","latitude","longitude","boatlaunch","nonFP_species_richness"
0.0554991707561863,0,0.502737920167505,0.33237897149213,0.434747556110516,0.411832729863071,0.35275550647202,0.419312250174434,0,0.393119773393819,0.49578710093408,0.48073101937176,0.617890623338646,0.408702560758142,0.566472832048456,0.566765578635015,0.633233420972388,0,0
0.833324071350885,0.548908978503496,0.944584002046611,0.413994577074825,0.309287293067148,0.101553701306771,0.242850601307785,0.861813119656774,0,0.560475204114031,0.933599477783881,0.387544712032795,0.307886130855783,0.288258457803035,0.44361560708532,0.839762611275964,0.936675507280566,0,0.823549502887741
0.715238446379546,0.497668987999892,0.917016214009689,0.378255101025978,0.575246962145241,0.486713936635276,0.579305303624745,0.447563051273866,0,0.404586337999646,0.51188357322097,0.458551274284842,0.48462220431707,0.355118800543177,0.536664676456539,0.486646884272997,0.893458137487843,1,0.969423230068978
0.807618421091817,0.529588998508751,0.765870732567618,0.511586922702653,0.568486504095831,0.322038908881334,0.39133825208076,0.68565360466629,0.56457503405358,0.369709485706221,0.27090395589014,0.611613921713983,0.726076538597622,0.52117952961362,0.74902120043413,0.602373887240356,0.68835973052428,0,0.778871817642204
0.590246446643705,0.589597551561415,0.427939431861549,0.607437617215844,0.434747556110516,0.284184357999921,0.336034971679634,0.377668731103194,0,0.241616193377619,0.634010392666724,0.4251869675742,0.354965872310106,0.323183871200202,0.492481815378277,0.477744807121662,0.938832923903603,1,0.935014933616855
0.775468857289039,0.453934183322962,0.502737920167505,0.295367016360911,0.473177107469139,0.357926797294044,0.385939484171635,0.505865633007285,0,0.333322611359829,0.584761743441663,0.535842048319154,0.507557667035462,0.432490041954071,0.641988526206147,0.700296735905044,0.671980623522169,0,0.725496858008104
0.290738336849615,0.429277484500228,0.248505093057959,0.464793968556033,0.447732112514868,0.513101504112643,0.5296795844451,0.354773685565224,0,0.448970366707147,0.509540144136382,0.442878555899001,0.559818174400695,0.468806638058009,0.515810345916736,0.670623145400593,0.57269918708542,0,0.659199581125176
0.214522994664592,0.244598801148226,0.544929074512148,0.35823214865441,0.380970373115243,0.520677037743984,0.825217981629438,0.505865633007285,0.712414374216044,0.550902119384633,0.638296626117352,0.448138033393336,0.559605861026371,0.5848684086879,0.522789166596206,0.412462908011869,0.306100023587755,0,0.809448587573227
0.578493888276536,0.337371101523447,0.556983493088238,0.209454148505387,0.447732112514868,0.416313110437588,0.262099483405667,0.330204153047374,0.56457503405358,0.844727186853762,0.817799997591091,0.710776041235411,0.37125957328867,0.68656414505254,0.509053529573945,0.878338278931751,0.805193908606078,0,0.604033686311774
0.452086555763134,0.132168560323631,0.390968690506745,0.581427256589795,0.338587560914382,0.479821853187825,0.507703151424986,0.354773685565224,0.56457503405358,0.404586337999646,0.476262808168619,0.415736757730305,0.543136877195906,0.396465344454627,0.480114273990956,0.462908011869436,0.890305432662714,1,0.381102824853547
0.658044430975832,0.355638504004885,0.944584002046611,0.699610890810254,0.623309792780294,0.763219952385521,0.651917800193363,0.505865633007285,0.56457503405358,0.579318559502399,0.878669180105883,0.593946119197056,0.693342290866606,0.687426303841258,0.723744296328745,0.43026706231454,0.00195605773822147,1,0.632998090460967
0.445424051620235,0.488099921336253,0.390968690506745,0.521314689579612,0.590824877024859,0.555345466421369,0.6453333599251,0.399119909961609,0.356207187108022,0.427066050811681,0.56125321374916,0.739618633912105,0.858927128491327,0.671328057494574,0.937629684177879,0.774480712166172,0.19116437213423,0,0.683119668009434
0.00545981276518428,0.312882927448168,0.502737920167505,0.422012266012359,0.485644964113337,0.705521097682054,0.687941810346486,0.303667285255216,0.356207187108022,0.381495815782894,0.308658813141953,0.22582597872828,0.134707777802253,0.152568870527848,0.24680194801144,0.237388724035608,0.438811062081821,0,0.302016843155887
0.934684474030227,0.574914774229487,0.926265646415664,0.289265169417824,0.279104229309546,0.190186833763846,0.0975753391411992,0.808616968276279,0,0.459716959526807,0.773133432387958,0.445428704909196,0.381307160389015,0.342450501404277,0.519191674717719,0.548961424332344,1,1,0.778871817642204
0.593954002946316,0.593748251847938,0.876286964470932,0.33237897149213,0.545576833656027,0.738283885637456,0.538731683622574,0.505865633007285,0.56457503405358,0.756681839299823,0.501910529990162,0.417660835876507,0.57056576288651,0.43693395637167,0.482626981799329,0.198813056379822,0.22234623372589,0,0.632998090460967
0.479855995103794,0.296612111743017,0.502737920167505,0.495218790976129,0.732934122483554,0.834627449008598,0.74065880146,0.505865633007285,0.712414374216044,0.779467489639423,0.557246542893132,0.453951085715505,0.121550973381035,0.141620211733036,0.230293403847506,0.543026706231454,0.425914313164841,0,0.725496858008104
0.725451729896874,0.454976844419625,0.744419856661008,0.387029379444946,0.714030349252727,0.531769572086051,0.622974151971757,0.634569956913494,0.356207187108022,0.615858676563363,0.324050027377437,0.384335029987625,0.303987315215134,0.285335798138792,0.439498495888119,0.486646884272997,0.457855585407808,1,0.794585098738548
0.447447908206161,0.59148965849242,0.624579153956496,0.454658235022948,0.380970373115243,0.322038908881334,0.346850310929614,0.5756990747384,0.56457503405358,0.938238585386216,0.830734863666061,0.715035743441312,0.653341315635297,0.750942468086857,0.775272061100378,0.967359050445104,0.803352913087755,1,0.849750993551949
