Group,Species,Frequency,Label,FP?
Terrestrial plant,Hieracium foliosa,8,,notFP
Terrestrial plant,Poa annua,8,,notFP
Terrestrial plant,Potentilla palustris,8,,notFP
Terrestrial plant,Stachys palustris,8,,notFP
Terrestrial plant,Vicia sepium,8,,notFP
Elodeid,Potamogeton pusillus,7,,notFP
Helophyte,Carex vesicaria,7,,notFP
Terrestrial plant,Cirsium helenioides,7,,notFP
Terrestrial plant,Dryopteris filix-mas,7,,notFP
Terrestrial plant,Linaria vulgaris,7,,notFP
Terrestrial plant,Luzula multiflora,7,,notFP
Terrestrial plant,Lythrum salicaria,7,,notFP
Terrestrial plant,Polygonum aviculare,7,,notFP
Terrestrial plant,Prunella vulgaris,7,,notFP
Terrestrial plant,Sambucus racemosa,7,,notFP
Terrestrial plant,Viola riviniana,7,,notFP
Helophyte,Eleocharis palustris,6,,notFP
Helophyte,Equisetum fluviatile,6,,notFP
Helophyte,Phragmites australis,6,,notFP
Terrestrial plant,Alchemilla glabra,6,,notFP
Terrestrial plant,Barbarea vulgaris,6,,notFP
Terrestrial plant,Centaurea jacea,6,,notFP
Terrestrial plant,Cirsium palustre,6,,notFP
Terrestrial plant,Filaginella uliginosa,6,,notFP
Terrestrial plant,Geum rivale,6,,notFP
Terrestrial plant,Juniperus communis,6,,notFP
Terrestrial plant,Lathyrus linifolius,6,,notFP
Terrestrial plant,Myosotis laxa,6,,notFP
Terrestrial plant,Quercus robur,6,,notFP
Terrestrial plant,Solidago virgaurea,6,,notFP
Terrestrial plant,Tanacetum vulgare,6,,notFP
Terrestrial plant,Vaccinium vitis-idaea,6,,notFP
Elodeid,Callitriche palustris,5,,notFP
Helophyte,Sparganium glomeratum,5,,notFP
Terrestrial plant,Alchemilla monticola,5,,notFP
Terrestrial plant,Calamagrostis purpurea,5,,notFP
Terrestrial plant,Campanula rapunculoides,5,,notFP
Terrestrial plant,Carex echinata,5,,notFP
Terrestrial plant,Chenopodium album,5,,notFP
Terrestrial plant,Dryopteris carthusiana,5,,notFP
Terrestrial plant,Lysimachia nummularia,5,,notFP
Terrestrial plant,Maianthemum bifolium,5,,notFP
Terrestrial plant,Melampyrum sylvaticum,5,,notFP
Terrestrial plant,Persicaria hydropiper,5,,notFP
Terrestrial plant,Phalaris arundinacea,5,,notFP
Terrestrial plant,Potentilla anserina,5,,notFP
Terrestrial plant,Prunus padus,5,,notFP
Terrestrial plant,Rumex acetosella,5,,notFP
Terrestrial plant,Salix pentrandra,5,,notFP
Terrestrial plant,Trientalis europaea,5,,notFP
Terrestrial plant,Trifolium medium,5,,notFP
Terrestrial plant,Veronica officinalis,5,,notFP
Elodeid,Utricularia minor,4,,notFP
Helophyte,Schoenoplectus lacustris,4,,notFP
Isoetid,Ranunculus reptans,4,,notFP
Nymphaeid,Sparganium emersum,4,,notFP
Terrestrial plant,Alchemilla subcrenata,4,,notFP
Terrestrial plant,Atriplex patula,4,,notFP
Terrestrial plant,Calluna vulgaris,4,,notFP
Terrestrial plant,Epilobium palustre,4,,notFP
Terrestrial plant,Frangula alnus,4,,notFP
Terrestrial plant,Gymnocarpium dryopteris,4,,notFP
Terrestrial plant,Hieracium vulgata,4,,notFP
Terrestrial plant,Lolium perenne,4,,notFP
Terrestrial plant,Lupinus polyphyllus,4,,notFP
Terrestrial plant,Oxalis acetosella,4,,notFP
Terrestrial plant,Pteridium aquilinum,4,,notFP
Terrestrial plant,Rosa subcollina,4,,notFP
Terrestrial plant,Salix alba x fragilis,4,,notFP
Terrestrial plant,Senecio vulgaris,4,,notFP
Terrestrial plant,Veronica serpyllifolia,4,,notFP
Elodeid,Hippuris vulgaris,3,,notFP
Nymphaeid,Nuphar lutea,3,,notFP
Terrestrial plant,Agrostis gigantea,3,,notFP
Terrestrial plant,Arctium spp.,3,,notFP
Terrestrial plant,Bromus inermis,3,,notFP
Terrestrial plant,Carex flava,3,,notFP
Terrestrial plant,Erysimum cheiranthoides,3,,notFP
Terrestrial plant,Galium boreale,3,,notFP
Terrestrial plant,Heracleum sibiricum,3,,notFP
Terrestrial plant,Impatiens noli-tangere,3,,notFP
Terrestrial plant,Juncus bufonius,3,,notFP
Terrestrial plant,Juncus supinus,3,,notFP
Terrestrial plant,Lychnis flos-cuculi,3,,notFP
Terrestrial plant,Melica nutans,3,,notFP
Terrestrial plant,Omalotheca sylvatica,3,,notFP
Terrestrial plant,Paris quadrifolia,3,,notFP
Terrestrial plant,Phegopteris connectilis,3,,notFP
Terrestrial plant,Ranunculus flammula,3,,notFP
Terrestrial plant,Sedum telephium,3,,notFP
Terrestrial plant,Senecio viscosus,3,,notFP
Terrestrial plant,Sonchus asper,3,,notFP
Terrestrial plant,Spergula arvensis,3,,notFP
Terrestrial plant,Valeriana sambucifolia,3,,notFP
Terrestrial plant,Veronica beccabunga,3,,notFP
Helophyte,Acorus calmus,2,,notFP
Helophyte,Calla palustris,2,,notFP
Helophyte,Carex pseudocyperus,2,,notFP
Helophyte,Typha angustifolia,2,,notFP
Terrestrial plant,Alchemilla gracilis,2,,notFP
Terrestrial plant,Avena sativa,2,,notFP
Terrestrial plant,Bistorta vivipara,2,,notFP
Terrestrial plant,Calamagrostis arundinacea,2,,notFP
Terrestrial plant,Campanula persicifolia,2,,notFP
Terrestrial plant,Capsella bursa-pastoris,2,,notFP
Terrestrial plant,Carex panicea,2,,notFP
Terrestrial plant,Convallaria majalis,2,,notFP
Terrestrial plant,Fallopia convolvulus,2,,notFP
Terrestrial plant,Fumaria officinalis,2,,notFP
Terrestrial plant,Hieracium rigida,2,,notFP
Terrestrial plant,Juncus alpinoarticulatus,2,,notFP
Terrestrial plant,Knautia arvensis,2,,notFP
Terrestrial plant,Lolium multiflorum,2,,notFP
Terrestrial plant,Persicaria maculosa,2,,notFP
Terrestrial plant,Ribes nigrum,2,,notFP
Terrestrial plant,Ribes spicatum,2,,notFP
Terrestrial plant,Rubus saxatilis,2,,notFP
Terrestrial plant,Rumex aquaticus,2,,notFP
Terrestrial plant,Sagina procumbens,2,,notFP
Terrestrial plant,Sonchus oleraceus,2,,notFP
Terrestrial plant,Stachys sylvatica,2,,notFP
Terrestrial plant,Stellaria nemorum,2,,notFP
Terrestrial plant,Viburnum opulus,2,,notFP
Terrestrial plant,Vicia sylvatica,2,,notFP
Terrestrial plant,Viola tricolor,2,,notFP
Elodeid,Potamogeton perfoliatus,1,,notFP
Elodeid,Ranunculus aquatilis,1,,notFP
Elodeid,Utricularia vulgaris,1,,notFP
Helophyte,Carex acuta,1,,notFP
Helophyte,Carex aquatilis,1,,notFP
Helophyte,Cicuta virosa,1,,notFP
Helophyte,Menyanthes trifoliata,1,,notFP
Lemnid,Lemna trisulca,1,*,FP
Nymphaeid,Nymphaea alba,1,,notFP
Nymphaeid,Persicaria amphibia,1,,notFP
Terrestrial plant,Acer pseudoplatanus,1,,notFP
Terrestrial plant,Aconitum septentrionale,1,,notFP
Terrestrial plant,Agrimonia eupatoria,1,,notFP
Terrestrial plant,Ajuga pyramidalis,1,,notFP
Terrestrial plant,Alchemilla filicaulis,1,,notFP
Terrestrial plant,Alchemilla wichurae,1,,notFP
Terrestrial plant,Amelanchier spicata,1,,notFP
Terrestrial plant,Anthyllis vulneraria,1,,notFP
Terrestrial plant,Aquilegia vulgaris,1,,notFP
Terrestrial plant,Aruncus dioicus,1,,notFP
Terrestrial plant,Campanula patula,1,,notFP
Terrestrial plant,Cardamine amara,1,,notFP
Terrestrial plant,Carex diandra,1,,notFP
Terrestrial plant,Carex elongata,1,,notFP
Terrestrial plant,Carum carvi,1,,notFP
Terrestrial plant,Chrysosplenium alternifolium,1,,notFP
Terrestrial plant,Convolvolus arvensis,1,,notFP
Terrestrial plant,Cornus sanguinea,1,,notFP
Terrestrial plant,Corylus avellana,1,,notFP
Terrestrial plant,Cotoneaster lucidus,1,,notFP
Terrestrial plant,Crepis paludosa,1,,notFP
Terrestrial plant,Dactylorhiza fuchsii,1,,notFP
Terrestrial plant,Dryopteris expansa,1,,notFP
Terrestrial plant,Equisetum palustre,1,,notFP
Terrestrial plant,Erodium cicutarium,1,,notFP
Terrestrial plant,Euphrasia nemorosa,1,,notFP
Terrestrial plant,Galeopsis speciosa,1,,notFP
Terrestrial plant,Geranium robertianum,1,,notFP
Terrestrial plant,Hosta spp.,1,,notFP
Terrestrial plant,Impatiens glandulifera,1,,notFP
Terrestrial plant,Linum catharticum,1,,notFP
Terrestrial plant,Medicago lupulina,1,,notFP
Terrestrial plant,Monotropa hypopitys,1,,notFP
Terrestrial plant,Montia fontana,1,,notFP
Terrestrial plant,Mycelis muralis,1,,notFP
Terrestrial plant,Myosotis scorpioides,1,,notFP
Terrestrial plant,Origanum vulgare,1,,notFP
Terrestrial plant,Peucedanum palustre,1,,notFP
Terrestrial plant,Poa nemoralis,1,,notFP
Terrestrial plant,Polygala amarella,1,,notFP
Terrestrial plant,Prunus avium,1,,notFP
Terrestrial plant,Prunus cerasus,1,,notFP
Terrestrial plant,Ribes rubrum,1,,notFP
Terrestrial plant,Rorippa palustris,1,,notFP
Terrestrial plant,Rosa villosa,1,,notFP
Terrestrial plant,Rubus spp.,1,,notFP
Terrestrial plant,Salix lapponum,1,,notFP
Terrestrial plant,Scrophularia nodosa,1,,notFP
Terrestrial plant,Sedum spurium,1,,notFP
Terrestrial plant,Senecio jacobaea,1,,notFP
Terrestrial plant,Silene latifolia,1,,notFP
Terrestrial plant,Solidago Canadensis,1,,notFP
Terrestrial plant,Sorbus intermedia,1,,notFP
Terrestrial plant,Thlaspi arvense,1,,notFP
Terrestrial plant,Tragopogon pratensis,1,,notFP
Terrestrial plant,Vaccinium uliginosum,1,,notFP
Terrestrial plant,Viola arvensis,1,,notFP
Terrestrial plant,Viola canina,1,,notFP
Terrestrial plant,Viola mirabilis,1,,notFP
