species,frequency,label,FP?
Subularia aquatica,3,,notFP
Tolypella intricata,5,,notFP
Typha,39,,notFP
Typha angustifolia,9,,notFP
Typha domingensis,3,,notFP
Typha latifolia,199,,notFP
Typha X glauca,7,,notFP
Utricularia,31,,notFP
Utricularia gibba,1,,notFP
Utricularia inflata,12,,notFP
Utricularia intermedia,2,,notFP
Utricularia minor,1,,notFP
Utricularia vulgaris,56,,notFP
Utricularia vulgaris ssp. macrorhiza,1,,notFP
Vallisneria americana,48,,notFP
Veronica,7,,notFP
Wolffia,6,*,FP
Zannichellia palustris,17,,notFP
Zantedeschia aethiopica,1,,notFP
Zizania aquatica,4,,notFP
