"","Azolla","Eichhornia crassipes","Lemna minor","Lemna","Lemna trisulca","Spirodela polyrrhiza","Wolffia","year","site"
"FWM_TROFE1 1995",0,0,0,0,1,0,0,1995,"FWM_TROFE1"
"FWM_TULPI1 2008",1,0,0,1,0,0,1,2008,"FWM_TULPI1"
"FWM_TWIFE1 1995",0,0,0,0,1,0,0,1995,"FWM_TWIFE1"
"FWM_TWIFE1 1997",0,0,0,0,0,0,0,1997,"FWM_TWIFE1"
"FWM_TWIFE1 2008",0,0,0,0,0,0,0,2008,"FWM_TWIFE1"
"FWM_TWIOK1 1995",0,0,0,0,0,0,0,1995,"FWM_TWIOK1"
"FWM_TWIOK1 1999",0,0,0,0,0,0,0,1999,"FWM_TWIOK1"
"FWM_TWIOK1 2007",0,0,0,1,0,0,0,2007,"FWM_TWIOK1"
"FWM_UNNKI2 1994",0,0,0,0,0,0,0,1994,"FWM_UNNKI2"
"FWM_UNNKI2 2005",0,0,0,0,0,0,0,2005,"FWM_UNNKI2"
"FWM_UNNKI2 2008",0,0,0,1,0,0,0,2008,"FWM_UNNKI2"
"FWM_UNNKI2 2012",0,0,0,1,0,1,0,2012,"FWM_UNNKI2"
"FWM_WALCO1 2010",0,0,0,0,0,0,0,2010,"FWM_WALCO1"
"FWM_WALCO1 2011",0,0,0,0,0,0,0,2011,"FWM_WALCO1"
"FWM_WALCO1 2012",0,0,0,0,0,0,0,2012,"FWM_WALCO1"
"FWM_WALCO1 2013",0,0,0,1,0,0,0,2013,"FWM_WALCO1"
"FWM_WAPCH1 1994",0,0,0,0,0,0,0,1994,"FWM_WAPCH1"
"FWM_WAPCH1 1995",0,0,0,0,0,0,0,1995,"FWM_WAPCH1"
"FWM_WAPCH1 1996",0,0,0,0,0,0,0,1996,"FWM_WAPCH1"
"FWM_WAPCH1 1997",0,0,0,0,0,0,0,1997,"FWM_WAPCH1"
"FWM_WAPCH1 1999",0,0,1,0,0,0,0,1999,"FWM_WAPCH1"
"FWM_WAPCH1 2001",0,0,0,0,0,0,0,2001,"FWM_WAPCH1"
"FWM_WAPCH1 2006",0,0,0,1,0,0,0,2006,"FWM_WAPCH1"
"FWM_WAPCH1 2008",0,0,0,0,0,0,0,2008,"FWM_WAPCH1"
"FWM_WAPCH1 2011",0,0,0,0,0,0,0,2011,"FWM_WAPCH1"
"FWM_WASKI1 1993",0,0,0,0,0,0,0,1993,"FWM_WASKI1"
"FWM_WASKI1 1998",0,0,0,0,0,0,0,1998,"FWM_WASKI1"
"FWM_WASKI1 2009",0,0,0,1,0,0,0,2009,"FWM_WASKI1"
"FWM_WASKI1 2013",0,0,0,0,0,0,0,2013,"FWM_WASKI1"
"FWM_WILSP1 1994",0,0,0,0,0,0,0,1994,"FWM_WILSP1"
"FWM_WILSP1 1997",0,0,0,0,0,0,0,1997,"FWM_WILSP1"
"FWM_WILSP1 2008",0,0,0,1,0,0,0,2008,"FWM_WILSP1"
"FWM_WISWH1 1996",0,0,0,0,0,0,0,1996,"FWM_WISWH1"
"FWM_WISWH1 1997",0,0,1,0,0,1,0,1997,"FWM_WISWH1"
"FWM_WISWH1 2004",0,0,1,0,0,0,0,2004,"FWM_WISWH1"
